"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
74,Bihar,33,Buxar,GEN,1064142,"SUDHAKAR SINGH",GENERAL,MALE,BJP,Lotus,408254,"MITHILESH TIWARI",GENERAL,MALE,BJP,Lotus,408254,30091,2.83
75,Bihar,34,Sasaram,SC,1079856,"MANOJ KUMAR",SC,MALE,BJP,Lotus,493847,"SHIVESH KUMAR",SC,MALE,BJP,Lotus,493847,19157,1.77
76,Bihar,35,Karakat,GEN,1010023,"RAJA RAM SINGH FATHER-LATE DIPAN SINGH",GENERAL,MALE,IND,Scissors,274723,"PAWAN SINGH",GENERAL,MALE,IND,Scissors,274723,105858,10.48
77,Bihar,36,Jahanabad,GEN,914315,"SURENDRA PRASAD YADAV",GENERAL,MALE,JD(U),Arrow,300444,"CHANDESHWAR PRASAD",GENERAL,MALE,JD(U),Arrow,300444,142591,15.6
78,Bihar,37,Aurangabad,GEN,923253,"ABHAY KUMAR SINHA",GENERAL,MALE,BJP,Lotus,386456,"SUSHIL KUMAR SINGH",GENERAL,MALE,BJP,Lotus,386456,79111,8.57
79,Bihar,38,Gaya,SC,946388,"JITAN RAM MANJHI",SC,MALE,RJD,"Hurricane lamp",393148,"KUMAR SARVJEET",SC,MALE,RJD,"Hurricane lamp",393148,101812,10.76
80,Bihar,39,Nawada,GEN,857278,"VIVEK THAKUR",GENERAL,MALE,RJD,"Hurricane lamp",342938,"SHRAWAN KUMAR",GENERAL,MALE,RJD,"Hurricane lamp",342938,67670,7.89
81,Bihar,40,Jamui,SC,953051,"ARUN BHARTI",SC,FEMALE,RJD,"Hurricane lamp",396564,"ARCHANA KUMARI",SC,FEMALE,RJD,"Hurricane lamp",396564,112482,11.8
82,Goa,1,"North Goa",GEN,450436,"SHRIPAD YESSO NAIK",GENERAL,MALE,INC,Hand,141534,"RAMAKANT KHALAP",GENERAL,MALE,INC,Hand,141534,116252,25.81
83,Goa,2,"South Goa",GEN,445683,"CAPTAIN VIRIATO FERNANDES",GENERAL,FEMALE,BJP,Lotus,204301,"PALLAVI SHRINIVAS DEMPO",GENERAL,FEMALE,BJP,Lotus,204301,13535,3.04
84,Gujarat,1,Kachchh,SC,1076415,"CHAVDA VINOD LAKHAMSHI",SC,MALE,INC,Hand,390792,"NITESH PARBATBHAI LALAN (MATANG)",SC,MALE,INC,Hand,390792,268782,24.97
85,Gujarat,2,Banaskantha,GEN,1353736,"GENIBEN NAGAJI THAKOR",GENERAL,FEMALE,BJP,Lotus,641477,"DR. REKHABEN HITESHBHAI CHAUDHARI",GENERAL,FEMALE,BJP,Lotus,641477,30406,2.25
86,Gujarat,3,Patan,GEN,1176403,"DABHI BHARATSINHJI SHANKARJI",GENERAL,MALE,INC,Hand,560071,"CHANDANJI TALAJI THAKOR",GENERAL,MALE,INC,Hand,560071,31876,2.71
87,Gujarat,4,Mahesana,GEN,1065201,"HARIBHAI PATEL",GENERAL,MALE,INC,Hand,358360,"RAMJI THAKOR",GENERAL,MALE,INC,Hand,358360,328046,30.8
88,Gujarat,5,Sabarkantha,GEN,1248282,"SHOBHANABEN MAHENDRASINH BARAIYA",ST,MALE,INC,Hand,521636,"CHAUDHARI TUSHAR AMARSINH",ST,MALE,INC,Hand,521636,155682,12.47
89,Gujarat,6,Gandhinagar,GEN,1299797,"AMIT SHAH",GENERAL,FEMALE,INC,Hand,266256,"SONAL RAMANBHAI PATEL",GENERAL,FEMALE,INC,Hand,266256,744716,57.29
90,Gujarat,7,"Ahmedabad East",GEN,1117836,"HASMUKHBHAI PATEL (H.S.PATEL)",GENERAL,MALE,INC,Hand,308704,"HIMMATSINH PRAHLADSINH PATEL",GENERAL,MALE,INC,Hand,308704,461755,41.31
91,Gujarat,8,"Ahmedabad West",SC,952639,"DINESHBHAI MAKWANA (ADVOCATE)",SC,MALE,INC,Hand,325267,"BHARAT YOGENDRA MAKWANA",SC,MALE,INC,Hand,325267,286437,30.07
92,Gujarat,9,Surendranagar,GEN,1118078,"CHANDUBHAI CHHAGANBHAI SHIHORA",GENERAL,MALE,INC,Hand,408132,"RUTVIKBHAI LAVJIBHAI MAKWANA",GENERAL,MALE,INC,Hand,408132,261617,23.4
93,Gujarat,10,Rajkot,GEN,1257620,"PARSHOTTAMBHAI RUPALA",GENERAL,MALE,INC,Hand,373724,"DHANANI PARESH",GENERAL,MALE,INC,Hand,373724,484260,38.51
94,Gujarat,11,Porbandar,GEN,916009,"DR. MANSUKH MANDAVIYA",GENERAL,MALE,INC,Hand,249902,"LALIT VASOYA",GENERAL,MALE,INC,Hand,249902,383612,41.88
95,Gujarat,12,Jamnagar,GEN,1040151,"POONAMBEN HEMATBHAI MAADAM",GENERAL,MALE,INC,Hand,382041,"ADVOCATE J. P. MARAVIYA",GENERAL,MALE,INC,Hand,382041,238008,22.88
96,Gujarat,13,Junagadh,GEN,1054240,"CHUDASAMA RAJESHBHAI NARANBHAI",GENERAL,MALE,INC,Hand,448555,"JOTVA HIRABHAI ARJANBHAI",GENERAL,MALE,INC,Hand,448555,135494,12.85
97,Gujarat,14,Amreli,GEN,865077,"BHARATBHAI MANUBHAI SUTARIYA",GENERAL,FEMALE,INC,Hand,259804,"JENNY THUMMAR",GENERAL,FEMALE,INC,Hand,259804,321068,37.11
98,Gujarat,15,Bhavnagar,GEN,1028467,"NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA)",GENERAL,MALE,AAAP,Broom,261594,"UMESHBHAI NARANBHAI MAKWANA",GENERAL,MALE,AAAP,Broom,261594,455289,44.27
99,Gujarat,16,Anand,GEN,1152039,"MITESH PATEL (BAKABHAI)",GENERAL,MALE,INC,Hand,522545,"AMIT CHAVDA",GENERAL,MALE,INC,Hand,522545,89939,7.81
100,Gujarat,17,Kheda,GEN,1157024,"DEVUSINH CHAUHAN",GENERAL,MALE,INC,Hand,386677,"KALUSINH DABHI",GENERAL,MALE,INC,Hand,386677,357758,30.92
101,Gujarat,18,Panchmahal,GEN,1111394,"RAJPALSINH MAHENDRASINH JADAV",GENERAL,MALE,INC,Hand,285237,"GULABSINH SOMSINH CHAUHAN",GENERAL,MALE,INC,Hand,285237,509342,45.83
102,Gujarat,19,Dahod,ST,1083356,"JASWANTSINH SUMANBHAI BHABHOR",ST,FEMALE,INC,Hand,355038,"DR. PRABHABEN KISHORSINH TAVIYAD",ST,FEMALE,INC,Hand,355038,333677,30.8
103,Gujarat,20,Vadodara,GEN,1193761,"DR. HEMANG JOSHI",GENERAL,MALE,INC,Hand,291063,"PADHIYAR JASHPALSINH MAHENDRASINH (BAPU)",GENERAL,MALE,INC,Hand,291063,582126,48.76
104,Gujarat,21,"Chhota Udaipur",ST,1238064,"JASHUBHAI BHILUBHAI RATHVA",ST,MALE,INC,Hand,397812,"SUKHRAMBHAI HARIYABHAI RATHWA",ST,MALE,INC,Hand,397812,398777,32.21
105,Gujarat,22,Bharuch,GEN,1175681,"MANSUKHBHAI DHANJIBHAI VASAVA",ST,MALE,AAAP,Broom,522461,"CHAITARBHAI DAMJIBHAI VASAVA",ST,MALE,AAAP,Broom,522461,85696,7.29
106,Gujarat,23,Bardoli,ST,1313791,"PARBHUBHAI NAGARBHAI VASAVA",ST,MALE,INC,Hand,533697,"CHAUDHARY SIDDHARTH AMARSINH",ST,MALE,INC,Hand,533697,230253,17.53
107,Gujarat,25,Navsari,GEN,1317754,"C R PATIL",GENERAL,MALE,INC,Hand,257514,"NAISHADHBHAI BHUPATBHAI DESAI",GENERAL,MALE,INC,Hand,257514,773551,58.7
108,Gujarat,26,Valsad,ST,1343038,"DHAVAL LAXMANBHAI PATEL",ST,MALE,INC,Hand,553522,"ANANTKUMAR HASMUKHBHAI PATEL",ST,MALE,INC,Hand,553522,210704,15.69
109,Haryana,1,AMBALA,SC,1340270,"VARUN CHAUDHRY",SC,FEMALE,BJP,Lotus,614621,"BANTO KATARIA",SC,FEMALE,BJP,Lotus,614621,49036,3.66
110,Haryana,2,KURUKSHETRA,GEN,1203433,"NAVEEN JINDAL",GENERAL,MALE,AAAP,Broom,513154,"DR SUSHIL GUPTA",GENERAL,MALE,AAAP,Broom,513154,29021,2.41
111,Haryana,3,SIRSA,SC,1350509,SELJA,SC,MALE,BJP,Lotus,465326,"ASHOK TANWAR",SC,MALE,BJP,Lotus,465326,268497,19.88
112,Haryana,4,HISAR,GEN,1170749,"JAI PARKASH (J P) S/O HARIKESH",GENERAL,MALE,BJP,Lotus,507043,"RANJIT SINGH",GENERAL,MALE,BJP,Lotus,507043,63381,5.41
113,Haryana,5,KARNAL,GEN,1341937,"MANOHAR LAL",GENERAL,MALE,INC,Hand,506708,"DIVYANSHU BUDHIRAJA",GENERAL,MALE,INC,Hand,506708,232577,17.33
114,Haryana,6,SONIPAT,GEN,1121624,"SATPAL BRAHAMCHARI",GENERAL,MALE,BJP,Lotus,526866,"MOHAN LAL BADOLI",GENERAL,MALE,BJP,Lotus,526866,21816,1.95
115,Haryana,7,ROHTAK,GEN,1246084,"DEEPENDER SINGH HOODA",GENERAL,MALE,BJP,Lotus,438280,"DR. ARVIND KUMAR SHARMA",GENERAL,MALE,BJP,Lotus,438280,345298,27.71
116,Haryana,8,BHIWANI-MAHENDRAGARH,GEN,1178108,"DHARAMBIR SINGH",GENERAL,MALE,INC,Hand,547154,"RAO DAN SINGH",GENERAL,MALE,INC,Hand,547154,41510,3.52
117,Haryana,9,GURGAON,GEN,1594815,"RAO INDERJIT SINGH",GENERAL,MALE,INC,Hand,733257,"RAJ BABBAR",GENERAL,MALE,INC,Hand,733257,75079,4.71
