S.No,"Name of the District / Department","Name of the Backward Blocks","Name of the Project","Type of Indicator","Number of Projects",Amount
231,Villupuram,"Kalrayan Hills","Drinking Water, Toilet, Additional Building, New Buildings and Compound Wall to GTR Schools at Kalrayan Hills",Education,1,43945000
232,Villupuram,"Kalrayan Hills","Formation and Improvement to Sirukkalur Falls Road km. 0/0 - 5/5",Poverty,1,16000000
233,Villupuram,"Kalrayan Hills","Formation and Improvements to Eluthur to Chinnathurupathi Road in km 0/0 - 22/0",Poverty,1,120000000
234,Villupuram,"Kalrayan Hills","Formation and Improvements to Karunelliupiuriviu to Manapachi Road in km 0/0 - 13/0",Poverty,1,65000000
235,Villupuram,"Kalrayan Hills","Health and Nutrition Intervention Towards Healthy Generation for Kalrayan Hills",Health,1,825000
236,Villupuram,"Kalrayan Hills","Hospital Workers Quarters (8 No's)",Poverty,1,8000000
237,Villupuram,"Kalrayan Hills","Improvemennt to Mel vazhapadi to Megam - Falls Road",Poverty,1,25000000
238,Villupuram,"Kalrayan Hills","Livelihood Intervention Towards Enhancing Farmers Income",Poverty,1,1233000
239,Villupuram,"Kalrayan Hills","Medical Officers Quarters at 3 PHCs and 1 CHC (11)",Health,1,22000000
240,Villupuram,"Kalrayan Hills","Milk Collection Centres",Poverty,1,9245000
241,Villupuram,"Kalrayan Hills","Millet Processing Unit (4 regions)",Income,1,3706000
242,Villupuram,"Kalrayan Hills","Providing Remedial Education Towards Primary Education for All",Education,1,1120000
243,Villupuram,"Kalrayan Hills","Purchase of 3 No's of Four Wheeler Vehicles for Mobility Support in Immunization, Outreach Camps and Other Activities",Health,1,2500000
244,Villupuram,"Kalrayan Hills","Skill Development for Youth",Employment,1,4451000
245,Villupuram,"Kalrayan Hills","Staff Nurse Quarters (6 No's)",Health,1,19500000
246,Villupuram,Kandamangalam,"Construction of Bulk Milk Cooler",Income,1,2644800
Total,Villupuram,Total,"Total Project",Total,19,360842800
Total,"District / Department Total","All Backward Blocks","Total All Projects","Grand Total",246,838857270
