"State/Local Body",Income/Expenditure,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13
"Maharashtra - Nashik",Income,2418936,2416566,3521186,5762426,3218813,3874253,4511113,5765119,5168031,NA,NA,NA,NA
"Maharashtra - Nashik","Expenditure *",920634,1232569,1290069,1172048,1071037,1302866,4569946,5414449,5196408,NA,NA,NA,NA
"Maharashtra - Pimpri Chinchwad",Income,2223075,2187620,3342711,3528271,4571668,6083681,8256776,10427057,10183651,9765524,12341907,16330806,17007431
"Maharashtra - Pimpri Chinchwad","Expenditure *",2463868,2691874,2725737,3431195,4250735,5409851,7240369,10529897,10974123,9965840,12211068,13049247,16205631
"Maharashtra - Pune",Income,4873660,5130406,5614700,5992300,7052700,10469200,NA,17130600,15753300,20306400,23352200,NA,NA
"Maharashtra - Pune","Expenditure *",4873460,5130206,6481300,7079700,7844200,9618900,NA,15995900,17860200,21908500,18414300,NA,NA
"Maharashtra - Solapur",Income,891667,871610,923536,1034248,1137210,1215184,1508759,161445,144455,162528,200382,157542,214663
"Maharashtra - Solapur","Expenditure *",891661,871610,923536,1034248,1137210,1215109,1508758,161442,144455,162528,200382,157542,214663
"Maharashtra - Thane",Income,2658393,2583804,3151203,3408663,4164426,4580983,5399534,8474555,10347349,10568446,11033129,15208079,13437801
"Maharashtra - Thane","Expenditure *",1745777,1778331,2265695,2699865,3988165,4387400,4570827,6059014,8053047,10025325,10205847,13326558,12428452
"Manipur - Imphal",Income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207626,457495
"Manipur - Imphal",Expenditure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237972,328270
"Meghalaya - Shillong",Income,103831,56488,39005,62104,42906,NA,NA,NA,NA,NA,NA,NA,NA
"Meghalaya - Shillong","Expenditure *",71956,73470,48630,56446,45728,NA,NA,NA,NA,NA,NA,NA,NA
"Madhya Pradesh - Bhopal",Income,972735,914186,1038474,1144532,1528505,1717582,2234069,3500263,4364082,5875387,4853526,7274469,5348987
"Madhya Pradesh - Bhopal","Expenditure *",815695,935038,1048889,1132555,1511696,1898438,2219130,3441826,5609294,5732778,6237638,6059408,5580264
"Madhya Pradesh - Gwalior",Income,435905,444196,483075,435906,568257,636524,769290,1144577,1197667,NA,NA,NA,NA
"Madhya Pradesh - Gwalior","Expenditure *",243970,312439,316345,254871,387537,303201,439378,562287,757187,NA,NA,NA,NA
"Madhya Pradesh - Indore",Income,1104974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
