"Local Body",State,Type,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12
Pune,Maharashtra,Income,4873660,5130406,5614700,5992300,7052700,10469200,NA,17130600,15753300,20306400,23352200,NA
Pune,Maharashtra,"Expenditure *",4873460,5130206,6481300,7079700,7844200,9618900,NA,15995900,17860200,21908500,18414300,NA
Solapur,Maharashtra,Income,891667,871610,923536,1034248,1137210,1215184,1508759,NA,NA,NA,NA,NA
Solapur,Maharashtra,"Expenditure *",891661,871610,923536,1034248,1137210,1215109,1508758,NA,NA,NA,NA,NA
Thane,Maharashtra,Income,2658393,2583804,3151203,3408663,NA,NA,NA,6537490,7030156,10568325,11033129,15208079
Thane,Maharashtra,"Expenditure *",1745777,1778331,2265695,2699865,NA,NA,NA,3624834,4056995,10025325,10205847,13326558
Shillong,Meghalaya,Income,103831,56488,39005,62104,42906,NA,NA,NA,NA,NA,NA,NA
Shillong,Meghalaya,"Expenditure *",71956,73470,48630,56446,45728,NA,NA,NA,NA,NA,NA,NA
Bhopal,"Madhya Pradesh",Income,870559,812331,931979,968014,1095030,1195965,1503329,NA,NA,NA,NA,NA
Bhopal,"Madhya Pradesh","Expenditure *",398131,497378,563981,552013,725504,833800,1062198,NA,NA,NA,NA,NA
Gwalior,"Madhya Pradesh",Income,435905.079,444196.282,483075.185,435905.6,568257.461,636523.7,769289.502,1144577.104,1197666.94,NA,NA,NA
Gwalior,"Madhya Pradesh","Expenditure *",243969.97,312439.444,316345.212,254871.3901,387536.652,303200.829,439377.613,562286.633,757187.324,NA,NA,NA
Indore,"Madhya Pradesh",Income,1104974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indore,"Madhya Pradesh","Expenditure *",1293662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jabalpur,"Madhya Pradesh",Income,357336,568847,782815,657969,910817,1549300,2484500,2793300,2862300,2940000,NA,NA
Jabalpur,"Madhya Pradesh","Expenditure *",536064,497181,684452,586825,655649,1450000,1681100,1739300,1889200,2064200,NA,NA
Ujjain,"Madhya Pradesh",Income,277900,237100,283200,309000,281200,331400,361900,NA,NA,NA,NA,NA
Ujjain,"Madhya Pradesh","Expenditure *",148000,146000,193000,239700,170000,163100,170100,NA,NA,NA,NA,NA
Bhubneshwar,Orissa,Income,268917.866,328413.298,413721.547,553838.299,NA,NA,NA,NA,NA,3473782,4076978,4092272
Bhubneshwar,Orissa,"Expenditure *",242664.035,241146.064,178824.133,208769.458,NA,NA,NA,NA,NA,3303130,3823377,3672561
Sambalpur,Orissa,Income,48738.618,64543.503,85065.604,93470.309,79796.814,108981.281,120622.935,225498.555,195912.221,NA,NA,NA
Sambalpur,Orissa,Expenditure,32443.407,27657.383,48580.551,75372.335,61059.62,46281.965,74421.978,122510.017,212178.307,NA,NA,NA
Puducherry,Puducherry,Income,161044,174919,179279,216615,277978,256398,309917,318380,340977,362000,406579,NA
Puducherry,Puducherry,"Expenditure *",101083,131668,124213,134001,196973,241605,145501,148517,186589,224224,299215,NA
Amritsar,Punjab,Income,787013,694603,994510,851500,880670,1934069,1043781,1079908,1185513,1436084,1369870,NA
Amritsar,Punjab,"Expenditure *",409456,471261,396102,5840060,421538,624376,256770,371222,282960,1200921,1331546,NA
Jalandhar,Punjab,Income,756601,800656,740638,893386,NA,NA,NA,1216261,2715047,NA,NA,NA
Jalandhar,Punjab,"Expenditure *",430596,451643,412877,472769,NA,NA,NA,1012723,1241344,NA,NA,NA
Ludhiana,Punjab,Income,1869979,1860355,1941574,1993944,2060055,2469020,NA,2743583,3062634,4049474,8136924,NA
Ludhiana,Punjab,"Expenditure *",1966559,1934045,1907045,2112179,2291641,2632047,NA,3123841,3441969,3825550,7913000,NA
Ajmer,Rajasthan,Income,215675,266998,235682,246894,243868,334075,337837,575163,554283,486528,796771,NA
Ajmer,Rajasthan,"Expenditure *",57957,44248,46123,28944,80304,353749,332990,409938,541355,551343,609093,NA
Jaipur,Rajasthan,Income,1444607,1449201,1416002,1304684,1410953,2065562,NA,NA,NA,5852653(RE),4503135(A),9809134(RE)
Jaipur,Rajasthan,"Expenditure *",680121,763266,767158,699055,1428724,1700900,NA,NA,NA,5644950(RE),3422379(A),8657670(RE)
Jodhpur,Rajasthan,Income,2965.41,3759.9,3398.61,3783.88,4348,5143,5401,6277,9675,NA,NA,NA
Jodhpur,Rajasthan,"Expenditure *",3131.48,3437.35,3451.42,3827.62,4084,4260,5287,6542,8347,NA,NA,NA
Udaipur,Rajasthan,Income,2777520,3088910,3158260,3236460,3980100,4026412,5385540,NA,NA,NA,NA,NA
Udaipur,Rajasthan,"Expenditure *",2157650,1796360,1938250,1803330,2465960,2067901,2952300,NA,NA,NA,NA,NA
Chennai,"Tamil Nadu",Income,3563738,3821453,4976197,5271446,5235195,6192989,NA,7763226,8263367,13973000(A),16981200(RE),18187600(BE)
Chennai,"Tamil Nadu","Expenditure *",6176476,5775119,6684255,8841291,8674467,10076454,NA,7037654,7939351,12681300(A),16585100(RE),18506600(BE)
Madurai,"Tamil Nadu",Income,922577,738563,1104491,1091687,1034091,NA,NA,NA,NA,NA,NA,NA
Madurai,"Tamil Nadu","Expenditure *",637497,559476,677165,645236,649003,NA,NA,NA,NA,NA,NA,NA
Tiruchirappalli,"Tamil Nadu",Income,371398.113,253212.893,543258.575,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tiruchirappalli,"Tamil Nadu","Expenditure *",124384.613,109663.863,148057.528,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agra,"Uttar Pradesh",Income,233143,176397,287976,136287,281371,476482,571395,849262,859855,1637183(A),1824175(RE),NA
Agra,"Uttar Pradesh","Expenditure *",338223,261829,505281,254303,457803,653394,618003,522834,1023217,1894040(A),1975830(RE),NA
Kanpur,"Uttar Pradesh",Income,1142.701,1014.239,1292.724,1136.508,1639.414,2056.193,NA,3027.75,2498.217,NA,NA,NA
Kanpur,"Uttar Pradesh","Expenditure *",654.445,911.669,762.498,719.537,894.114,1965.227,NA,814.534,2007.202,NA,NA,NA
Lucknow,"Uttar Pradesh",Income,1719436,2329693,4014037,3834177,NA,NA,NA,NA,NA,NA,7595679(A),9719446(RE)
Lucknow,"Uttar Pradesh","Expenditure *",1656725,2207262,3910535,3154344,NA,NA,NA,NA,NA,NA,6696126(A),9387205(RE)
Meerut,"Uttar Pradesh",Income,464276,451007,507791,492293,511400,592779,580739,1037681,1562664,NA,NA,NA
Meerut,"Uttar Pradesh","Expenditure *",411783,421434,492986,521313,469432,500298,590763,578457,868705,NA,NA,NA
Varanasi,"Uttar Pradesh",Income,514846,388894,389878,418357,389055,563632,564909,116850,400009,2116044(A),2188845(A),4234635(RE)
Varanasi,"Uttar Pradesh","Expenditure *",158011,149931,139084,157033,154196,159784,214997,NA,NA,1799698(A),1676356(A),3980491(RE)
Howrah,"West Bengal",Income,605160,457466,564388,490493,733378,NA,NA,NA,NA,NA,NA,NA
Howrah,"West Bengal","Expenditure *",207030,274647,192956,130558,150239,NA,NA,NA,NA,NA,NA,NA
Chandernagore,"West Bengal",Income,66614,87287,84019,92114,98942,102429,109224,NA,NA,NA,NA,NA
Chandernagore,"West Bengal","Expenditure *",15331,22536,34322,38984,37781,41308,39206,NA,NA,NA,NA,NA
