S.No.,"Division/Seat No.","Name of Member","Lok Sabha",Session,State,Constituency,"Total Sittings","No. of days member signed the register"
188,248,"Shri  N.  Peethambarakurup                                  ",15,3,"Kerala                                                      ",Kollam,21,20
189,249,"Shri  Om Prakash  Yadav                                             ",15,3,"Bihar                                                       ",Siwan,21,9
190,250,"Shri    Sivakumar @  Ritheesh                             ",15,3,"Tamil Nadu                                                  ",Ramanthapuram,21,5
191,251,"Shri  Sanjay Dina  Patil                                             ",15,3,"Maharashtra                                                 ",Mumbai-North-East,21,17
192,252,"Shri  Narayan Singh  Amlabe                                            ",15,3,"Madhya Pradesh                                              ",Rajgarh,21,14
193,253,"Shri  Jose K.  Mani                                              ",15,3,"Kerala                                                      ",Kottayam,21,19
194,255,"Shri  N. Cheluvaraya Swamy  ",15,3,"Karnataka                                                   ",Mandya,21,11
195,256,"Shri  Thol Thirumaavalavan  ",15,3,"Tamil Nadu                                                  ",Chidambaram,21,11
196,257,"Shri  Prem Das  Rai                                               ",15,3,"Sikkim                                                      ",Sikkim,21,17
197,258,"Shri  C. M.  Chang                                             ",15,3,"Nagaland                                                    ",Nagaland,21,20
198,259,"Shri   Baliram  Jadhav                                          ",15,3,"Maharashtra                                                 ",Palghar,21,20
199,260,"Shri  Jagada Nand  Singh                                             ",15,3,"Bihar                                                       ",Buxar,21,21
200,261,"Shri  Uma Shanaker  Singh                                             ",15,3,"Bihar                                                       ",Maharajganj,21,9
201,262,"Smt.  J. Helen Davidson  ",15,3,"Tamil Nadu                                                  ",Kanniyakumari,21,8
202,263,"Shri  S. R.  Jeyadurai                                         ",15,3,"Tamil Nadu                                                  ",Thoothukkudi,21,4
203,264,"Shri  Uday Pratap  Singh                                             ",15,3,"Madhya Pradesh                                              ",Hoshangabad,21,11
204,265,"Shri  Premchand  Guddu                                             ",15,3,"Madhya Pradesh                                              ",Ujjain,21,12
205,266,"Shri  Marotrao  Sainuji   Kowase                                  ",15,3,"Maharashtra                                                 ",Gadchiroli-Chimur,21,16
206,267,"Shri   Suresh  Kashinath   Taware                                ",15,3,"Maharashtra                                                 ",Bhiwandi,21,13
207,268,"Shri  Jaywant  Gangaram   Awale                                  ",15,3,"Maharashtra                                                 ",Latur,21,16
208,269,"Dr.  Nilesh N.  Rane                                              ",15,3,"Maharashtra                                                 ",Ratnagiri-Sindhudurg,21,14
209,270,"Shri  Thangso  Baite                                             ",15,3,"Manipur                                                     ","Outer Manipur",21,21
210,271,"Shri  Pradeep  Majhi                                             ",15,3,"Orissa                                                      ",Nabarangpur,21,4
211,272,"Shri  Amarnath  Pradhan                                           ",15,3,"Orissa                                                      ",Sambalpur,21,20
212,273,"Shri  Hemanand  Biswal                                            ",15,3,"Orissa                                                      ",Sundargarh,21,12
213,274,"Shri  Sanjay  Bhoi                                              ",15,3,"Orissa                                                      ",Bargarh,21,20
214,275,"Shri  C. L.  Ruala                                             ",15,3,"Mizoram                                                     ",Mizoram,21,20
215,276,"Shri  Mulayam Singh  Yadav                                             ",15,3,"Uttar Pradesh                                               ",Mainpuri,21,16
216,277,"Shri  H.D.  Devegowda                                         ",15,3,"Karnataka                                                   ",Hassan,21,10
217,278,"Kunwar  Rewati Raman  Singh                                             ",15,3,"Uttar Pradesh                                               ",Allahabad,21,19
218,279,"Dr.    Bali Ram                                          ",15,3,"Uttar Pradesh                                               ",Lalganj,21,10
219,280,"Shri  Gurudas  Das Gupta                                         ",15,3,"West Bengal                                                 ",Ghatal,21,21
220,282,"Prof.  Saugata  Ray                                               ",15,3,"West Bengal                                                 ","Dum Dum",21,18
221,283,"Shri  Shailendra  Kumar                                             ",15,3,"Uttar Pradesh                                               ","Kaushambi ",21,20
222,284,"Shri  Bhisma  Shankar Alias Kushal Tiwari                       ",15,3,"Uttar Pradesh                                               ","Sant Kabir Nagar",21,5
223,285,"Dr.  M.  Thambidurai                                       ",15,3,"Tamil Nadu                                                  ",Karur,21,4
