S.No.,"Division/Seat No.","Name of Member","Lok Sabha",Session,State,Constituency,"Total Sittings","No. of days member signed the register"
385,452,"Shri  Ramesh  Vishwanath   Katti                                ",15,3,"Karnataka                                                   ",Chikkodi,21,9
386,453,"Shri  S.  Pakkirappa                                        ",15,3,"Karnataka                                                   ",Raichur,21,16
387,454,"Dr.  Murli Manohar  Joshi                                             ",15,3,"Uttar Pradesh                                               ",Varanasi,21,14
388,455,"Shri  Rajnath  Singh                                             ",15,3,"Uttar Pradesh                                               ",Ghaziabad,21,13
389,456,"Shri   Gopinathrao  Pandurang   Munde                                 ",15,3,"Maharashtra                                                 ",Beed,21,11
390,457,"Shri  Lal Krishna  Advani                                            ",15,3,"Gujarat                                                     ",Gandhinagar,21,1
391,458,"Smt.  Sushma  Swaraj                                            ",15,3,"Madhya Pradesh                                              ",Vidisha,21,20
392,460,"Shri  Shatrughan  Sinha                                             ",15,3,"Bihar                                                       ","Patna Sahib",21,11
393,461,"Shri  Syed Shahnawaz  Hussain                                           ",15,3,"Bihar                                                       ",Bhagalpur,21,21
394,462,"Shri  Hukamdeo Narayan  Yadav                                             ",15,3,"Bihar                                                       ",Madhubani,21,20
395,463,"Shri  Yashwant  Sinha                                             ",15,3,"Jharkhand                                                   ",Hazaribagh,21,5
396,464,"Shri  Ramesh  Bais                                              ",15,3,"Chhattisgarh                                                ",Raipur,21,15
397,465,"Shri    Ananth Kumar                                      ",15,3,"Karnataka                                                   ","Bangalore South",21,17
398,466,"Shri  Jaswant  Singh                                             ",15,3,"West Bengal                                                 ",Darjeeling,21,8
399,467,"Smt.  Maneka  Gandhi                                            ",15,3,"Uttar Pradesh                                               ",Aonla,21,16
400,468,"Shri  Kabindra  Purkayastha                                       ",15,3,"Assam                                                       ",Silchar,21,21
401,469,"Shri  Dilip Singh  Judev                                             ",15,3,"Chhattisgarh                                                ",Bilaspur,21,8
402,470,"Smt.  Bijoya  Chakravarty                                       ",15,3,"Assam                                                       ",Gauhati,21,20
403,471,"Shri  Harin  Pathak                                            ",15,3,"Gujarat                                                     ","Ahmedabad East",21,13
404,473,"Shri  Kailash  Joshi                                             ",15,3,"Madhya Pradesh                                              ",Bhopal,21,9
405,474,"Smt.  Sumitra  Mahajan                                           ",15,3,"Madhya Pradesh                                              ",Indore,21,10
406,475,"Shri  Yogi  Adityanath                                        ",15,3,"Uttar Pradesh                                               ",Gorakhpur,21,14
407,476,"Shri  Rajendrasinh  Rana                                              ",15,3,"Gujarat                                                     ",Bhavnagar,21,17
408,477,"Shri  Narendra Singh  Tomar                                             ",15,3,"Madhya Pradesh                                              ",Morena,21,5
409,478,"Smt.  Yashodhara Raje  Scindia                                           ",15,3,"Madhya Pradesh                                              ",Gwalior,21,18
410,478,"Shri  D.V. Sadananda  Gowda                                             ",15,3,"Karnataka                                                   ","Udupi Chikmagalur",21,4
411,479,"Shri  Vishnu Deo  Sai                                               ",15,3,"Chhattisgarh                                                ",Raigarh,21,4
412,480,"Shri  Radha Mohan  Singh                                             ",15,3,"Bihar                                                       ","Purvi Champaran ",21,20
413,481,"Shri  Shripad Yesso  Naik                                              ",15,3,"Goa                                                         ","North Goa",21,15
414,482,"Shri  Nikhil Kumar  Choudhary                                         ",15,3,"Bihar                                                       ",Katihar,21,13
415,483,"Shri  Dilip Kumar Mansukhlal  Gandhi                                            ",15,3,"Maharashtra                                                 ",Ahmednagar,21,3
416,484,"Shri  Anant Kumar  Hegde                                             ",15,3,"Karnataka                                                   ","Uttara Kannada",21,11
417,486,"Shri  Ram Singh  Kaswan                                            ",15,3,"Rajasthan                                                   ",Churu,21,18
418,487,"Shri  Mansukhbhai Dhanjibhai  Vasava                                            ",15,3,"Gujarat                                                     ",Bharuch,21,17
419,488,"Shri  G.S.  Basavaraj                                         ",15,3,"Karnataka                                                   ",Tumkur,21,9
420,489,"Shri  D.B. Chandre  Gowda                                             ",15,3,"Karnataka                                                   ","Bangalore North",21,13
421,490,"Shri  Lalji  Tandon                                            ",15,3,"Uttar Pradesh                                               ",Lucknow,21,14
422,491,"Shri  Ashok  Argal                                             ",15,3,"Madhya Pradesh                                              ",Bhind,21,14
423,492,"Shri    Virendra Kumar                                    ",15,3,"Madhya Pradesh                                              ",Tikamgarh,21,10
424,493,"Shri  Ganesh  Singh                                             ",15,3,"Madhya Pradesh                                              ",Satna,21,9
425,494,"Shri  Rakesh  Singh                                             ",15,3,"Madhya Pradesh                                              ",Jabalpur,21,3
426,495,"Shri  Anurag Singh  Thakur                                            ",15,3,"Himachal Pradesh                                            ",Hamirpur,21,18
427,496,"Shri  Raosaheb  Dadarao  Danve                                             ",15,3,"Maharashtra                                                 ",Jalna,21,12
428,497,"Shri  Rajen  Gohain                                            ",15,3,"Assam                                                       ",Nawgong,21,5
429,498,"Shri  Hansraj Gangaram  Ahir                                              ",15,3,"Maharashtra                                                 ",Chandrapur,21,16
430,499,"Shri  Sohan  Potai                                             ",15,3,"Chhattisgarh                                                ",Kanker,21,1
431,500,"Shri  Ramsinhbhai Patalbhai  Rathwa                                            ",15,3,"Gujarat                                                     ","Chhota Udaipur",21,16
432,501,"Shri  Ramesh Chandappa  Jigajinagi                                        ",15,3,"Karnataka                                                   ",Bijapur,21,14
433,502,"Shri  Ravindra Kumar  Pandey                                            ",15,3,"Jharkhand                                                   ",Giridih,21,9
434,503,"Shri  Kirti  Azad                                              ",15,3,"Bihar                                                       ",Darbhanga,21,12
435,504,"Shri  Prahlad  Joshi                                             ",15,3,"Karnataka                                                   ",Dharwad,21,10
436,505,"Shri  Sanjay  Dhotre                                            ",15,3,"Maharashtra                                                 ",Akola,21,14
437,506,"Shri  P.C.  Gaddigoudar                                       ",15,3,"Karnataka                                                   ",Bagalkot,21,7
438,507,"Shri  Navjot Singh  Sidhu                                             ",15,3,"Punjab                                                      ",Amritsar,21,8
439,508,"Shri  Harischandra Deoram  Chavan                                            ",15,3,"Maharashtra                                                 ",Dindori,21,14
440,509,"Shri  Haribhau  Jawale                                            ",15,3,"Maharashtra                                                 ",Raver,21,14
441,510,"Shri   G.M.  Siddeswara                                        ",15,3,"Karnataka                                                   ",Davanagere,21,5
442,511,"Shri  Dushyant  Singh                                             ",15,3,"Rajasthan                                                   ",Jhalawar-Baran,21,17
443,512,"Shri  Bishnu Pada  Ray                                               ",15,3,"Andaman and Nicobar Islands                                 ","Andaman and Nicobar Islands",21,15
444,513,"Shri  Uday  Singh                                             ",15,3,"Bihar                                                       ",Purnia,21,18
445,514,"Shri  Govind Prasad  Mishra                                            ",15,3,"Madhya Pradesh                                              ",Sidhi,21,18
446,516,"Shri  Chandulal Sahu  Chandu Bhaiya  ",15,3,"Chhattisgarh                                                ",Mahasamund,21,7
447,517,"Shri  Bhupendra  Singh                                             ",15,3,"Madhya Pradesh                                              ",Sagar,21,3
448,518,"Shri  Sudarshan  Bhagat                                            ",15,3,"Jharkhand                                                   ",Lohardaga,21,4
449,519,"Dr.  Sanjay  Jaiswal                                           ",15,3,"Bihar                                                       ","Paschim Champaran",21,18
450,520,"Shri  Prabhatsinh  Pratapsinh Chauhan                                ",15,3,"Gujarat                                                     ",Panchmahal,21,10
451,521,"Shri  Pashupati Nath  Singh                                             ",15,3,"Jharkhand                                                   ",Dhanbad,21,9
452,523,"Shri  Devidhan  Besra                                             ",15,3,"Jharkhand                                                   ",Rajmahal,21,9
453,524,"Dr.  Bhola  Singh                                             ",15,3,"Bihar                                                       ",Nawada,21,20
454,525,"Shri  Devji M.  Patel                                             ",15,3,"Rajasthan                                                   ",Jalore,21,11
455,526,"Shri  C. R.  Patil                                             ",15,3,"Gujarat                                                     ",Navsari,21,14
456,527,"Shri  Balkrishna Khanderao  Shukla                                            ",15,3,"Gujarat                                                     ",Vadodara,21,6
457,528,"Shri  B. Y.  Raghavendra                                       ",15,3,"Karnataka                                                   ",Shimoga,21,7
458,529,"Shri  Arjun Ram  Meghwal                                           ",15,3,"Rajasthan                                                   ",Bikaner,21,20
459,530,"Shri  A.T. Nana  Patil                                             ",15,3,"Maharashtra                                                 ",Jalgaon,21,14
460,531,"Shri  Shivraj  Bhaiya                                            ",15,3,"Madhya Pradesh                                              ",Damoh,21,7
461,532,"Shri  Sonawane  Pratap Narayanrao                                 ",15,3,"Maharashtra                                                 ",Dhule,21,10
462,533,"Shri  Pradeep Kumar  Singh                                             ",15,3,"Bihar                                                       ",Araria,21,15
463,534,"Shri  Makhansingh  Solanki                                           ",15,3,"Madhya Pradesh                                              ",Khargone,21,8
464,535,"Shri  Chauhan  Mahendrasinh                                      ",15,3,"Gujarat                                                     ",Sabarkantha,21,19
465,537,"Shri  Lalubhai  B.  Patel                                             ",15,3,"Daman and Diu                                               ","Daman and Diu",21,3
466,538,"Dr.  Kiritbhai  Premajibhai    Solanki                            ",15,3,"Gujarat                                                     ","Ahmedabad West",21,20
467,539,"Shri  K. D.  Deshmukh                                          ",15,3,"Madhya Pradesh                                              ",Balaghat,21,2
468,540,"Shri  Janardhana  Swamy                                             ",15,3,"Karnataka                                                   ",Chitradurga,21,8
469,541,"Smt.  Kamla Devi  Patle                                             ",15,3,"Chhattisgarh                                                ","Janjgir-Champa ",21,4
470,542,"Smt.  Jyoti  Dhurve                                            ",15,3,"Madhya Pradesh                                              ",Betul,21,15
471,543,"Ms.  J.  Shantha                                           ",15,3,"Karnataka                                                   ",Bellary,21,13
472,544,"Smt.  Jayshreeben  Kanubhai    Patel                                 ",15,3,"Gujarat                                                     ",Mehesana,21,18
473,545,"Shri  Nishikant  Dubey                                             ",15,3,"Jharkhand                                                   ",Godda,21,13
474,546,"Shri  Natubhai Gomanbhai  Patel                                             ",15,3,"Dadra and Nagar Haveli                                      ","Dadra and Nagar Haveli",21,9
475,547,"Shri    Naranbhai   Kachhadia                             ",15,3,"Gujarat                                                     ",Amreli,21,16
476,548,"Shri  Nalin Kumar  Kateel                                            ",15,3,"Karnataka                                                   ","Dakshina Kannada",21,11
477,549,"Shri  Murarilal  Singh                                             ",15,3,"Chhattisgarh                                                ",Surguja,21,7
478,550,"Smt.  Jat Poonamben  Veljibhai                                         ",15,3,"Gujarat                                                     ",Kachchh,21,14
