"Apex Ministry/Dept/State","Parent of Organisation",org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,"Organisation levels"
"Central Board of Direct Taxes (Income Tax)","Chandigarh Range TDS",CHWD1,"Income Tax Officer TDS1","O/o ITOTDS-1 2nd Floor  C.R. Building  Sector-17E",NA,NA,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","Chandigarh Range TDS",CHWD2,"Income Tax Officer TDS2","O/o ITO(TDS)-2","2nd Floor  C.R. Building","Sector 17E",160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","Chandigarh Range TDS",CHWDP,"Income Tax Officer TDS Pta","O/o ITO (TDS)-Pta","Aaykar Bhawan","Leela Bhawan  Patiala",147001,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","Addl CIT RANGE 11",CI112,CIRCLE112,"ROOM No 114 AAYKAR bHAWAN","MAJURA GATE",SURAT,395001,ACIT,NA
"Central Board of Direct Taxes (Income Tax)","ADDL.CIT RANGE15 HYDERABAD",CI151,Circle151,"INCOME TAX TOWERS","MASAB ATNK","AC GUARDS HYDERABAD",500004,ACIT,NA
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX C 2.1",CI211,"DEPUTY COMMISSIONER OF INCOME TAX C 2.1.1","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 2.1.1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX C 2.1",CI212,"DEPUTY COMMISSIONER OF INCOME TAX C 2.1.2","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 2.1.2",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 2.2",CI221,"DEPUTY COMMISSIONER OF INCOME TAX C 2.2.1","BMTC COMPLEX  80 FEET ROAD","6TH BLOCK  KORAMANGALA",BENGALURU,560095,"DCIT C 2.2.1",6
"Central Board of Direct Taxes (Income Tax)","ADDITIONAL COMMISSIONER OF INCOME TAX R 2.2",CI231,"DEPUTY COMMISSIONER OF INCOME TAX C 2.3.1","BMTC COMPLEX  80 FEET ROAD 6TH BLOCK  KORAMANGALA",BENGALURU,NA,560095,"DCIT C 2.3.1",6
"Central Board of Direct Taxes (Income Tax)","Range 23 Delhi",CI232,CIRCLE,"CR BUILDING","I P ESTATE NEW DELHI",NA,110002,DCIT,5
"Central Board of Direct Taxes (Income Tax)","RANGE 40 NEW DELHI",CI401,"CIRCLE 401","Room No 1715","Civic Center","New Delhi",110002,ACIT,5
"Central Board of Direct Taxes (Income Tax)","RANGE 41 NEW DELHI",CI411,"CIRCLE 41 1","Room No 1704","Civic Center","New Delhi",110002,ACIT,5
"Central Board of Direct Taxes (Income Tax)","RANGE 42",CI421,"CIRCLE 421","Room No 1711","Civic Center","New Delhi",110002,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Addl CIT R 57 Kol",CI571,"CIRCLE 57 KOLKATA","169 AJC BOSE ROAD",BAMBOOVILLA,"KOLKATA 700014",700014,"ACIT CIRCLE 57 KOLKATA",NA
"Central Board of Direct Taxes (Income Tax)","JCIT RANGE74 DELHI",CI741,"CIRCLE 74 1","ROOM NO. 413  AAYAKAR BHAWAN","DISTT. CENTRE","LAXMI NAGAR",110092,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Addl. CIT Range 5",CIR05,"Circle 5 ludhiana","Aaykar Bhawan Rishi Nagar Ludhiana",NA,NA,141001,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Pr. CIT5 Pune",CIR10,"CIRCLE 10 PUNE","PRATYAKSHA KAR BHAWAN",AKURDI,PUNE,411044,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Range 01 Pune",CIR11,"Circle 1 Range 1 pune","2nd Floor  PMT Building",Swargate,Pune,411037,DCIT,5
"Central Board of Direct Taxes (Income Tax)","Range 01 Pune",CIR12,"CIRCLE 12","2ND FLOOR  PMT BUILDING",SWARGATE,PUNE,411037,DCIT,5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT RANGE 13",CIR13,"DCIT ACIT CIR 13","ROOM NO     ANAVIL BUSINESS CENTER",ADAJAN,SURAT,395001,"DCIT ACIT CIR 13",NA
"Central Board of Direct Taxes (Income Tax)","Central Range 4",CIR14,"CENTRAL CIRCLE 14",JHANDEWALLAN,DELHI,DELHI,110055,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Central Range 4",CIR15,"CENTRAL CIRCLE 15","ARA CENTRE","INCOME TAX",NA,110055,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Range 1 Agra",CIR1A,"Circle 1 Agra","Aaykar Bhawan","Sanjay Place",Agra,282002,ACIT,5
"Central Board of Direct Taxes (Income Tax)","ADDL CIT 21",CIR21,"DCIT 21","ROOM NO. 561  5TH FLOOR","AAYAKAR BHAVAN  M K ROAD",MUMBAI,400020,"DY. COMMISSIONER OF INCOME TAX",6
"Central Board of Direct Taxes (Income Tax)","Range 23 Delhi",CIR23,"CIRCLE 23-1","CR BUILDING NEW DELHI I P ESTATE",NA,NA,110002,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Addl CIT R 28 Kol",CIR28,"ACIT Circle 28 Kolkata","2 Gariahat Road South Kolkata",NA,NA,700068,"ACIT Circle 28 Kolkata",6
"Central Board of Direct Taxes (Income Tax)","Addl CIT R 29 Kol",CIR29,"ACIT Circle-29 Kolkata","2 Gariahat Road South",Kolkata,NA,700068,"ACIT Circle-29 Kolkata",6
"Central Board of Direct Taxes (Income Tax)","Range 2 Agra",CIR2A,"Circle 2 Agra","Aaykar Bhawan Sanjay Place Agra",NA,NA,282002,DCIT,5
"Central Board of Direct Taxes (Income Tax)","Joint Commissioner of Income Tax Range 2 Kota",CIR2K,"INCOME TAX DEPARTMENT","ROOM NO. 207","DENAK NAVJOTI BULDING RAWATBHATA ROAD",KOTA,324009,"ASSISTANT COMMISSIONER",5
"Central Board of Direct Taxes (Income Tax)","Addl CIT R 30 Kol",CIR30,"ACIT Cir 30 Kolkata","2  Gariahat Road South Kolkata",NA,NA,700068,"ACIT Cir 30 Kolkata",6
"Central Board of Direct Taxes (Income Tax)","Addl CIT R 3 Kol",CIR31,"DCIT Circle 3_1 Kolkata","Aayakar Bhawan","4th Floor",kolkata,700069,"DCIT CIRCLE 3_1 KOLKATA",NA
"Central Board of Direct Taxes (Income Tax)","Range 3 Mathura",CIR3M,"Circle 3 Mathura","Income Tax Office Radhika Vihar   Phase-II Mathura",NA,NA,282002,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Income Tax Deptt.",CIR41,"CIRCLE 4 1",G-15B,"C R BUILDING","I P ESTATE",110002,DCIT,5
"Central Board of Direct Taxes (Income Tax)","Income Tax Deptt.",CIR42,"CIRCLE 4 2",398D,"C R BUILDING","I P ESTATE",110002,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Addl CIT R 47 Kol",CIR47,"CIRCLE 47","INCOME TAX OFFICE  3.NO.GOVT.PLACE  WEST","1 ST FLOOR",KOLKATA,700001,"ACIT 47 KOLKATA",NA
"Central Board of Direct Taxes (Income Tax)","Range 4 agra",CIR4A,"Circle 4 Agra","Aaykar Bhawan","Sanjay Place",Agra,282002,DCIT,5
"Central Board of Direct Taxes (Income Tax)","INCOME TAX DEPARTMENT",CIR51,"INCOME TAX DEPARTMENT","G15B  Ground Floor","C.R. Building  ITO  I.P.Estate",NA,110002,Circle51,6
"Central Board of Direct Taxes (Income Tax)","Income Tax Deptt.",CIR52,"INCOME TAX DEPARTMENT","G-22CC R BUILDINGI. P. ESTATE",NA,NA,110002,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Range 5 Firozabad",CIR5F,"Circle 5 Firozabad","Aaykar Bhawan",Dabarai,Firozabad,283203,DCIT,5
"Central Board of Direct Taxes (Income Tax)","Addl. CIT Range 61 New Delhi",CIR61,"ACTI Circle 61","ACTI Circle 61 New Delhi","Room No.2005 Civic Centre","New Delhi",110002,"ACIT Circle 61 New Delhi",5
"Central Board of Direct Taxes (Income Tax)","Addl. CIT Range 62 New Delhi",CIR62,"ACIT Circle 62 1 New Delhi","ACIT Circle 62 1 New Delhi","Room No.2202 Civic Centre","New Delhi",110002,"ACIT Circle 62 1 New Delhi",5
"Central Board of Direct Taxes (Income Tax)","Addl. CIT Range 63 New Delhi",CIR63,"ACIT Circle 63 1 New Delhi","ACIT Circle 63 1 New Delhi","Room No.2205 Civic Centre","New Delhi",110002,"ACIT Circle 63 1 New Delhi",5
"Central Board of Direct Taxes (Income Tax)","Range 6 Jhansi",CIR6J,"Circle 6 Jhansi","Aaykar Bhawan","Civil Lines",Jhansi,284001,DCIT,5
"Central Board of Direct Taxes (Income Tax)","JCIT Range 73 New Delhi",CIR73,"Circle 73 1","Aaykar Bhawan","Laxmi Nagar",NA,110093,ACIT,NA
"Central Board of Direct Taxes (Income Tax)","JCIT RANGE 75 DELHI",CIR75,"Income Tax Office","Room No. 413A","District Centre","Laxmi Nagar",110092,"Asst. CIT",5
"Central Board of Direct Taxes (Income Tax)","Addl. CIT  Range-76 Delhi",CIR76,"Circle 76-1","DCIT CIRCLE 76-1","LAXMI NAGAR",NA,110092,DCIT,5
"Central Board of Direct Taxes (Income Tax)","JCIT Moga Range",CIR78,"ACIT CircleMoga","ACIT  Circle  Moga  near SBI  Moga  G.T road","Frz Road  Moga",NA,142001,"ACIT Cir. Moga",5
"Central Board of Direct Taxes (Income Tax)","Addl. Range 7 Pune",CIR7P,"ACIT CIRCLE7","Bodhi Tower  548/28  Salisbury Park","Gultekdi  Pune",Pune,411037,"DY. COMMISSIONER OF IT",6
"Central Board of Direct Taxes (Income Tax)","OFFICE OF THE ADDL. CIT RANGE8",CIR81,"CIRCLE 8.1","ROOM NO. G18B","C. R. BUILDING","NEW DELHI",110002,DCIT,5
"Central Board of Direct Taxes (Income Tax)","OFFICE OF THE ADDL. CIT RANGE8",CIR82,"CIRCLE 8.2","ROOM NO. 194","C. R. BUILDING","NEW DELHI",110002,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Range 8 Pune",CIR8P,Circle-8-pune,"pratyaksh kar bhawan",akurdi,pune,411044,DCIT,6
"Central Board of Direct Taxes (Income Tax)","INTERNATIONAL TAXATION RANGE1",CIIT1,CIRCLE-1,"2ND FLOOR  BO BHAVAN","PUNE SATARA ROAD",PUNE,411009,ACIT,6
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX MUMBAI",CILTU,"Commissioner of Income Tax LTU","29th floor  WTC  Centre 1  Mumbai",NA,NA,400005,"CIT LTU",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX INDORE",CIND1,"Commissioner of Income Tax INDORE I","Aayakar Bhawan","White Church Road",Indore,452001,Pr.CIT,3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX INDORE",CIND2,"Commissioner of Income Tax INDORE II","Aayakar Bhawan White Church Road Indore",NA,NA,452001,"Principal Commissioner of Income Tax",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax (Intl. Tax)",CINT1,"CIT INTERNATIONAL 1 DELHI","PRATYAKSH KAR BHAWAN SPM CIVIC CENTRE NEW DELHI",NA,NA,110002,"CIT IT 1 DELHI",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax (Intl. Tax)",CINT2,"CIT INTERNATIONAL 2 DELHI","E-2  BLOCK PRATYAKSH KAR BHAWAN SPM CIVIC CENTRE N","EW DELHI",NA,110002,"CIT IT 2  DELHI",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax (Intl. Tax)",CINT3,"CIT INTERNATIONAL 3 DELHI","PRATYAKSH KAR BHAWAN","SPM CIVIC CENTRE","NEW DELHI",110002,"CIT IT 3 DELHI",3
"Central Board of Direct Taxes (Income Tax)","DIRECTOR GENERAL OF INCOME TAX (SYSTEM)",CIOSD,"Commissioner of Income Tax OSD","O/o CIT-ITBA E-2 ARA Centre  Jhandewalan Extn.","New Delhi",NA,110055,"Assistant Director",3
"Central Board of Direct Taxes (Income Tax)","Joint Commissioner of Income Tax Range Bhiwani",CIRBW,"CENTRAL BOARD OF DIRECT TAXES","SCO-222  HUDA CITY CENTRE  BHIWANI",NA,BHIWANI,127021,ACIT,5
"Central Board of Direct Taxes (Income Tax)","RANGE1 GZB",CIRC1,"CIRCLE 1 GZB","ROOM NO 201","CGO COMPLEX 1 HAPUR CHUNGI",GHAZIABAD,201001,"Dy. Commissioner of Income Tax",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range 2 Patna",CIRC2,"Ciicle 2 Patna","4th Floor Lok Nayak jai Prakash bhawan","Frazer road",Patna,800001,"ACIT Circle 2 Patna",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range 3 Gaya",CIRC3,"Circle 3 Gaya","Income Tax office  R.K Place Kashi Nath moar Gaya",NA,NA,823001,"ACIT Circle 3 Gaya",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range6",CIRC6,"ACIT Circle6","ACIT  Circe-6  rishi Nagar","Ayakar Bhawan  ludhiana",NA,141001,"ACIT Circle6 Ldh",5
"Central Board of Direct Taxes (Income Tax)","JCIT Range7 Ldh",CIRC7,Circle7,"ACIT  Circle-7  Ludhiana",NA,NA,141001,ACIT,5
"Central Board of Direct Taxes (Income Tax)","Range 1 Chandigarh",CIRCL,"CIRCLE1 1 CHANDIGARH","AAYAKAR BHAWAN","SECTOR 17 CHANDIGARH",NA,160017,DCIT,5
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX CHANDIGARH",CHONE,"Commissioner of Income Tax CHANDIGARH I","Aayakar Bhawan","SECTOR 17 E",CHANDIGARH,160017,"Pr.Commissioner of Income Tax1",3
"Central Board of Direct Taxes (Income Tax)","Addl. Commissioner of Income Tax RChittor",CHR11,"Income Tax Department","Aayakar Bhawan","Kila Road",Chittorgarh,312001,"ITO Ward1 COR",5
"Central Board of Direct Taxes (Income Tax)","Addl. Commissioner of Income Tax RChittor",CHR22,"Income Tax Department","Aayakar Bhawan","Kila Road",Chittorgarh,312001,"ITO W2 Chittorgarh",5
"Central Board of Direct Taxes (Income Tax)","Addl. Commissioner of Income Tax RChittor",CHR33,"Income Tax Department","Aayakar Bhawan","Kila Road",Chittorgarh,312001,"ITO W3 Chittorgarh",5
"Central Board of Direct Taxes (Income Tax)","Commissioner of Income Tax (TDS), Chandigarh",CHRG1,"Chandigarh Range TDS","O/o Commissioner of Income Tax  C.R. Building Sect","or-17E  Chandigarh",NA,160017,"Joint Commissioner of IT TDS",4
"Central Board of Direct Taxes (Income Tax)","RANGE JHUNJHUNU",CHRU1,"ITO Ward 1 Churu","Income Tax Office",Churu,NA,NA,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","RANGE JHUNJHUNU",CHRU2,"ITO Ward 2 Churu","Income Tax Office",Churu,NA,NA,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","RANGE JHUNJHUNU",CHRU3,"ITO Ward 3 Churu","Income Tax Office",Churu,NA,NA,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHTD1,"CIT TDS COIMBATORE","63 RACE COURSE ROAD",COIMBATORE,NA,641018,"CIT TDS COIMBATORE",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX CHANDIGARH",CHTDS,"Commissioner of Income Tax (TDS), Chandigarh","Central Revenue Building Sector-17E  Chandigarh",NA,NA,160017,CIT,3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX CHANDIGARH",CHTWO,"Commissioner of Income Tax CHANDIGARH II","502  AAYAKAR BHAWAN 5th FLOOR","SECTOR 17E",CHANDIGARH,160017,"PR.COMMISSIONER OF INCOME TAX2",3
"Central Board of Direct Taxes (Income Tax)",range4,CHW41,"WARD 41","ROOM NO. 522 AAYAKAR BHAWAN  SECTOR - 17E  CHANDIG",ARH,NA,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)",range4,CHW42,"WARD 42","Room No 524  5th Floor  Aayakar Bhawan  Sector 17-","E  Chandigarh",NA,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)",range4,CHW43,"WARD 43","ROOM  NO. 525","AAYAKAR BHAWAN  SECTOR - 17E",CHANDIGARH,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)",range4,CHW44,"WARD 44","ROOM NO. 528","AAYAKAR BHAWAN  SECTOR - 17E",CHANDIGARH,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)",range4,CHW45,"WARD 45","ROOM NO. 519 AAYAKAR BHAWAN  SECTOR - 17E  CHANDIG",ARH,NA,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)",range5,CHW51,"WARD 51","ROOM NO. 619","AAYAKAR BHAWAN  SECTOR - 17E",CHANDIGARH,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)",range5,CHW52,"WARD 52","ROOM NO. 624","AAYAKAR BHAWAN  SECTOR - 17E",CHANDIGARH,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)",range5,CHW53,"WARD 53","ROOM NO. 625","AAYAKAR BHAWAN  SECTOR - 17E",CHANDIGARH,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)",range5,CHW54,"WARD 54","ROOM NO. 628","AAYAKAR BHAWAN  SECTOR - 17E",CHANDIGARH,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)",range5,CHW55,"WARD 55","ROOM NO. 627  AAYAKAR BHAWAN  SECTOR - 17E  CHANDI",GARH,NA,160017,"Income Tax Officer",5
"Central Board of Direct Taxes (Income Tax)","Pr. Commissioner of Income Tax Delhi-VI",CGSR6,"SPECIAL RANGE-06 NEW DELHI","ROOM NO. 352  C.R. BUILDING","NEW DELHI",NA,110002,"ADDITIONAL CIT",4
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax, Kerala",CH123,"Commissioner of Income Tax, KOCHI-I","CR Building  IS Press Road Kochi",NA,NA,682018,"PCIT KOCHI I",3
"Central Board of Direct Taxes (Income Tax)","Commissioner of Income Tax CHANDIGARH I",CH1HQ,"CIT 1 HEADQUARTERS","202  AAYAKAR BHAWAN","SECTOR 17 E",CHANDIGARH,160017,"ASSTT. COMMISSIONER",4
"Central Board of Direct Taxes (Income Tax)","Central Board of Direct Taxes (Income Tax)",CHAND,"CHIEF COMMISSIONER OF INCOME TAX CHANDIGARH","O/o the PR. CHIEF COMMISSIONER OF INCOME TAX","Aayakar Bhawan  HIMALAYA MARG","SECTOR-17-E  CHANDIGARH",160017,"ITO HQ TPS 1 Chandigarh",2
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCC1,"CHIEF COMMISSIONER OF INCOME TAX I","121  MAHATMA GANDHI ROAD",NUNGAMBAKKAM,CHENNAI,600034,"CCIT 1 CHENNAI IN CHARGE",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCC2,"CHIEF COMMISSIONER OF INCOME TAX II","121 MAHATMA GANDHI ROAD",NUNGAMBAKKAM,CHENNAI,600034,"CCIT 2 CHENNAI",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCC3,"CHIEF COMMISSIONER OF INCOME TAX III","121 MAHATMA GANDHI ROAD",NUNGAMBAKKAM,CHENNAI,600034,"CCIT 3 CHENNAI",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCC4,"CHIEF COMMISSIONER OF INCOME TAX IV","121 MAHATMA GANDHI ROAD",NUNGAMBAKKAM,CHENNAI,600034,"CCIT 4 CHENNAI IN CHARGE",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCC5,"CHIEF COMMISSIONER OF INCOME TAX TDS CHENNAI","121 MAHATMA GANDHI ROAD",NUNGAMBAKKAM,CHENNAI,600034,"CCIT TDS CHENNAI INCHARGE",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCC6,"DIRECTOR GENERAL OF INCOME TAX INV. CHENNAI","46 OLD NO.108  MAHATMA GANDHI ROAD",NUNGAMBAKKAM,CHENNAI,600034,"DGIT INVESTIGATION CHENNAI",3
"Central Board of Direct Taxes (Income Tax)",range4,CHC41,"CIRCLE 41","Room No. 514","Aayakar Bhawan  Sector - 17E",Chandigarh,160017,"AsttCommissioner of Income Tax",5
"Central Board of Direct Taxes (Income Tax)",range5,CHC51,"CIRCLE 51","ROOM NO. 614","AAYAKAR BHAWAN SECTOR - 17E",CHANDIGRH,160017,"Asstt. Commissioner of Income",5
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCI1,"COMMISSIONER OF INCOME TAX 1 CHENNAI","121 M G ROAD",NUNGAMBAKKAM,CHENNAI,600034,"PCIT 1 CHENNAI",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCI2,"COMMISSIONER OF INCOME TAX II CHENNAI","121 M G ROAD",NUNGAMBAKKAM,CHENNAI,600034,"PCIT 2 CHENNAI",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCI3,"COMMISSIONER OF INCOME TAX III CHENNAI","121 M G ROAD",NUNGAMBAKKAM,CHENNAI,600034,"PCIT 3 CHENNAI INCHARGE",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCI4,"COMMISSIONER OF INCOME TAX IV CHENNAI","121 M G ROAD",NUNGAMBAKKAM,CHENNAI,600034,"PCIT 4 CHENNAI",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCI5,"COMMISSIONER OF INCOME TAX V CHENNAI","121 M G ROAD",NUNGAMBAKKAM,CHENNAI,600034,"PCIT 5 CHENNAI",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCI6,"COMMISSIONER OF INCOME TAX VI CHENNAI","121 M G ROAD",NUUNGAMBAKKAM,CHENNAI,600034,"PCIT 6 CHENNAI INCHARGE",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCI7,"COMMISSIONER OF INCOME TAX VII CHENNAI","121 M G ROAD",NUNGAMBAKKAM,CHENNAI,600034,"PCIT 7 CHENNAI",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCI8,"COMMISSIONER OF INCOME TAX VIII CHENNAI","121 M G ROAD",NUNGAMBAKKAM,CHENNAI,600034,"PCIT 8 CHENNAI",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCI9,"COMMISSIONER OF INCOME TAX IX CHENNAI","121 M G ROAD",NUNGAMBAKKAM,CHENNAI,600034,"PCIT 9 CHENNAI incharge",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHCIX,"COMMISSIONER OF INCOME TAX X CHENNAI","121 M G ROAD",NUNGAMBAKKAM,CHENNAI,600034,"PCIT 10 CHENNAI",3
"Central Board of Direct Taxes (Income Tax)","Chandigarh Range TDS",CHCR1,"Dy. Commissioner of Income Tax TDS","O/o ACIT TDS","2nd Floor  C.R. Building","Sector 17E",160017,"Assistant CIT TDS Chandigarh",5
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX CHANDIGARH",CHDAP,"CIT APPEALS CHANDIGARH","CENTRAL REVENUE BUILDING","HIMALAYA MARG  SECTOR 17-E",CHANDIGARH,160017,"COMMISSIONER OF INCOME TAX",3
"Central Board of Direct Taxes (Income Tax)","CHIEF COMMISSIONER OF INCOME TAX  CHENNAI",CHDI1,"PR. DIRECTOR OF INCOME TAX INV. CHENNAI","46 OLD NO.108  MAHATMA GANDHI ROAD",NUNGAMBAKKAM,CHENNAI,600034,"PR. DIT INVESTIGATION CHENNAI",3
"Central Board of Direct Taxes (Income Tax)","DGIT PANCHKULA",CHDPD,"PR. DIT INVESTIGATION CHANDIGARH","Aayakar Bhawan",Sector-2,Panchkula,134112,"Pr. Director of Income Tax",4
"Central Board of Direct Taxes (Income Tax)","Central Board of Direct Taxes (Income Tax)",CHENN,"CHIEF COMMISSIONER OF INCOME TAX  CHENNAI","121  MAHATMA GANDHI ROAD  NUNGAMBAKKAM CHENNAI",NA,NA,600034,"PR. CHIEF COMMISSIONER OF INCOME TAX",2
"Central Board of Direct Taxes (Income Tax)","Pr. CCIT (CCA) Hyderabad",CIT01,"Pr. Chief Commissioner of Income Tax Hyderbad  I","7TH FLOOR  A BLOCK   I.T.TOWERS","MASAB TANK  A.C.GUARDS",HYDERABAD,500004,"Pr. CIT 1 HYDERABAD I.C",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CIT02,"Pr. Commissioner of Income Tax Delhi-II","Room No.394","C.R. Building  I.P.Estate","New Delhi",110002,"Pr. CIT DELHI 2",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CIT03,"Pr. Commissioner of Income Tax Delhi-III","Room No. 394A","C.R.BLDG. I.P.Estate","NEW DELHI",110002,"Pr.CIT 03 New Delhi",3
"Central Board of Direct Taxes (Income Tax)","Pr. CCIT (CCA) Hyderabad",CIT04,NA,"2nd FLOOR   I.T.Towers  A Blcok OPP Mahavir Hospit","al  A.C.Guards HYDERABAD",NA,500004,"Pr.Commissioner of Income Tax",3
"Central Board of Direct Taxes (Income Tax)","Pr. CCIT (CCA) Hyderabad",CIT05,"Commissioner of Income Tax, HYDERABAD-V","Room No-611  6-A  6th Floor  IT Towers","10-2-3  A C GUARDS  MASAB TANK",HYDERABAD,500004,"CIT V HYD",3
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Mumbai-IV",CIT06,"Commissioner of Income Tax","Room no. 501  Aayakar Bhavan",M.K.Road,Mumbai,400020,"CIT. 6 Mumbai",4
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Mumbai-IV",CIT07,CIT07,"Room No.611  Aayakar Bhavan",M.K.Road,Mumbai,400020,"CIT. 7 Mumbai",4
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CIT08,"Pr. Commissioner of Income Tax Delhi-VIII","397  C.R. Building  I.P. Estate ITO  New Delhi",NA,NA,110002,"Pr. CIT Delhi VIII",3
"Central Board of Direct Taxes (Income Tax)","Pr. Chief Commissioner of Income Tax Delhi-I",CIT0I,"Commissioner of Income Tax DELHI-I","Room No. 363A  Aayakar Bhawan C R Building  I P Es","tate New Delhi",NA,110002,"Pr. CIT Delhi I",3
"Central Board of Direct Taxes (Income Tax)","Chief Commissioner of Income Tax, Mumbai-IV",CIT0T,"Commisssioner of Income Tax TDS","900B  Smt. K.G. Mittal Ayurvedic Hospital Bldg.","Charni Road(W)",Mumbai.,400002,"CIT. TDS 1 Mumbai",4
