Primary_Occupation,Registration_Count,Last_Updated
AGRICULTURE,149939978,2023-02-23T08:48:18Z
APPAREL,17892024,2023-02-23T08:48:18Z
"AUTOMOBILE & TRANSPORTATION",8006221,2023-02-23T08:48:18Z
"BEAUTY & WELLNESS",1889448,2023-02-23T08:48:18Z
BFSI,40996,2023-02-23T08:48:18Z
"CAPITAL GOODS & MANUFACTURING",6732308,2023-02-23T08:48:18Z
CONSTRUCTION,25983686,2023-02-23T08:48:18Z
"DOMESTIC AND HOUSEHOLD WORKERS",27922613,2023-02-23T08:48:18Z
EDUCATION,4858604,2023-02-23T08:48:18Z
"ELECTRONICS & HW",4732986,2023-02-23T08:48:18Z
"FOOD INDUSTRY",950338,2023-02-23T08:48:18Z
"GEM & JEWELLERY",647147,2023-02-23T08:48:18Z
"GLASS & CERAMICS",58532,2023-02-23T08:48:18Z
"HANDICRAFTS & CARPETS",2164079,2023-02-23T08:48:18Z
HEALTHCARE,3093220,2023-02-23T08:48:18Z
"LEATHER INDUSTRY WORKS",5581598,2023-02-23T08:48:18Z
MINING,430977,2023-02-23T08:48:18Z
MISCELLANEOUS,12207857,2023-02-23T08:48:18Z
"MUSICAL INSTRUMENTS",95054,2023-02-23T08:48:18Z
"NOT PROVIDED",77198,2023-02-23T08:48:18Z
"OFFICE ADMINISTRATION & FACILITY MANAGEMENT",2205735,2023-02-23T08:48:18Z
"ORGANISED RETAIL",81707,2023-02-23T08:48:18Z
OTHERS,107,2023-02-23T08:48:18Z
PRINTING,461382,2023-02-23T08:48:18Z
"PRIVATE SECURITY",418663,2023-02-23T08:48:18Z
PROFESSIONALS,756506,2023-02-23T08:48:18Z
RETAIL,2236565,2023-02-23T08:48:18Z
SERVICE,263955,2023-02-23T08:48:18Z
"TEXTILE & HANDLOOM",192400,2023-02-23T08:48:18Z
"TOBACCO INDUSTRY",2131060,2023-02-23T08:48:18Z
"TOURISM & HOSPITALITY",3812473,2023-02-23T08:48:18Z
"WOOD & CARPENTRY",174104,2023-02-23T08:48:18Z
