"State Name","District Name","Block Name","Panchayat Name","Village Name","Habitation Name","Quality Parameter",Year
"ANDHRA PRADESH","EAST GODAVARI(04)",PRATHIPADU(10),GOKAVARAM(04),"VANTHADA(014 )",VANTHADA(0404410014010400),Salinity,1-04-2010
"ANDHRA PRADESH","EAST GODAVARI(04)",PRATHIPADU(10),GOKAVARAM(04),"PANDAVULAPALEM(022 )",PANDAVULAPALEM(0404410022010400),Fluoride,1-04-2010
"ANDHRA PRADESH","EAST GODAVARI(04)",PRATHIPADU(10),GAJJANAPUDI(06),"G. KOTHURU(023 )","G. KOTHURU(0404410023010600)",Salinity,1-04-2010
"ANDHRA PRADESH","EAST GODAVARI(04)",PRATHIPADU(10),GAJJANAPUDI(06),"GAJJANAPUDI(029 )",GAJJANAPUDI(0404410029010600),Salinity,1-04-2010
"ANDHRA PRADESH","EAST GODAVARI(04)",PRATHIPADU(10),CHINTALURU(10),"CHINTALURU(028 )",CHINTALURU(0404410028011000),Salinity,1-04-2010
"ANDHRA PRADESH","EAST GODAVARI(04)",PRATHIPADU(10),ELURU(16),"P. JAGANNADHAPURAM(035 )","P. JAGANNADHAPURAM(0404410035011600)",Fluoride,1-04-2010
"ANDHRA PRADESH","EAST GODAVARI(04)",RAMPACHODAVARAM(13),MANIWADA(08),"REDAKONDA(020 )",REDAKONDA(0403813020010800),Salinity,1-04-2010
"ANDHRA PRADESH","EAST GODAVARI(04)",DEVIPATNAM(14),CHOPPAKONDA(08),"NEREDUVALASA(028 )",NEREDUVALASA(0403814028010800),Fluoride,1-04-2010
"ANDHRA PRADESH","WEST GODAVARI(05)",BHIMAVARAM(36),VEMPA(23),"VEMPA(016 )",VEMPA(0505936016012300),Salinity,1-04-2010
"ANDHRA PRADESH","WEST GODAVARI(05)",BHIMAVARAM(36),VEMPA(23),"VEMPA(016 )",HARIJANAVADA(0505936016022300),Salinity,1-04-2010
"ANDHRA PRADESH","WEST GODAVARI(05)",BHIMAVARAM(36),VEMPA(23),"VEMPA(016 )",KOTTAMALAPALLI(0505936016032300),Salinity,1-04-2010
"ANDHRA PRADESH","WEST GODAVARI(05)",BHIMAVARAM(36),VEMPA(23),"VEMPA(016 )","SETTIBALIJI PETA(0505936016042300)",Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),GAMPALAGUDEM(12),VINAGADAPA(24),"VINAGADAPA(020 )","LAMBADI THANDA(0608112020012403)",Fluoride,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),REDDIGUDEM(15),MUCHINAPALLI(01),"MUCHINAPALLI(001 )",MUCHINAPALLI(0608015001010100),Fluoride,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),REDDIGUDEM(15),MADDULAPARVA(02),"MADDULAPARVA(002 )",MADDULAPARVA(0608115002010200),Fluoride,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),REDDIGUDEM(15),KUDAPA(06),"KUDAPA(006 )","LAMBADI THANDA(0608015006020601)",Fluoride,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),REDDIGUDEM(15),RUDRAVARAM(07),"RUDRAVARAM(007 )",RUDRAVARAM(0608015007010700),Fluoride,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),REDDIGUDEM(15),RUDRAVARAM(07),"RUDRAVARAM(007 )","PATHA MANGAPURAM(0608015007030700)",Fluoride,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),REDDIGUDEM(15),NARUKULLAPADU(08),"NARAKULLAPADU(008 )",NARAKULLAPADU(0608015008010800),Fluoride,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),REDDIGUDEM(15),NARUKULLAPADU(08),"NARAKULLAPADU(008 )",OBULAPURAM(0608015008020800),Fluoride,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),MACHILIPATNAM(37),TALLAPALEM(03),"THALLAPALEM(003 )","BEACH AREA(0608837003160300)",Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),MACHILIPATNAM(37),MANGINAPUDI(05),"MANGINAPUDI(005 )",MANGINAPUDI(0608937005010500),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),MACHILIPATNAM(37),CHIRIVELLAPALEM(06),"MANGINAPUDI(005 )",MARRIDIBBA(0608937005030600),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),MACHILIPATNAM(37),POTHIREDDIPALEM(12),"POTHEPALLI(012 )",CHEEKATIVANIPALEM(0608937012041200),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),LANKALAKALAVAGUNTA(03),"LANKALAKALAVAGUNTA(003 )",REDDIPALEM(0608844003030300),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),KAMALAPURAM(04),"KAMALAPURAM(004 )",UPPALAKALVAGUNTAPALEM(0608844004030400),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),KOPPALLE(05),"MUTCHILIGUNTA(010 )",MUTCHILIGUNTA(0608844010010500),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),"SERI VARTHELAPALLE(09)","SERI VARTHELAPALLE(009 )","SERI VARTHELAPALLE(0608844009010900)",Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),"SERI VARTHELAPALLE(09)","SERI VARTHELAPALLE(009 )",MULAMARRIGUNTA(0608844009020900),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),GURIVINDAGUNTA(12),"GURIVINDAGUNTA(014 )",GURIVINDAGUNTA(0608844014011200),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),NANDAMURU(18),"NANDAMURU(023 )",NANDAMURU(0608844023011800),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),NANDAMURU(18),"NANDAMURU(023 )",TIPPAMEEDA(0608844023021800),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),NANDAMURU(18),"NANDAMURU(023 )",CHINANANDAMURU(0608844023031800),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),NANDAMURU(18),"NANDAMURU(023 )",SATYANARAYANAPURAM(0608844023051800),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),NANDAMURU(18),"NANDAMURU(023 )",CHINAKOTAVARIPALEM(0608844023061800),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),PEDANA(44),KONKEPUDI(21),"KONKEPUDI(026 )",KATLAPALLE(0608844026022100),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),BANTUMILLI(45),RAVIGUNTA(03),"PEDATUMIDI(001 )",P.RAVIGUNTA(0608745001100300),Salinity,1-04-2010
"ANDHRA PRADESH",KRISHNA(06),BANTUMILLI(45),RAMAVARAPUMODI(04),"RAMAVARAPUMODI(002 )",RAMAVARAPUMODI(0608745002010400),Salinity,1-04-2010
