state_name,district_name,block_name,panchayat_name,villagen_name,habitation_name,habitation_id,households,house_connection_by_pws,ispws,gen_current_pop,sc_current_pop,st_current_pop,total_current_pop,water_quality_contamination,update_date
"Jammu & Kashmir",Ganderbal,Gund,"Ganiwan A",NA,"New Colony Ganiwan",0000351412,128,128,Yes,640,0,0,640,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Ganiwan A",NA,"Molvi Patti (gurud, Tunnel Patti, Rezupati)",0000351413,87,87,Yes,190,0,360,550,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Sonamarg B",NA,Chunniraj,0000351434,55,55,Yes,183,0,165,348,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Sonamarg A",NA,"Sonamarg (sheikh Mohall, Raina Mohalla, Raina Patt",0000351438,61,61,Yes,425,0,6,431,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Sonamarg A",NA,Shatikari,0000351439,36,36,Yes,346,0,3,349,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Fraw Haknar A",NA,"Ganaie Mohalla",0000351444,26,26,Yes,60,0,80,140,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Fraw Haknar A",NA,"Aawan Basti (gujjar Pati)",0000351445,30,30,Yes,85,0,180,265,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Gund Sarsing A",NA,"Malik Mohalla (pomposh Colony)",0000351449,81,81,Yes,408,0,161,569,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Gund Sarsing A",NA,"Doe Patti",0000351451,51,51,Yes,274,0,111,385,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,Rayil,NA,"Rayil Khud (patheribal)",0000351454,19,19,Yes,140,0,47,187,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Fraw Haknar A",NA,"Chopan Basti",0001752191,43,43,Yes,210,0,129,339,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,Rayil,NA,"Mudpra Balti Basti",0001752220,30,30,Yes,210,0,83,293,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Sonamarg B",NA,"Nayak Mohalla",0001752245,47,47,Yes,154,0,138,292,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Ganiwan B",NA,Bondeji,0001859823,42,42,Yes,100,0,40,140,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Ganiwan B",NA,"Kasana Pati",0001859837,56,56,Yes,240,0,100,340,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,Sumbal,NA,"Sumbal Bala (bhat Mohalla, Numberdar Mohalla, Kanv",0000351414,149,149,Yes,258,0,746,1004,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Sonamarg C",NA,"Rezan (haerpora, Isbandar Gousia Colony)",0000351436,77,77,Yes,370,0,240,610,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,Rayil,NA,"Kalas Patti (n.d.b)",0000351453,41,41,Yes,220,0,112,332,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Saraf Raw A",NA,"Saraf Raw (mukhdoom Mohalla, Hairpora, Bunpora, Ne",0000351455,141,141,Yes,351,0,488,839,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Saraf Raw A",NA,"Ball Daji (yarra Dajji)",0000351461,41,41,Yes,107,0,149,256,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,Rayil,NA,"Akhoon Mohalla (ganie Mohalla)",0001752218,41,41,Yes,210,0,104,314,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,Rayil,NA,"Shukthung Mohalla",0001752225,41,41,Yes,210,0,104,314,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Ganiwan A",NA,"Kralpatti (kachpathri)",0001762368,76,76,Yes,218,0,463,681,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Ganiwan A",NA,"Jharapati (theckrey Patti)",0001762370,50,50,Yes,73,0,227,300,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Saraf Raw B",NA,"Chak Patti",0001814931,64,64,Yes,155,0,216,371,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Ganiwan B",NA,"Sheikh Mohalla",0001859834,48,48,Yes,90,0,200,290,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Ganiwan B",NA,"Thakery Pati",0001860021,10,10,Yes,0,0,55,55,NA,2024-06-07
"Jammu & Kashmir",Ganderbal,Gund,"Kullan B",NA,Zerpora,0001860043,45,45,Yes,220,0,50,270,NA,2024-06-07
