"State Name","District Name","Block Name","Panchayat Name","Village Name","Habitation Name","Quality Parameter",Year
"ANDHRA PRADESH",KHAMMAM(22),"KHAMMAM RURAL  (37)","CHINTHA PALLI(14)","AREKODU(010 )","SRINAGAR COLONY NEW(2228037010031401)",Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"THURKAPALLY (02)",VENKATAPUR(10),"VENKATAPUR(012 )",KADILABAI(2329102012031000),Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"THURKAPALLY (02)","M. THRUKAPALLY(11)","M. THRUKAPALLY(013 )","M. THRUKAPALLY(2329102013011100)",Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"THURKAPALLY (02)",VASALAMARRI(12),"VASALAMARRI(014 )",RAMSHETTIPALLY(2329102014021200),Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"THURKAPALLY (02)",MALKAPUR(13),"MALKAPUR(015 )",CHAPRATHANDA(2329102015051301),Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"THURKAPALLY (02)","NAGAI PALLY(15)","NAGAI PALLY(017 )","NAGAIPALLY THANDA(2329102017021500)",Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"THURKAPALLY (02)","MULKA PALLY(18)","MULKA PALLY(020 )","BHAGYA THANDA(2329102020061800)",Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"RAJAPET (03)",NEMILLA(12),"NEMILLA(011 )",PULLIVANIBAI(2329103011021200),Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"RAJAPET (03)",BASANTHAPUR(15),"BASANTHAPUR(015 )",BASANTHAPUR(2329103015011500),Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"RAJAPET (03)",KALWAPALLY(16),"KALWAPALLY(016 )",KALWAPALLY(2329103016011600),Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"RAJAPET (03)",BEGUMPET(17),"BEGUMPET(017 )",NEELLAGUDEM(2329103017021700),Fluoride,1-04-2011
"ANDHRA PRADESH",NALGONDA(23),"RAJAPET (03)",CHALLURU(18),"CHALLURU(018 )",VADDERAWADA(2329103018021800),Fluoride,1-04-2011
