state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
"Andhra Pradesh",Guntur,Amaravathi,Jupudi,Jupudi,Jupudi,0000015341,0002360309,2144346,River,"Surface Water",PONDUGALA,"CPWS S TO JUPUDI AND 4 OTHER HABS",2000-2001,150.00000,150.00000,"08 Aug 2000","31 Mar 2012",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Endroy,Endroy,Endroy,0000015353,0002667794,2464294,"Deep Tubewell","Ground Water",NA,"Providing Single Village Scheme TO ENDROY",2010-2011,5.00000,0.00000,"01 Sep 2010","31 Mar 2011",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Amaravathi,Amaravathi,Amaravathi,0000015348,0008207799,3988870,River,"Surface Water",AMARAVATHI,"Providing FHTCs in Amaravathi Habitation by utilizing existing infrastructure and Retrofitting Augmentation in Amaravathi Mandal of Guntur District (89010701200197)",2020-2021,105.50000,0.00000,"01 Mar 2021","03 May 2023",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Unguturu,Unguturu,Unguturu,0000015357,0002292736,1893025,"Deep Tubewell","Ground Water","T.NAGABHUSHANAM HOUSE",HANDPUMP,1993-1994,0.25000,0.25000,"05 Mar 1993","05 Mar 1993",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lemalle,Karlapudi,Lemalle,0001670921,0002292727,1893019,"Deep Tubewell","Ground Water",NA,HANDPUMP,1996-1997,0.20000,0.20000,"31 Mar 1997","31 Mar 1997",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lemalle,Karlapudi,Lemalle,0001670921,0002292733,1892996,"Deep Tubewell","Ground Water","Srinivalulu House",HANDPUMP,2000-2001,0.30000,0.30000,"31 Mar 2001","31 Mar 2001",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Unguturu,Unguturu,Unguturu,0000015357,0006468238,120055507,"Deep Tubewell","Ground Water",UNGUTURU(0710309016011700),"PROVIDING DRINKING WATER FACILITIES TO MPPS (LE) UNGUTURU (V) OF AMARAVATHI (M)",2011-2012,0.40000,0.39993,"01 Nov 2013","25 Nov 2013",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lingapuram,Lingapuram,Lingapuram,0000015345,0006468399,120055633,"Deep Tubewell","Ground Water",LINGAPURAM(0710509008010600),"PROVIDING DRINKING WATER FACILITIES TO MPPS (M) LINGAPURAM (V) OF AMARAVATHI (M)",2011-2012,0.40000,0.18909,"10 Nov 2013","05 Dec 2013",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Amaravathi,Amaravathi,Amaravathi,0000015348,0006468952,120055921,River,"Surface Water",AMARAVATHI(0710309010010900),"CPWS SCHEME TO VYKUNTAPURAM AND OTHER HABITATIONS  (PHASE II) TO COVER SC LOCALITIES IN GUNTUR DIST",2008-2009,138.00000,129.19849,"27 Aug 2013","31 Jan 2015",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Didugu,Didugu,Didugu,0000015344,0006941457,120060257,Canal,"Surface Water","NS CANAL","PROVIDING DRINKING WATER FACILITIES TO MPUPS DIDUGU (V) OF AMARAVATHI (M)",2012-2013,0.30000,0.29992,"18 Nov 2013","31 Mar 2014",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Endroy,Endroy,Endroy,0000015353,0006962785,120063203,"Deep Tubewell","Ground Water",ENDROY(0710309014011400),"PROVIDING DWF TO MPPS ENDROY (V) OF AMARAVATHI (M)",2012-2013,0.45000,0.30163,"25 Nov 2012","30 Jun 2015",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Dharanikota,Dharanikota,Dharanikota,0000015346,0007209282,120135458,River,"Surface Water","NEAR CHINTHALATOPU","PWS SCHEME TO DHARANIKOTA",1986-1987,12.00000,12.00000,"09 Feb 1987","09 Feb 1988",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Dharanikota,Dharanikota,Dharanikota,0000015346,0008209335,120135458,River,"Surface Water","NEAR CHINTHALATOPU","Providing FHTCs in Dharanikota Habitation by utilizing existing infrastructure and Retrofitting Augmentation in Amaravathi Mandal of Guntur District (89010701200190)",2020-2021,38.63000,0.00000,"01 Feb 2021","03 May 2023",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Amaravathi,Amaravathi,Amaravathi,0000015348,0007211026,120135462,"Deep Tubewell","Ground Water",AMARAVATHI,"PROVIDING D.W BORE WELL IN VADDERAPALEM VILLAGE OF",2013-2014,0.50000,0.50000,"30 May 2013","30 May 2014",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Amaravathi,Amaravathi,Amaravathi,0000015348,0007209294,120135464,River,"Surface Water","OPP MUSEUAM","PWS S TO AMARAVATHI",1968-1969,35.00000,35.00000,"05 Nov 1971","05 Nov 1972",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Amaravathi,Amaravathi,Amaravathi,0000015348,0007209294,120135467,River,"Surface Water","SIVA GANGA","PWS S TO AMARAVATHI",1968-1969,35.00000,35.00000,"05 Nov 1971","05 Nov 1972",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Vykuntapuram,Vykuntapuram,Vykuntapuram,0000015349,0007209284,120135470,River,"Surface Water","SC COLONY","PWSSCHEME TO VYKYNTAPURAM",1986-1987,29.00000,29.00000,"21 Apr 1992","21 Apr 1993",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Nurukullapadu,Narukullapadu,Narukullapadu,0000015351,0007209286,120135474,River,"Surface Water","NEAR DHARANIKOTA","PWSSCHEME TO NARUKULLAPAD",1981-1982,25.00000,25.00000,"06 Aug 1985","06 Aug 1986",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lemalle,Karlapudi,Lemalle,0001670921,0007211210,120135486,"Deep Tubewell","Ground Water","SC COLONY","AUG TO SVS AT LEMALLE IN AMARAVATHI (M)",2011-2012,2.47000,2.47000,"06 May 2011","06 May 2012",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Unguturu,Unguturu,Unguturu,0000015357,0007209290,120135487,"Deep Tubewell","Ground Water","GL BRACE","PWSSCHEME TO UNGUTURU",1987-1988,31.00000,31.00000,"29 Apr 1988","29 Apr 1989",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Mandepudi,Nemalikallu,Mandepudi,0001670890,0008205196,120135490,Canal,"Surface Water","NARUKULLAPADU MAJOR","Providing FHTCs in Mandepudi Habitation by utilizing existing infrastructure and Retrofitting Augmentation in Amaravathi Mandal of Guntur District. (89010701200252)",2020-2021,32.28000,0.00000,"01 Feb 2021","03 May 2023",2024-06-07
