"Sl. No.","Crime Head","Juveniles Apprehended - Boys","Juveniles Apprehended - Girls","Juveniles Apprehended - Transgender","Juveniles Apprehended - Total","18 Years & Above - Below 30 Years - Male ","18 Years & Above - Below 30 Years - Female","18 Years & Above - Below 30 Years - Transgender","18 Years & Above - Below 30 Years - Total","30 Years & above - Below 45 Years - Male","30 Years & above - Below 45 Years - Female","30 Years & above - Below 45 Years - Transgender","30 Years & above - Below 45 Years - Total","45 Years & above - Below 60 Years - Male ","45 Years & above - Below 60 Years - Female","45 Years & above - Below 60 Years - Transgender","45 Years & above - Below 60 Years - Total","60 Years & Above - Male","60 Years & Above - Female","60 Years & Above - Transgender","60 Years & Above - Total","Total of Overall Age Group - Male ","Total of Overall Age Group - Female","Total of Overall Age Group - Transgender","Total of Overall Age Group - Total"
31,"The Excise Act",54,0,0,54,4512,297,0,4809,3585,611,0,4196,1234,207,0,1441,47,12,0,59,9432,1127,0,10559
32,"The Narcotic Drugs & Psychotropic Substances Act",44,0,0,44,14296,110,0,14406,5589,208,0,5797,1461,78,0,1539,74,9,0,83,21464,405,0,21869
32.1,"Possession of drugs for Personal use/Consumption",11,0,0,11,11171,31,0,11202,3720,42,0,3762,990,16,0,1006,47,0,0,47,15939,89,0,16028
32.2,"Possession of drugs for Trafficking",33,0,0,33,3125,79,0,3204,1869,166,0,2035,471,62,0,533,27,9,0,36,5525,316,0,5841
NA,NA,120,0,0,120,39642,3784,0,43426,32324,7409,0,39733,11024,4637,0,15661,820,470,0,1290,83930,16300,0,100230
33,"The Forest Act & The Forest Conservation Act",2,0,0,2,37,0,0,37,34,0,0,34,4,0,0,4,0,0,0,0,77,0,0,77
34,"The Wildlife Protection Act",0,0,0,0,32,0,0,32,56,0,0,56,20,0,0,20,1,0,0,1,109,0,0,109
35,"The Environmental (Protection) Act",0,0,0,0,25,0,0,25,22,0,0,22,8,0,0,8,0,0,0,0,55,0,0,55
36,"The Air & The Water (Prevention & Control of Pollution) Act",0,0,0,0,10,0,0,10,12,0,0,12,0,0,0,0,0,0,0,0,22,0,0,22
37,"The Cigarette and Other Tobacco Products Act",6,0,0,6,2054,33,0,2087,2113,97,0,2210,1314,66,0,1380,273,32,0,305,5760,228,0,5988
38,"Noise Pollution Acts",1,0,0,1,364,0,0,364,246,0,0,246,79,0,0,79,1,0,0,1,691,0,0,691
39,"The National Green Tribunal Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,9,0,0,9,2522,33,0,2555,2483,97,0,2580,1425,66,0,1491,275,32,0,307,6714,228,0,6942
40,"The Registration of Foreigners Act & The Foreigners Act",0,0,0,0,193,33,0,226,198,17,0,215,24,1,0,25,9,3,0,12,424,54,0,478
41,"The Passport Act",0,0,0,0,71,5,0,76,120,12,0,132,34,2,0,36,4,0,0,4,229,19,0,248
42,"The Emigration Act",0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
43,"The Citizenship Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,270,38,0,308,318,29,0,347,58,3,0,61,13,3,0,16,659,73,0,732
44,"The Indian Railways Act",0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3
45,"The Railway Property (Unlawful Possession) Act",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3
