Assam,"1.2 - Rape other than Custodial",1980
Assam,"1.2.1 - Rape_Gang Rape",23
Assam,"1.2.2 - Rape_Others",1957
Assam,"2 - Attempt to commit Rape (Section 376 & 511 IPC)",227
Assam,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",3895
Assam,"3.1 - Kidnaping & Abduction Section 363 IPC",0
Assam,"3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC",1
Assam,"3.3 - Kidnapping for Ransom Section 364A",3
Assam,"3.4 - Kidnapping & Abduction of Women to compel her for marriage",3883
Assam,"3.5 - Kidnapping & Abduction of Women-Other",8
Assam,"4 - Dowry Deaths (Section 304-B IPC)",188
Assam,"5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC)",3099
Assam,"5.1 - Sexual Harassment",458
Assam,"5.2 - Assault on women with intent to Disrobe",399
Assam,"5.3 - Voyeurism",0
Assam,"5.4 - Stalking",0
Assam,"5.5 - Others",2242
Assam,"6 - Insult to the Modesty of Women_Total (Section 509 IPC)",1
Assam,"6.1 - At Office premises",0
Assam,"6.2 - Other places related to work",1
Assam,"6.3 - In Public Transport system",0
Assam,"6.4 - in Other Places",0
Assam,"7 - Cruelty by Husband or his Relatives (Section 498A)",9626
Assam,"8 - Importation of Girls from Foreign Country (Section 366B IPC)",1
Assam,"9 - Abetment of Suicides of Women u/s 306 IPC",0
Assam,"10 - Dowry Prohibition Act, 1961",92
Assam,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0
Assam,"12 - Commission of Sati Prevention Act 1987",0
Assam,"13 - Protection of Women from Domestic Violence Act, 2005",1
Assam,"14 - Immoral Traffic (Prevention) Act (Women Cases only)",29
Assam,"14.1 - Under ITP Section 5",6
Assam,"14.2 - Under ITP Section 6",1
Assam,"14.3 - Under ITP Section 7",2
Assam,"14.4 - Under ITP Section 8",0
Assam,"14.5 - Other Sections under ITP Act",20
Assam,"15 - Total Crimes against Women",19139
Bihar,"1 - Rape (Section 376 IPC)",1127
Bihar,"1.1 - Custodial Rape",0
Bihar,"1.1.1 - Custodial_Gang Rape",0
Bihar,"1.1.2 - Custodial_Other Rape",0
Bihar,"1.2 - Rape other than Custodial",1127
Bihar,"1.2.1 - Rape_Gang Rape",24
Bihar,"1.2.2 - Rape_Others",1103
Bihar,"2 - Attempt to commit Rape (Section 376 & 511 IPC)",484
Bihar,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",4735
Bihar,"3.1 - Kidnaping & Abduction Section 363 IPC",55
Bihar,"3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC",9
Bihar,"3.3 - Kidnapping for Ransom Section 364A",2
Bihar,"3.4 - Kidnapping & Abduction of Women to compel her for marriage",4641
Bihar,"3.5 - Kidnapping & Abduction of Women-Other",28
Bihar,"4 - Dowry Deaths (Section 304-B IPC)",1373
Bihar,"5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC)",572
Bihar,"5.1 - Sexual Harassment",271
Bihar,"5.2 - Assault on women with intent to Disrobe",61
Bihar,"5.3 - Voyeurism",4
Bihar,"5.4 - Stalking",7
Bihar,"5.5 - Others",229
Bihar,"6 - Insult to the Modesty of Women_Total (Section 509 IPC)",69
Bihar,"6.1 - At Office premises",0
Bihar,"6.2 - Other places related to work",0
Bihar,"6.3 - In Public Transport system",0
Bihar,"6.4 - in Other Places",69
Bihar,"7 - Cruelty by Husband or his Relatives (Section 498A)",4672
