Particulars,"India/ State/ UTs",Gender,2006,2007,2008,2009,2010
"Lower Secondary School",Odisha,Total,52.74,53.77,53.4,55.6,58.8
"Lower Secondary School",Odisha,Boy,56.4,56.85,57,57.9,60.7
"Lower Secondary School",Odisha,Girl,48.94,50.56,49.6,53.1,56.8
"Lower Secondary School",Puducherry,Total,105.18,105.77,95.3,94,97.4
"Lower Secondary School",Puducherry,Boy,102.75,104.53,96,93.2,98.3
"Lower Secondary School",Puducherry,Girl,107.86,107.08,94.6,94.8,96.5
"Lower Secondary School",Punjab,Total,48.95,46.95,55.9,54.9,65.2
"Lower Secondary School",Punjab,Boy,49.86,45.54,55.5,53.9,64.8
"Lower Secondary School",Punjab,Girl,47.86,48.65,56.3,56.1,65.8
"Lower Secondary School",Rajasthan,Total,48.61,54.04,56.5,57.9,61.8
"Lower Secondary School",Rajasthan,Boy,60.93,66.68,69.1,69.3,72.4
"Lower Secondary School",Rajasthan,Girl,34.74,39.87,42.5,45.3,50.1
"Lower Secondary School",Sikkim,Total,42.67,44.75,46.8,50.7,47.6
"Lower Secondary School",Sikkim,Boy,41.46,44.36,45.2,47.1,44.9
"Lower Secondary School",Sikkim,Girl,43.9,45.13,48.4,54.3,50.3
"Lower Secondary School","Tamil Nadu",Total,86.72,90.79,81.1,82.1,82.3
"Lower Secondary School","Tamil Nadu",Boy,86.97,90.87,81.3,80.6,81.4
"Lower Secondary School","Tamil Nadu",Girl,86.46,90.71,80.8,83.8,83.3
"Lower Secondary School",Tripura,Total,58.61,59.86,64,73.4,73.1
"Lower Secondary School",Tripura,Boy,60.6,59.94,65,73.8,73
"Lower Secondary School",Tripura,Girl,56.51,59.78,62.9,73.1,73.3
"Lower Secondary School","Uttar Pradesh",Total,48.6,64.27,68.2,72.4,68.1
"Lower Secondary School","Uttar Pradesh",Boy,59.37,70.53,74.4,79.3,75
"Lower Secondary School","Uttar Pradesh",Girl,36.28,57.17,61.2,64.7,60.4
"Lower Secondary School",Uttarakhand,Total,80.33,83.87,84.7,83.8,87
"Lower Secondary School",Uttarakhand,Boy,86.21,92.34,85.4,87.2,89
"Lower Secondary School",Uttarakhand,Girl,73.92,75.01,84,80,84.8
"Lower Secondary School","West Bengal",Total,44.55,47.91,49,54.9,59
"Lower Secondary School","West Bengal",Boy,48.96,51.29,52.7,52.8,58.3
"Lower Secondary School","West Bengal",Girl,39.86,44.34,45,57,59.7
"Senior Secondary School",India,Total,28.96,33.48,34.5,36.1,39.3
"Senior Secondary School",India,Boy,31.53,36.26,37.2,38.5,42.2
"Senior Secondary School",India,Girl,26.09,30.4,31.6,33.5,36.1
"Senior Secondary School","Andaman and Nicobar Islands",Total,28.65,30.91,51.3,54.7,57.7
"Senior Secondary School","Andaman and Nicobar Islands",Boy,26.84,29.89,47.1,50.5,54.9
"Senior Secondary School","Andaman and Nicobar Islands",Girl,30.65,32.01,56.2,59.6,61
"Senior Secondary School","Andhra Pradesh",Total,40.8,42.04,43.6,44,47.5
"Senior Secondary School","Andhra Pradesh",Boy,45.96,46.44,47,47.4,50.1
"Senior Secondary School","Andhra Pradesh",Girl,35.3,37.37,40.1,40.3,44.9
"Senior Secondary School","Arunachal Pradesh",Total,30.66,35.15,29.2,33.1,47.5
"Senior Secondary School","Arunachal Pradesh",Boy,35.45,38.96,31.5,34.8,49.1
"Senior Secondary School","Arunachal Pradesh",Girl,25.47,31.03,26.8,31.3,45.7
"Senior Secondary School",Assam,Total,14.38,10.67,11.7,13.1,16.4
"Senior Secondary School",Assam,Boy,17.37,12.05,13.2,13.6,18.2
"Senior Secondary School",Assam,Girl,11.16,9.19,10.1,12.6,14.6
"Senior Secondary School",Bihar,Total,11.19,11.4,12.4,15.5,21.2
"Senior Secondary School",Bihar,Boy,13.13,13.8,14.7,17.4,24.1
"Senior Secondary School",Bihar,Girl,8.94,8.64,9.8,13.3,18
"Senior Secondary School",Chandigarh,Total,49.33,53.69,66.8,68.6,65.2
"Senior Secondary School",Chandigarh,Boy,48.34,52.74,63.6,66.3,62.6
"Senior Secondary School",Chandigarh,Girl,50.55,54.87,71,71.6,68.5
"Senior Secondary School",Chhattisgarh,Total,23.04,23.31,28.3,29.3,33.5
"Senior Secondary School",Chhattisgarh,Boy,27.55,27.95,31.6,32.9,36.9
"Senior Secondary School",Chhattisgarh,Girl,18.28,18.45,24.7,25.5,30
"Senior Secondary School","Dadra and Nagar Haveli",Total,22.58,35.97,41.7,31.9,33.4
"Senior Secondary School","Dadra and Nagar Haveli",Boy,28.19,45.78,45.6,33.7,35.2
"Senior Secondary School","Dadra and Nagar Haveli",Girl,16.34,26.16,36.7,29.8,31
"Senior Secondary School","Daman and Diu",Total,54.45,54.52,35.3,36.3,36.4
"Senior Secondary School","Daman and Diu",Boy,57.35,47.97,30.7,31.9,32.7
"Senior Secondary School","Daman and Diu",Girl,51.22,64.35,42,42.8,42
"Senior Secondary School",Delhi,Total,46.52,47.12,53.9,58.7,64.7
"Senior Secondary School",Delhi,Boy,46.03,46.67,54.2,59.1,65.1
"Senior Secondary School",Delhi,Girl,47.09,47.64,53.6,58.3,64.2
"Senior Secondary School",Goa,Total,40.1,44.12,54,54.5,58.2
"Senior Secondary School",Goa,Boy,39.67,43.2,51.7,53,57.2
"Senior Secondary School",Goa,Girl,40.55,45.08,56.4,56.1,59.2
"Senior Secondary School",Gujarat,Total,27.75,27.71,35.4,35.6,36.9
"Senior Secondary School",Gujarat,Boy,30.69,30.1,38.7,38.4,40
"Senior Secondary School",Gujarat,Girl,24.42,25,31.7,32.5,33.5
"Senior Secondary School",Haryana,Total,35.62,42.11,42.8,59.7,59.9
"Senior Secondary School",Haryana,Boy,37.78,44.44,41.5,59.6,60
"Senior Secondary School",Haryana,Girl,33.06,39.34,44.4,59.8,59.9
"Senior Secondary School","Himachal Pradesh",Total,62.06,61.31,62.6,69.3,77.7
"Senior Secondary School","Himachal Pradesh",Boy,68.01,65.07,66.5,68.5,78.4
"Senior Secondary School","Himachal Pradesh",Girl,55.69,57.27,58.4,70,76.9
"Senior Secondary School","Jammu and Kashmir",Total,27.47,27.91,44.3,41.9,42
"Senior Secondary School","Jammu and Kashmir",Boy,29.56,30.04,46.6,42.9,42.9
"Senior Secondary School","Jammu and Kashmir",Girl,25.25,25.64,41.9,40.7,40.9
"Senior Secondary School",Jharkhand,Total,3.48,6.86,6.7,7.4,12.6
"Senior Secondary School",Jharkhand,Boy,4.07,7.68,7.5,7.8,13.3
"Senior Secondary School",Jharkhand,Girl,2.84,5.97,5.8,7,11.8
"Senior Secondary School",Karnataka,Total,38.1,41.32,41.2,42.5,42.8
"Senior Secondary School",Karnataka,Boy,39.45,41.86,40.5,41.6,41.9
"Senior Secondary School",Karnataka,Girl,36.66,40.74,41.8,43.4,43.6
"Senior Secondary School",Kerala,Total,51.8,47.99,58.2,65,68
"Senior Secondary School",Kerala,Boy,47.22,43.01,53.4,60.1,64.1
"Senior Secondary School",Kerala,Girl,56.54,53.14,63,69.9,72.1
"Senior Secondary School",Lakshadweep,Total,38.2,40.92,77.8,86.2,81.1
"Senior Secondary School",Lakshadweep,Boy,33.02,33.73,79.2,85.4,76.7
"Senior Secondary School",Lakshadweep,Girl,45.11,51.7,76.4,87,85.7
"Senior Secondary School","Madhya Pradesh",Total,31.02,35.41,38,39.5,46.3
"Senior Secondary School","Madhya Pradesh",Boy,36.59,41.96,45,47.2,54.4
"Senior Secondary School","Madhya Pradesh",Girl,24.69,28.06,30.2,31.1,37.5
"Senior Secondary School",Maharashtra,Total,41.75,43.82,50.2,55.3,56.4
"Senior Secondary School",Maharashtra,Boy,45.46,47.1,53.9,59.6,61.3
"Senior Secondary School",Maharashtra,Girl,37.6,40.15,46.1,50.6,51.1
"Senior Secondary School",Manipur,Total,24.5,24.51,29.2,33.1,35.5
"Senior Secondary School",Manipur,Boy,27.27,27.2,31.4,36.8,39
"Senior Secondary School",Manipur,Girl,21.69,21.78,26.9,29.4,32.1
"Senior Secondary School",Meghalaya,Total,26.89,9.47,13.5,13.5,15.5
"Senior Secondary School",Meghalaya,Boy,27.95,8.89,11.8,11.9,13.7
"Senior Secondary School",Meghalaya,Girl,25.8,10.07,15.1,15.1,17.3
"Senior Secondary School",Mizoram,Total,25.57,27.86,35.8,41.7,40.7
"Senior Secondary School",Mizoram,Boy,26.51,28.93,35.9,41.6,41.2
"Senior Secondary School",Mizoram,Girl,24.63,26.79,35.7,41.7,40.2
"Senior Secondary School",Nagaland,Total,16.61,17.64,19.2,19.2,17.5
"Senior Secondary School",Nagaland,Boy,17.22,18.32,20,20.1,18.3
"Senior Secondary School",Nagaland,Girl,15.94,16.89,18.3,18.3,16.7
"Senior Secondary School",Odisha,Total,30.56,22.77,22.8,22.8,24
"Senior Secondary School",Odisha,Boy,34.34,25.43,25.1,25,26.4
"Senior Secondary School",Odisha,Girl,26.63,20.02,20.4,20.4,21.6
"Senior Secondary School",Puducherry,Total,54.62,59.27,60.7,62.5,60.4
"Senior Secondary School",Puducherry,Boy,54.62,59.72,55.4,57.5,55.4
"Senior Secondary School",Puducherry,Girl,54.62,58.88,66.2,67.6,65.5
"Senior Secondary School",Punjab,Total,31.06,32.04,41.9,35.4,42.2
"Senior Secondary School",Punjab,Boy,32.34,32.21,41.7,35.6,42.2
"Senior Secondary School",Punjab,Girl,29.53,31.84,42,35.1,42.1
"Senior Secondary School",Rajasthan,Total,22.26,24.49,27.3,35.2,41.1
"Senior Secondary School",Rajasthan,Boy,28.56,31.14,34.3,43.1,49.9
"Senior Secondary School",Rajasthan,Girl,15.1,16.98,19.3,26.4,31.3
"Senior Secondary School",Sikkim,Total,24.65,23.15,30.7,33.2,28.6
"Senior Secondary School",Sikkim,Boy,24.73,22.41,29.1,31.9,27.6
"Senior Secondary School",Sikkim,Girl,24.58,23.89,32.4,34.5,29.5
"Senior Secondary School","Tamil Nadu",Total,48.59,53.74,47,49.6,50.4
"Senior Secondary School","Tamil Nadu",Boy,45.31,49.82,43.3,44.8,45.1
"Senior Secondary School","Tamil Nadu",Girl,52.05,57.86,50.9,54.7,55.9
"Senior Secondary School",Tripura,Total,23.51,30.12,31.8,27.4,28.6
"Senior Secondary School",Tripura,Boy,27.1,32.59,34.9,30.8,31.9
"Senior Secondary School",Tripura,Girl,19.63,27.47,28.5,24,25
"Senior Secondary School","Uttar Pradesh",Total,22,41.23,36.4,33.8,35.8
"Senior Secondary School","Uttar Pradesh",Boy,24.25,45.22,40.5,36.4,40.2
"Senior Secondary School","Uttar Pradesh",Girl,19.38,36.6,31.7,30.9,30.8
"Senior Secondary School",Uttarakhand,Total,42.52,45.42,47.1,55.9,58.3
"Senior Secondary School",Uttarakhand,Boy,42.91,47.08,47,57.5,59
"Senior Secondary School",Uttarakhand,Girl,42.09,43.78,47.1,54.1,57.4
"Senior Secondary School","West Bengal",Total,24.25,27.21,27.2,27.8,33.3
"Senior Secondary School","West Bengal",Boy,27.99,30.37,30.5,30.4,35
"Senior Secondary School","West Bengal",Girl,20.23,23.83,23.7,25,31.6
