Year/District,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989
Gurdaspur,17,13,14,12,14,14,14,15,15,22,19,38,26,33,NA,20,NA,21,21,21,21,21,21,21,24,25,25,23,22,25,27,30,36,30
Pathankot,18,14,14,11,14,14,14,17,15,22,22,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,21,13,15,12,17,17,17,14,18,24,24,44,30,43,NA,22,NA,30,30,31,32,32,32,31,22,23,24,24,26,23,24,23,26,24
"Tarn Taran",16,9,13,13,25,25,25,15,26,27,35,38,32,39,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,15,13,11,11,14,14,14,19,15,19,18,27,12,21,NA,17,NA,18,15,17,18,18,20,19,20,20,19,18,17,21,22,25,25,23
Jalandhar,20,14,12,12,17,17,17,18,20,22,21,46,13,30,NA,38,NA,32,32,29,28,28,28,25,24,25,26,22,24,26,27,38,40,29
"SBS Nagar",18,14,12,11,17,17,17,19,20,20,18,31,30,28,NA,20,NA,22,19,19,21,21,22,23,22,30,34,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,16,13,11,10,15,15,15,14,14,19,18,21,11,11,NA,14,NA,18,23,22,25,25,25,23,23,20,18,19,20,22,30,29,27,22
Rupnagar,19,14,12,10,16,16,16,24,18,21,24,36,25,26,NA,20,NA,19,19,20,20,20,21,23,26,23,23,23,19,23,26,24,25,26
"SAS Nagar",21,15,12,10,13,13,13,19,14,18,25,30,22,21,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,22,16,13,11,14,14,14,14,15,21,20,32,32,47,NA,20,NA,18,20,20,21,21,21,21,22,19,22,21,21,24,25,26,27,26
Ferozepur,22,12,13,16,17,17,17,17,21,24,26,44,33,39,NA,19,NA,21,22,22,24,24,22,25,24,23,24,20,17,18,23,23,26,23
Fazilka,26,16,16,14,16,16,16,18,17,23,21,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,22,15,12,10,13,13,13,17,14,20,17,29,22,21,NA,12,NA,13,11,14,11,11,13,14,NA,14,15,20,19,21,22,21,24,17
"Sri Muktsar Sahib",20,14,12,11,16,16,16,16,15,20,16,26,22,18,NA,19,NA,20,19,18,22,22,22,23,21,21,27,NA,NA,NA,NA,NA,NA,NA
Moga,18,14,13,14,18,18,18,16,21,21,23,29,26,22,NA,22,NA,30,29,28,35,35,23,20,19,22,23,NA,NA,NA,NA,NA,NA,NA
Bathinda,19,14,12,11,15,15,15,14,18,20,20,48,26,45,NA,22,NA,20,20,19,18,18,19,20,19,15,21,19,17,18,18,22,26,20
Mansa,22,15,14,14,19,19,19,13,21,23,29,43,28,38,NA,28,NA,25,25,22,24,24,22,23,16,16,23,20,18,23,25,NA,NA,NA
Sangrur,19,15,13,11,17,17,17,17,21,21,20,37,32,39,NA,17,NA,20,19,19,21,21,20,23,22,22,22,20,19,23,24,27,25,19
Barnala,21,16,14,22,16,16,16,18,20,23,27,40,32,28,NA,19,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,23,17,16,12,17,17,17,14,18,21,20,33,25,18,NA,16,NA,17,17,17,20,20,21,23,25,24,25,23,22,24,25,24,33,20
"Fatehgarh Sahib",20,15,13,11,14,14,14,14,17,18,18,19,22,21,NA,23,NA,20,20,22,22,22,22,23,22,22,24,23,2,27,25,NA,NA,NA
Malerkotla,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,20,14,13,12,13,13,16,15,17,21,21,34,23,28,22,20,NA,22,22,22,NA,23,23,23,22,22,23,21,21,23,25,27,29,23
