"Name of Institution","Name of Faculty","Name of Department",Level,Programme,"Name of Discipline",Intake,"Examination System"
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Information Technology",NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Information Technology",60,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Information Technology",NA,"Post Graduate","M.Sc.-Master of Science","Information Technology",60,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Information Technology",NA,"Under Graduate","B.C.A.-Bachelor of Computer Applications","Information Technology",60,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Management",NA,M.Phil.,"M.Phil.-Master of Philosophy",Management,20,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Management",NA,"Under Graduate","B.B.A.-Bachelor of Business Administration",Management,30,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Science",NA,M.Phil.,"M.Phil.-Master of Philosophy",Chemistry,20,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Science",NA,M.Phil.,"M.Phil.-Master of Philosophy",Mathematics,20,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Science",NA,M.Phil.,"M.Phil.-Master of Philosophy",Physics,20,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Science",NA,"Post Graduate","M.Sc.-Master of Science",Mathematics,60,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Science",NA,"Post Graduate","M.Sc.-Master of Science",Physics,20,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Science",NA,"Under Graduate","B.Sc.-Bachelor of Science",Biology,30,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Social Science",NA,M.Phil.,"M.Phil.-Master of Philosophy","English Literature",20,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Social Science",NA,M.Phil.,"M.Phil.-Master of Philosophy","Library Science",20,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Social Science",NA,"Post Graduate","M.A.-Master of Arts",Arts,20,Annual
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Social Science",NA,"Post Graduate","M.L.I.Sc.-Master of Library and Information Science","Library Science",20,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Social Science",NA,"Post Graduate","M.S.W.-Master of Social Work","Social Work",20,Semester
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Social Science",NA,"Under Graduate","B.A.-Bachelor of Arts",Arts,30,Annual
"AISECT UNIVERSITY (Id: U-0656)","Faculty of Social Science",NA,"Under Graduate","B.Lib.I.Sc.-Bachelor of Library and Information Science","Library science",30,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Agriculture Science and Technology",NA,Integrated,"Integrated M.B.A.-Integrated Master of Business Administration",B.Tech(Ag)+MBA,15,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Agriculture Science and Technology",NA,"Under Graduate","B.Sc.-Bachelor of Science","Ag Science",400,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Agriculture Science and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Ag Engineering",40,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Commerce and Financial Studies",NA,"Under Graduate","B.Com.-Bachelor of Commerce",Commerce,30,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Commerce and Financial Studies",NA,"Under Graduate","B.Com.-Bachelor of Commerce","Honors in Commerce",60,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Computer Application and Information Technology and Science",NA,Integrated,"Integrated M.C.A.-Integrated Master of Computer Applications",BCA+MCA,15,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Computer Application and Information Technology and Science",NA,"Post Graduate","M.C.A. -Master of Computer Applications","Computer Application",20,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Computer Application and Information Technology and Science",NA,"Under Graduate","B.C.A.-Bachelor of Computer Applications","Honors in Computer Application",30,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Computer Application and Information Technology and Science",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Information Technology",30,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Cement Technology",180,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Civil Engineering",120,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Electrical Engineering",120,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Mechanical Engineering",180,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,Diploma,Diploma-Diploma,"Mining Engineering",120,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,Integrated,"B.Tech M.Tech-Bachelor of Technology, Master of Technology","Cement Technology",20,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,Integrated,"B.Tech M.Tech-Bachelor of Technology, Master of Technology","Civil Engineering",20,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,Integrated,"B.Tech M.Tech-Bachelor of Technology, Master of Technology","Electrical Engineering",20,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,Integrated,"B.Tech M.Tech-Bachelor of Technology, Master of Technology","Mechanical Engineering",20,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,Integrated,"B.Tech M.Tech-Bachelor of Technology, Master of Technology","Mining Engineering",20,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Cement Technology",30,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Civil Engineering",15,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Electrical Engineering",15,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Mechanical Engineering",60,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Engineering and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology","Mining Engineering",30,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Life Science and Technology",NA,"Post Graduate","M.Sc.-Master of Science","Life Science",10,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Life Science and Technology",NA,"Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","Life Science",30,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Life Science and Technology",NA,"Under Graduate","B.Tech.-Bachelor of Technology",Biotechnology,15,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Management Studies",NA,"Post Graduate","M.B.A.- Master of Business Administration",Management,60,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Management Studies",NA,"Under Graduate","B.B.A.-Bachelor of Business Administration",Honors,60,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Pharmaceutical Science and Technology",NA,"Post Graduate","M.Pharm. -Master of Pharmacy","Pharmaceutical Technology",18,Semester
"AKS UNIVERSITY, SATNA (Id: U-0650)","Faculty of Pharmaceutical Science and Technology",NA,"Under Graduate","B.Pharm.-Bachelor of Pharmacy",Pharmacy,60,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,M.Phil.,"M.Phil.-Master of Philosophy",Economics,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,M.Phil.,"M.Phil.-Master of Philosophy",English,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,M.Phil.,"M.Phil.-Master of Philosophy","Social Works",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,M.Phil.,"M.Phil.-Master of Philosophy",Tamil,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Economics,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",English,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Fine Arts",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Geology,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",History,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Rural Development",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Social Work",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Tamil,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Women Studies",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,"Post Graduate","M.A.-Master of Arts",Economics,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,"Post Graduate","M.A.-Master of Arts",English,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,"Post Graduate","M.A.-Master of Arts","Social Works",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Arts,NA,"Post Graduate","M.A.-Master of Arts",Tamil,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Education,NA,Diploma,Diploma-Diploma,"Physical Education",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Education,NA,M.Phil.,"M.Phil.-Master of Philosophy",Education,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Education,NA,M.Phil.,"M.Phil.-Master of Philosophy","Physical Education",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Education,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Education,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Education,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Physical Education",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Education,NA,"Post Graduate","M.Ed. -Master of Education",Education,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Education,NA,"Post Graduate","M.P.E.-Master of Physical Education","Physical Education",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Education,NA,"Under Graduate","B.Ed.-Bachelor of Education",Education,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Education,NA,"Under Graduate","B.Ed.-Bachelor of Education","Special Education",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Education,NA,"Under Graduate","B.P.E.-Bachelor of Physical Education","Physical Education",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,M.Phil.,"M.Phil.-Master of Philosophy","Bank Management",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,M.Phil.,"M.Phil.-Master of Philosophy",Commerce,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,M.Phil.,"M.Phil.-Master of Philosophy","Coporate Secretaryship",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,M.Phil.,"M.Phil.-Master of Philosophy",Management,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Bank Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Commerce,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Corporate Secretaryship",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","International Business",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Management,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,"Post Graduate","M.B.A.- Master of Business Administration","Bank Management",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,"Post Graduate","M.B.A.- Master of Business Administration","Corporate Secretaryship",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,"Post Graduate","M.B.A.- Master of Business Administration","International Busienss",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,"Post Graduate","M.B.A.- Master of Business Administration",Management,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Management,NA,"Post Graduate","M.Com.-Master of Commerce",Commerce,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy","Animal Health Managem",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy","Bioelectronics and Biosensors",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy",Bioinformatics,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy",Biotechnology,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy",Chemistry,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy","Computer Science",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy","Library and Information Science",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy","Marine Biology",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy",Mathematics,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy","Nano Science and Technology",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,M.Phil.,"M.Phil.-Master of Philosophy",Physics,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Molecular Diagnostics",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Animal Health Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Bioelectronics and Biosensors",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Bioinformatics,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Biotechnology,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Botany,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Chemistry,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Computer Science",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Home Science",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Library and Information Science",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Marine Biology",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Mathematics,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Nano Science and Technology",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Physics,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy","Political Science",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,Ph.D.,"Ph.D.-Doctor of Philosophy",Zoology,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.C.A. -Master of Computer Applications","Computer Science",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Lib.Sc. -Master of Library Science","Library and Information Science",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science","Animal Health and Management",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science","Bioelectronics and Biosensors",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science",Bioinformatics,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science",Biotechnology,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science",Chemistry,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science","Computer Science",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science","Marine Biology",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science",Mathematics,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science","Nano Science and Technology",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science",Physics,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Post Graduate","M.Sc.-Master of Science",Zoology,0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",Science,NA,"Under Graduate","B.Lib.I.Sc.-Bachelor of Library and Information Science","Library and Information Science",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,Certificate,Certificate-Certificate,"Library Information Science",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,Certificate,Certificate-Certificate,"Self Help Group Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,Integrated,"Integrated M.B.A.-Integrated Master of Business Administration","Business Administration",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,Integrated,"Integrated M.B.A.-Integrated Master of Business Administration","Business Asministration",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,Integrated,"Integrated M.Sc.-Integrated Master of Science","Software Engineering",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Bank Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Business Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Computer Applications",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Hospital Administration",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Human Resource Management",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Personnel Management and Industrial Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Personnel Management and Industrial Relations",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Sports Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"PG Diploma","PG Diploma-Post Graduate Diploma","Yoga Education",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.A.-Master of Arts","Childcare and Education",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.A.-Master of Arts",Education,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.A.-Master of Arts",English,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.A.-Master of Arts",History,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.A.-Master of Arts","Mass Communication and Journalism",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.A.-Master of Arts","Personnel Management and Industrial Relations",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.A.-Master of Arts",Sociology,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.A.-Master of Arts",Tamil,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.A.-Master of Arts",Tourism,0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Banking and Finance",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Business Administration",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Corporate Management",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Corporate Secretaryship",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Education Management",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Financial Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Hospital Management",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Human Resource Management",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","International Business",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Logistics Management",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Marketing Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Production and Operating Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Project Management",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Retail Management",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","System Management",0,"Not Applicable"
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Technology Management",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.B.A.- Master of Business Administration","Tourism Management",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.C.A. -Master of Computer Applications","Computer Application",0,Semester
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.Com.-Master of Commerce",Commerce,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.Com.-Master of Commerce","Finance and Control",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.Lib.Sc. -Master of Library Science","Library Information Science",0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.Sc.-Master of Science",Botany,0,Annual
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",NA,NA,"Post Graduate","M.Sc.-Master of Science",Chemistry,0,Annual
