"Sl. No.",State/UT,District,Grade,"District score 2021-22 - Overall","District score 2021-22 - Category - 1.Outcome (290)","District score 2021-22 - Category - 2. ECT (90)","District score 2021-22 - Category - 3. IF&SE (51)","District score 2021-22 - Category - 4.SS&CP (35)","District score 2021-22 - Category - 5. DL (50)","District score 2021-22 - Category - 6. GP (84)"
1,"Andaman and Nicobar Islands","Middle and North Andamans",Uttam,381,139,85,39,32,15,69
2,"Andaman and Nicobar Islands",Andamans,Uttam,375,134,86,38,30,22,63
3,"Andaman and Nicobar Islands",Nicobars,Uttam,367,134,85,40,33,16,59
4,"Andhra Pradesh",Visakhapatnam,Uttam,397,153,84,41,35,18,66
5,"Andhra Pradesh",Guntur,Uttam,393,146,86,36,35,16,74
6,"Andhra Pradesh",Vizianagaram,Uttam,390,148,83,42,35,14,68
7,"Andhra Pradesh",Chittoor,Uttam,385,139,83,42,35,16,69
8,"Andhra Pradesh","East Godavari",Uttam,383,149,85,32,35,12,69
9,"Andhra Pradesh",Krishna,Uttam,381,134,84,42,35,14,72
10,"Andhra Pradesh",Kadapa,Uttam,379,139,82,36,35,14,73
11,"Andhra Pradesh",Srikakulam,Uttam,376,142,85,34,35,15,65
12,"Andhra Pradesh",Nellore,Uttam,373,141,82,27,35,16,71
13,"Andhra Pradesh","West Godavari",Uttam,364,120,85,44,32,15,68
14,"Andhra Pradesh",Anantapur,Uttam,363,134,81,39,35,9,64
15,"Andhra Pradesh",Prakasam,Prachesta-1,344,122,82,33,35,12,61
16,"Andhra Pradesh",Kurnool,Prachesta-1,341,113,86,24,35,13,71
17,"Arunachal Pradesh","Lower Subansiri",Uttam,361,159,77,40,25,8,53
18,"Arunachal Pradesh","Lower Dibang Valley",Prachesta-1,306,109,70,34,29,11,54
19,"Arunachal Pradesh","East Siang",Prachesta-1,306,117,64,41,25,9,50
20,"Arunachal Pradesh",Tawang,Prachesta-2,296,104,63,43,20,12,53
21,"Arunachal Pradesh",Kamle,Prachesta-2,293,141,64,37,5,8,37
22,"Arunachal Pradesh","Pakke Kessang",Prachesta-2,288,101,59,38,23,15,54
23,"Arunachal Pradesh",Lohit,Prachesta-2,284,101,68,30,29,5,50
24,"Arunachal Pradesh","Capital Complex Itanagar",Prachesta-2,281,104,51,37,17,14,58
25,"Arunachal Pradesh","KRA Dadi",Prachesta-2,277,104,62,37,18,3,53
26,"Arunachal Pradesh","West Siang",Prachesta-2,275,104,63,37,17,8,47
27,"Arunachal Pradesh",Anjaw,Prachesta-2,275,106,62,27,21,5,54
28,"Arunachal Pradesh",Tirap,Prachesta-2,275,105,69,35,29,5,32
29,"Arunachal Pradesh","Papum Pare",Prachesta-2,273,111,69,30,8,3,52
30,"Arunachal Pradesh","Dibang Valley",Prachesta-2,266,99,65,34,13,4,51
31,"Arunachal Pradesh","Upper Siang",Prachesta-2,266,105,63,33,16,5,44
32,"Arunachal Pradesh",Namsai,Prachesta-2,264,103,62,30,10,5,53
33,"Arunachal Pradesh","East Kameng",Prachesta-2,263,91,61,33,20,6,53
34,"Arunachal Pradesh","LEPA RADA",Prachesta-2,261,105,50,26,25,14,41
35,"Arunachal Pradesh",Changlang,Prachesta-2,258,82,63,39,19,6,47
36,"Arunachal Pradesh","Lower Siang",Prachesta-2,252,86,53,29,26,4,53
37,"Arunachal Pradesh",Longding,Prachesta-3,239,71,56,34,22,7,48
38,"Arunachal Pradesh","West Kameng",Prachesta-3,233,97,38,29,10,11,49
39,"Arunachal Pradesh",Siang,Prachesta-3,229,106,41,30,16,8,28
40,"Arunachal Pradesh","Kurung Kumey",Prachesta-3,223,74,55,28,14,5,48
41,"Arunachal Pradesh","Upper Subansiri",Prachesta-3,219,77,53,30,5,2,52
42,"Arunachal Pradesh","SHI YOMI",Prachesta-3,205,80,34,31,16,4,40
43,Assam,Majuli,Uttam,371,154,80,41,30,3,63
44,Assam,"Kamrup- Metro",Uttam,367,157,74,35,21,13,67
45,Assam,Jorhat,Uttam,363,147,81,41,31,5,59
46,Assam,Sibsagar,Uttam,363,150,73,41,25,7,68
47,Assam,"Kamrup- Rural",Uttam,363,134,83,45,29,3,69
48,Assam,Goalpara,Prachesta-1,354,122,74,46,27,5,80
49,Assam,Charaideo,Prachesta-1,353,140,71,47,27,3,64
50,Assam,Udalguri,Prachesta-1,353,123,82,41,30,3,75
51,Assam,Dibrugarh,Prachesta-1,351,128,85,37,32,6,62
52,Assam,Nalbari,Prachesta-1,348,153,70,40,21,3,61
53,Assam,Tinsukia,Prachesta-1,345,121,84,41,27,11,62
54,Assam,Morigaon,Prachesta-1,341,128,77,42,25,3,65
55,Assam,Darrang,Prachesta-1,335,107,80,45,28,4,71
56,Assam,Sonitpur,Prachesta-1,332,124,66,39,22,6,76
57,Assam,Dhemaji,Prachesta-1,330,133,74,41,21,4,57
58,Assam,Biswanath,Prachesta-1,329,106,78,43,24,4,75
59,Assam,Barpeta,Prachesta-1,326,134,61,37,21,3,70
60,Assam,Hojai,Prachesta-1,326,133,71,27,16,3,75
61,Assam,Karimganj,Prachesta-1,326,124,77,36,27,2,59
62,Assam,"Dima Hasao",Prachesta-1,322,145,74,30,25,3,45
63,Assam,Hailakandi,Prachesta-1,316,127,76,38,14,3,59
64,Assam,Bajali,Prachesta-1,314,128,60,37,22,2,65
65,Assam,Golaghat,Prachesta-1,308,113,75,39,24,7,50
66,Assam,"West Karbi Anglong",Prachesta-1,306,98,73,38,29,3,65
67,Assam,Baksa,Prachesta-1,304,131,61,39,20,3,50
68,Assam,Bongaigaon,Prachesta-1,304,115,71,38,18,4,59
69,Assam,Nagaon,Prachesta-2,296,107,68,41,21,4,55
70,Assam,Dhubri,Prachesta-2,293,132,52,38,9,3,59
71,Assam,Kokrajhar,Prachesta-2,292,111,56,39,15,3,69
72,Assam,Lakhimpur,Prachesta-2,291,126,51,37,19,4,55
73,Assam,Cachar,Prachesta-2,291,119,64,36,20,4,49
74,Assam,"Karbi Anglong",Prachesta-2,288,101,63,38,26,4,56
75,Assam,Tamulpur,Prachesta-2,265,115,61,32,20,2,36
76,Assam,Chirang,Prachesta-2,248,92,46,35,17,5,53
77,Assam,"South Salmara- Mankachar",Akanshi-1,140,78,11,17,19,1,14
78,Bihar,Nalanda,Prachesta-1,338,148,78,30,25,5,51
79,Bihar,Jehanabad,Prachesta-1,321,126,77,27,30,9,53
80,Bihar,"Kaimur (Bhabua)",Prachesta-1,316,133,78,23,29,3,49
81,Bihar,Kishanganj,Prachesta-1,316,124,78,25,35,1,53
82,Bihar,Saharsa,Prachesta-1,315,126,77,26,33,2,51
83,Bihar,Madhubani,Prachesta-1,312,125,75,28,29,5,50
84,Bihar,Nawada,Prachesta-1,312,116,82,29,30,3,52
85,Bihar,Patna,Prachesta-1,312,141,76,25,25,9,35
86,Bihar,Bhojpur,Prachesta-1,308,129,73,25,30,5,46
87,Bihar,Munger,Prachesta-1,306,133,75,17,30,4,47
88,Bihar,Arwal,Prachesta-1,305,123,77,25,25,4,50
89,Bihar,Sheikhpura,Prachesta-1,305,118,77,31,25,4,49
90,Bihar,Muzaffarpur,Prachesta-1,304,116,80,21,34,5,49
91,Bihar,Sitamarhi,Prachesta-2,300,116,71,28,30,3,52
92,Bihar,Buxar,Prachesta-2,298,119,75,23,29,4,47
93,Bihar,Darbhanga,Prachesta-2,298,128,71,20,29,3,45
94,Bihar,"Aurangabad (Bihar)",Prachesta-2,296,122,74,18,25,3,53
95,Bihar,Siwan,Prachesta-2,296,124,76,28,21,3,44
96,Bihar,Begusarai,Prachesta-2,294,130,74,26,25,4,34
97,Bihar,Lakhisarai,Prachesta-2,290,109,80,35,32,4,29
98,Bihar,Vaishali,Prachesta-2,289,124,67,23,24,6,46
99,Bihar,"Purba Champaran",Prachesta-2,289,121,80,20,32,5,31
100,Bihar,Purnia,Prachesta-2,282,113,74,14,27,2,51
101,Bihar,Jamui,Prachesta-2,281,98,76,27,22,8,50
102,Bihar,Bhagalpur,Prachesta-2,280,117,73,23,33,5,29
103,Bihar,"Pashchim Champaran",Prachesta-2,280,106,77,24,25,3,44
104,Bihar,Samastipur,Prachesta-2,275,132,79,19,21,3,21
105,Bihar,Katihar,Prachesta-2,274,125,72,21,25,3,29
106,Bihar,Saran,Prachesta-2,273,120,74,23,24,3,29
107,Bihar,Gopalganj,Prachesta-2,269,129,66,26,18,2,28
108,Bihar,Khagaria,Prachesta-2,268,127,65,21,22,3,31
109,Bihar,Madhepura,Prachesta-2,267,118,68,16,30,4,31
110,Bihar,Rohtas,Prachesta-2,258,117,72,24,16,2,26
111,Bihar,Gaya,Prachesta-2,253,110,73,24,18,5,23
112,Bihar,Sheohar,Prachesta-2,249,106,71,18,20,4,30
113,Bihar,Banka,Prachesta-2,246,99,72,33,16,3,23
114,Bihar,Araria,Prachesta-3,226,90,54,27,18,1,37
115,Bihar,Supaul,Prachesta-3,223,111,57,11,12,1,31
116,Chandigarh,Chandigarh,Ati-Uttam,444,179,88,41,35,31,69
117,Chhattisgarh,Mahasamund,Uttam,391,158,83,44,31,13,63
118,Chhattisgarh,Durg,Uttam,382,138,85,45,30,13,71
119,Chhattisgarh,Surajpur,Uttam,372,131,80,45,29,14,73
120,Chhattisgarh,Dhamtari,Uttam,366,117,83,44,34,15,73
121,Chhattisgarh,Raipur,Uttam,365,138,83,45,28,15,57
122,Chhattisgarh,Surguja,Uttam,362,131,80,43,29,11,66
123,Chhattisgarh,Raigarh,Prachesta-1,357,125,81,41,30,12,68
124,Chhattisgarh,Balodabazar,Prachesta-1,354,126,80,41,27,10,70
125,Chhattisgarh,Gariaband,Prachesta-1,352,123,81,41,32,7,69
126,Chhattisgarh,"Gourela Pendra Marvahi",Prachesta-1,351,116,81,42,31,11,70
127,Chhattisgarh,Balod,Prachesta-1,350,126,83,41,28,9,63
128,Chhattisgarh,Korba,Prachesta-1,350,113,80,43,33,14,66
129,Chhattisgarh,Dantewada,Prachesta-1,349,100,84,46,34,14,70
130,Chhattisgarh,"Janjgir - Champa",Prachesta-1,347,112,83,37,31,9,76
131,Chhattisgarh,Bemetara,Prachesta-1,347,116,83,43,31,9,64
132,Chhattisgarh,Bilaspur,Prachesta-1,345,117,80,42,30,12,65
133,Chhattisgarh,Kanker,Prachesta-1,344,115,80,44,30,6,69
134,Chhattisgarh,Rajnandgaon,Prachesta-1,342,114,82,43,27,8,68
135,Chhattisgarh,Baster,Prachesta-1,336,111,79,41,30,6,68
136,Chhattisgarh,Bijapur,Prachesta-1,335,107,81,44,34,8,61
137,Chhattisgarh,Koriya,Prachesta-1,334,111,82,44,28,6,63
138,Chhattisgarh,Mungeli,Prachesta-1,334,100,83,43,33,10,65
139,Chhattisgarh,Jashpur,Prachesta-1,329,112,81,44,29,7,55
140,Chhattisgarh,Kondagaon,Prachesta-1,327,98,80,42,26,10,70
141,Chhattisgarh,"Balrampur Cg",Prachesta-1,326,112,82,43,28,5,57
142,Chhattisgarh,Narayanpur,Prachesta-1,323,88,82,44,30,8,71
143,Chhattisgarh,Kawardha,Prachesta-1,316,105,80,41,29,7,54
144,Chhattisgarh,Sukma,Prachesta-1,305,86,78,43,32,4,63
145,"Dadra and Nagar Haveli and Daman and Diu","Diu (Dist)",Uttam,387,135,79,38,32,33,70
146,"Dadra and Nagar Haveli and Daman and Diu","Daman (Dist)",Prachesta-1,359,122,83,47,35,27,45
147,"Dadra and Nagar Haveli and Daman and Diu","Dadra and Nagar Haveli (Dist)",Prachesta-1,354,117,82,47,28,21,59
148,Delhi,"New Delhi",Ati-Uttam,441,165,88,46,35,33,75
149,Delhi,"South West A",Ati-Uttam,438,161,88,47,35,32,75
150,Delhi,"South West B",Ati-Uttam,430,153,88,46,35,32,76
151,Delhi,South,Ati-Uttam,430,155,88,46,35,30,75
152,Delhi,East,Ati-Uttam,428,157,88,46,35,29,73
153,Delhi,"North West B",Ati-Uttam,425,152,88,47,35,29,74
154,Delhi,North,Ati-Uttam,421,152,87,45,35,27,75
155,Delhi,"West B",Ati-Uttam,421,147,87,46,35,30,76
156,Delhi,Central,Uttam,418,150,86,45,35,27,75
157,Delhi,"South East",Uttam,416,147,87,46,35,29,72
158,Delhi,"West A",Uttam,411,137,88,47,35,29,75
159,Delhi,"North West A",Uttam,407,142,88,38,35,29,75
160,Delhi,"North East",Uttam,399,129,88,45,35,26,76
161,Goa,"North Goa",Uttam,362,137,82,35,29,23,56
162,Goa,"South Goa",Prachesta-1,357,144,80,33,28,20,52
