"Sl. No.",State,"Name Of University","Name Of College","Arts - Male","Arts - Female","Science - Male","Science - Female","Commerce - Male","Commerce - Female","Computer App / Computer Science - Male","Computer App / Computer Science - Female","Management - Male","Management - Female","Education - Male","Education - Female","Engineering and Technology - Male","Engineering and Technology - Female","Medicine - Male","Medicine - Female","Agriculture - Male","Agriculture - Female","Veterinary Science - Male","Veterinary Science - Female","Law - Male","Law - Female","Others - Male","Others - Female","Total - Male","Total - Female","Grand Total"
1,"Andhra Pradesh","Acharya Nagarjuna University, Guntur (Id: U-0003)","P.N.C.A Degree College (Id: C-32620)",48,22,90,96,0,52,47,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,170,355
2,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Sri Ramakrishna Degree College (Autonomous) (Id: C-26302)",75,40,562,471,0,368,828,368,117,52,0,0,0,0,117,0,0,0,0,0,0,0,0,0,1582,931,2513
3,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Sai Degree College, (Id: C-26282)",0,0,195,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,266,461
4,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Dr.Jyothirmayi Degree College, (Id: C-26279)",0,0,141,142,0,156,225,156,64,29,0,0,0,0,64,0,0,0,0,0,0,0,0,0,430,327,757
5,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Adoni Arts and Science College (PG), Adoni (Id: C-26278)",30,6,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,72
6,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","SNSR Degree College (Id: C-26276)",35,11,58,56,0,38,84,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,105,282
7,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Sri Pulloji Rao College of Education, Nandyal (Id: C-26270)",0,0,0,0,0,0,0,0,0,0,48,52,0,0,0,0,0,0,0,0,0,0,0,0,48,52,100
8,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Allagadda Inst. Of Management and Science (PG), Allagadda (Id: C-26264)",0,0,0,0,0,0,0,0,27,18,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27,18,45
9,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Govt. Degree College for Men (Id: C-26263)",185,0,485,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,0,1077
10,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","R.I.E PG College, Kurnool (Id: C-26260)",0,0,0,0,0,9,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,34
11,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","Govt. Degree College, Atmakur (Id: C-26255)",108,34,33,65,0,18,62,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,117,320
12,"Andhra Pradesh","Rayalaseema, University Kurnool (Id: U-0031)","JVRRM College of Education, Nandyal (Id: C-26251)",0,0,0,0,0,0,0,0,0,0,116,86,0,0,0,0,0,0,0,0,0,0,0,0,116,86,202
13,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Adarsh Post Graduate College of Computer Sciences, Mahabubnagar (Id: C-27165)",0,0,0,0,0,0,0,0,45,41,0,0,0,0,45,0,0,0,0,0,0,0,0,0,45,41,86
14,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Sri U. M. Govt. Degree College, Kondanagula (Id: C-22046)",52,71,21,43,0,10,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,124,223
15,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Sadhana Degree College, Nagarkurnool (Id: C-22042)",94,34,186,151,0,61,69,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,246,595
16,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Tagore College of Education, Ieez (Id: C-22040)",0,0,0,0,0,0,0,0,0,0,68,53,0,0,0,0,0,0,0,0,0,0,0,0,68,53,121
17,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Govt. Degree College , Kodangal (Id: C-22039)",97,69,103,114,0,23,48,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,206,454
18,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","C.Laxma Reddy College of Education, Telkapally (Id: C-22035)",0,0,0,0,0,0,0,0,0,0,79,35,0,0,0,0,0,0,0,0,0,0,0,0,79,35,114
19,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Ushodaya College of Education, Wanaparthy (Id: C-22033)",0,0,0,0,0,0,0,0,0,0,54,46,0,0,0,0,0,0,0,0,0,0,0,0,54,46,100
20,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","M. V. S. Govt. Degree and P.G College, Mahabubnagar (Id: C-22031)",922,363,839,149,0,112,845,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2606,624,3230
21,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Govt. Degree College for Women, Nagarkurnool (Id: C-22024)",0,128,0,124,0,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,297
22,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Sri Bramarambika Mallikarjuna College of Education, Kalwakurthy (Id: C-22019)",0,0,0,0,0,0,0,0,0,0,44,56,0,0,0,0,0,0,0,0,0,0,0,0,44,56,100
23,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Govt. College of Teacher Education, Mahabubnagar (Id: C-22018)",0,0,0,0,0,0,0,0,0,0,51,49,0,0,0,0,0,0,0,0,0,0,0,0,51,49,100
24,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Scholors College of Education, Wanaparthy (Id: C-22017)",0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,100
25,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Vikas Degree College, (Co-Education), Atmakur (Id: C-22011)",110,46,59,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,128,297
26,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Govt. Degree and P.G College for Men, Wanaparthy (Id: C-22009)",591,27,931,257,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816,284,2100
27,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Gayathri Degree and P.G College, Wanaparthy (Id: C-22006)",129,28,265,189,0,70,130,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,287,811
28,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Govt. Degree College for Women, Gadwal (Id: C-21998)",0,159,0,395,0,114,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,668
29,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Govt. Degree College, Shadnagar (Id: C-21997)",79,71,91,100,0,52,97,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,223,490
30,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Nalanda College of Education, Mahabubnagar (Id: C-21990)",0,0,0,0,0,0,0,0,0,0,67,33,0,0,0,0,0,0,0,0,0,0,0,0,67,33,100
31,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Vijeta Degree College, Wanaparthy (Id: C-21988)",0,0,41,35,0,14,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,49,167
32,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Al-Madina College of Education, Mahabubnagar (Id: C-21986)",0,0,0,0,0,0,0,0,0,0,43,171,0,0,0,0,0,0,0,0,0,0,0,0,43,171,214
33,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Govt. Degree College , Atmakur (Id: C-21985)",126,102,99,99,0,37,100,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,238,563
34,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Jadcherla P.G College, Jadcherla (Id: C-21982)",0,0,0,0,0,0,0,0,61,15,0,0,0,0,61,0,0,0,0,0,0,0,0,0,61,15,76
35,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Amritha Akshitha College of Education, Metpally, Wanaparthy (Id: C-21981)",0,0,0,0,0,0,0,0,0,0,55,45,0,0,0,0,0,0,0,0,0,0,0,0,55,45,100
36,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Noor College of Education, Shadnagar (Id: C-21980)",0,0,0,0,0,0,0,0,0,0,11,38,0,0,0,0,0,0,0,0,0,0,0,0,11,38,49
37,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Scholars Degree College, Wanaparthy (Id: C-21973)",0,0,50,60,0,54,57,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,114,221
38,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Goverdhan Reddy Degree College,Telkapally (Id: C-21971)",70,68,66,62,0,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,202,410
39,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Pragathi Arts and Science Degree and P.G College, Achampet (Id: C-21968)",117,97,180,213,0,102,97,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,412,806
40,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Govt. Degree College Co- Edn Nagarkurnool (Id: C-21966)",139,0,102,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,325
41,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Sardar Vallabhai Patel D. C, Shadnagar (Id: C-21956)",176,117,125,131,62,153,256,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,465,1084
42,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Sai Krishna P.G College, Wanaparthy (Id: C-21950)",0,0,0,0,0,0,0,0,17,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,5,22
43,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Govt. Degree College , Kollapur (Id: C-21947)",151,65,198,264,0,55,90,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,384,823
44,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","Adarsh College of Teacher Education, Mahabubnagar (Id: C-21942)",0,0,0,0,0,0,0,0,0,0,36,61,0,0,0,0,0,0,0,0,0,0,0,0,36,61,97
45,Telangana,"Palamuru University, Mahabubnagar (Id: U-0028)","S. V. Govt. Arts and Science Degree and P.G College, Palem (Id: C-21939)",0,0,165,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,202,367
46,Telangana,"Osmania University, Hyderabad (Id: U-0027)","SRI CHAKRA COLLEGE OF EDUCATION, IBRAHIMPATNAM (Id: C-50252)",0,0,0,0,0,0,0,0,0,0,52,48,0,0,0,0,0,0,0,0,0,0,0,0,52,48,100
47,Telangana,"Osmania University, Hyderabad (Id: U-0027)","SIDDIPET COLLEGE OF EDUCATION (SIDDIPET) (Id: C-49878)",0,0,0,0,0,0,0,0,0,0,42,83,0,0,0,0,0,0,0,0,0,0,0,0,42,83,125
48,Telangana,"Osmania University, Hyderabad (Id: U-0027)","VISHWA CHAITANYA WOMENS DEGREE COLLEGE (Id: C-48851)",0,0,0,15,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
49,Telangana,"Osmania University, Hyderabad (Id: U-0027)","SRI VENKATESHWARA DEGREE COLLEGE (PARGI) (Id: C-48848)",220,116,89,151,0,40,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,307,682
50,Telangana,"Osmania University, Hyderabad (Id: U-0027)","ST. MARY'S COLLEGE (KUSHAIGUDA) (Id: C-48844)",0,0,0,0,0,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14
51,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Manikanta Sharanam Degree College (Id: C-26202)",31,19,0,0,0,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,23,66
52,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Swathi Institute of Technology and Science (Id: C-26201)",0,0,0,0,0,0,0,0,0,0,0,0,278,50,0,0,0,0,0,0,0,0,0,0,278,50,328
53,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Mahbub Degree College (Id: C-26199)",0,0,0,0,0,34,143,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,34,177
54,Telangana,"Osmania University, Hyderabad (Id: U-0027)","R.K Degree College (Golkonda X Roads) (Id: C-26196)",0,0,0,0,0,53,162,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,53,215
55,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Reeman College of Education (Id: C-26194)",0,0,0,0,0,0,0,0,0,0,41,51,0,0,0,0,0,0,0,0,0,0,0,0,41,51,92
56,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Chaitanya Degree College (Dubbaka) (Id: C-26193)",13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,30
57,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Shree Uma degree and P.G College (Id: C-26191)",0,0,26,9,0,90,67,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,99,192
58,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Katriya Institute of Excellence in Hotel Management (Id: C-26188)",0,0,0,0,0,0,0,0,9,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,2,11
59,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Sai Degree and P.G College (Id: C-26187)",88,76,155,107,0,53,120,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,236,599
60,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Shree Swaminarayan Gurukul College of Education (Id: C-26186)",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100
61,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Scient College of Education (Id: C-26185)",0,0,0,0,0,0,0,0,0,0,57,35,0,0,0,0,0,0,0,0,0,0,0,0,57,35,92
62,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Basaveshwara Institute of Information Technology (Id: C-26181)",0,0,0,0,0,0,0,0,52,25,0,0,0,0,52,0,0,0,0,0,0,0,0,0,52,25,77
63,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Govt. Degree College (Sadasivpet) (Id: C-26180)",86,47,95,85,0,59,95,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,191,467
64,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Merit Institute of Business Management and Technology (Id: C-26179)",0,0,0,0,0,0,0,0,208,81,0,0,0,0,208,0,0,0,0,0,0,0,0,0,208,81,289
65,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Jesus P.G College (Id: C-26176)",0,0,0,0,0,0,0,0,97,35,0,0,0,0,97,0,0,0,0,0,0,0,0,0,97,35,132
66,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Smt. A. Shyamala Devi Degree College for Women (Id: C-26175)",0,0,0,37,0,210,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,247
67,Telangana,"Osmania University, Hyderabad (Id: U-0027)","S.N. Degree College for Women (Id: C-26174)",0,147,0,136,0,245,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,528
68,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Maitreyi Degree College for Women (Id: C-26173)",0,0,0,79,0,309,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,388
69,Telangana,"Osmania University, Hyderabad (Id: U-0027)","V.V. College of Arts, Commerce and Science and PG Studies (Id: C-26172)",0,0,0,0,0,0,0,0,124,69,0,0,0,0,124,0,0,0,0,0,0,0,0,0,124,69,193
70,Telangana,"Osmania University, Hyderabad (Id: U-0027)","D.V.M Degree College of Commerce and Science (Id: C-26171)",0,0,96,56,0,107,267,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,163,526
71,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Shadan Institute of Computer Studies (Boys) (Id: C-26170)",0,0,0,0,13,0,0,0,219,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,232,0,232
72,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Institute of Public Enterprises (Id: C-26169)",0,0,0,0,0,0,0,0,13,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,3,16
73,Telangana,"Osmania University, Hyderabad (Id: U-0027)","John Bauer College of Hotel Management (Id: C-26167)",0,0,0,0,0,0,0,0,89,5,0,0,0,0,89,0,0,0,0,0,0,0,0,0,89,5,94
74,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Azad Degree College (Id: C-26165)",0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180
75,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Sai Degree and P.G College (Id: C-26164)",0,0,738,88,0,29,647,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,117,1502
76,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Man Power Development College (Id: C-26163)",0,0,0,0,0,0,0,0,91,55,0,0,0,0,91,0,0,0,0,0,0,0,0,0,91,55,146
77,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Vasavi College of Engineering (Id: C-26162)",0,0,0,0,92,0,0,0,0,0,0,0,1475,951,0,0,0,0,0,0,0,0,0,0,1567,999,2566
78,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Nagarjuna Degree College (Id: C-26161)",0,0,10,4,0,21,41,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,76
79,Telangana,"Osmania University, Hyderabad (Id: U-0027)","S.V.R School of Business Management (Id: C-26160)",0,0,0,0,0,0,0,0,23,12,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,12,35
80,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sree Venkateshwara Degree College (Id: C-26159)",0,0,0,0,0,128,112,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,128,240
81,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St.Johns College of Education (Id: C-26156)",0,0,0,0,0,0,0,0,0,0,44,55,0,0,0,0,0,0,0,0,0,0,0,0,44,55,99
82,Telangana,"Osmania University, Hyderabad (Id: U-0027)","SAP Degree College (Id: C-26154)",310,104,585,405,0,244,675,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,753,2323
83,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Royal Degree College for Women (Id: C-26153)",0,0,0,154,0,275,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,429
84,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Ronald Ross P.G. College of Computer Science (Id: C-26152)",0,0,0,0,0,0,0,0,86,21,0,0,0,0,86,0,0,0,0,0,0,0,0,0,86,21,107
85,Telangana,"Osmania University, Hyderabad (Id: U-0027)","St. Augustien P.G College (Id: C-26151)",0,0,0,0,0,0,0,0,259,64,0,0,0,0,259,0,0,0,0,0,0,0,0,0,259,64,323
86,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Chaitanya Degree College (Ghatkesar) (Id: C-26149)",0,0,26,25,0,120,133,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,145,304
87,Telangana,"Osmania University, Hyderabad (Id: U-0027)","P.G. College, Mirzapur (Id: C-26147)",0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
88,Telangana,"Osmania University, Hyderabad (Id: U-0027)","New Generation's Degree College (Id: C-26146)",0,0,23,10,0,38,271,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,48,342
89,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Vikas Degree College (Id: C-26145)",0,0,162,96,0,45,324,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,141,627
90,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Lalitha Degree and P.G. College (Id: C-26144)",0,0,17,36,0,21,37,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,57,111
91,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sweekar Degree College of ASLP (Id: C-26142)",0,0,18,13,0,0,0,0,0,0,19,10,0,0,0,0,0,0,0,0,0,0,0,0,37,23,60
92,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Holy Mother P.G College (Id: C-26141)",0,0,0,0,0,0,0,0,253,51,0,0,0,0,253,0,0,0,0,0,0,0,0,0,253,51,304
93,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sindhu Degree College (Id: C-26140)",0,0,0,206,0,407,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,613
94,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Pragathi Degree College (Co-Ed.) (Id: C-26139)",0,0,378,162,0,113,572,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,275,1225
95,Telangana,"Osmania University, Hyderabad (Id: U-0027)","V.V. College (Day) (Id: C-26138)",142,58,141,65,0,41,426,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,164,873
96,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Brindavan Institute of Teacher Education (Id: C-26137)",0,0,0,0,0,0,0,0,0,0,56,44,0,0,0,0,0,0,0,0,0,0,0,0,56,44,100
97,Telangana,"Osmania University, Hyderabad (Id: U-0027)","L.N. Gupta Degree College (Id: C-26136)",0,0,22,5,0,15,178,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,20,220
98,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Bhagyaradhi Degree College (Id: C-26135)",0,0,34,30,0,98,174,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,128,336
99,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Aurobindo Institute of Computer Science (Olive P.G College for Computer Science) (Id: C-26134)",0,0,0,0,0,0,0,0,180,64,0,0,0,0,180,0,0,0,0,0,0,0,0,0,180,64,244
100,Telangana,"Osmania University, Hyderabad (Id: U-0027)","PMR Degree College (Id: C-26133)",169,47,185,148,0,51,196,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,246,796
101,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Aurora's School of Business (Id: C-26132)",0,0,0,0,0,0,0,0,185,74,0,0,0,0,185,0,0,0,0,0,0,0,0,0,185,74,259
102,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Kingston College of Education (Id: C-26131)",0,0,0,0,0,0,0,0,0,0,43,57,0,0,0,0,0,0,0,0,0,0,0,0,43,57,100
103,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Siddhartaha Degree College for Women (Id: C-26130)",0,0,0,512,0,500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,1012
104,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Vashista Degree College (Id: C-26129)",50,24,101,72,0,47,54,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,143,348
105,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Rainbow Integrated Degree College (Id: C-26128)",0,0,9,6,0,22,33,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,28,70
106,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Gokaraju Rangaraju College of Pharmacy (Id: C-26127)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,128,225,353
107,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Abhyudaya Oriental College (Id: C-26126)",40,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,46,86
108,Telangana,"Osmania University, Hyderabad (Id: U-0027)","G.M. Sanghi Degree College (Id: C-26125)",0,0,0,0,0,43,139,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,43,182
109,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Galaxy Degree college (Shalibanda) (Id: C-26124)",2,14,0,0,0,77,74,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,91,167
110,Telangana,"Osmania University, Hyderabad (Id: U-0027)","AMS School of Informatics (Id: C-26123)",0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194
111,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sarvepally Radhakrishna Degree College (Id: C-26122)",0,0,511,507,0,121,338,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,628,1477
112,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Pioneer Institute of Hotel Management (Id: C-26120)",0,0,0,0,0,0,0,0,162,8,0,0,0,0,162,0,0,0,0,0,0,0,0,0,162,8,170
113,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Nava Bharathi College of Education (Id: C-26119)",0,0,0,0,0,0,0,0,0,0,36,118,0,0,0,0,0,0,0,0,0,0,0,0,36,118,154
114,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Residency College of Education (Id: C-26117)",0,0,0,0,0,0,0,0,0,0,18,62,0,0,0,0,0,0,0,0,0,0,0,0,18,62,80
115,Telangana,"Osmania University, Hyderabad (Id: U-0027)","ACME Degree College (Id: C-26113)",0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,232
116,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Avanthi P.G. College (Id: C-26112)",0,0,0,0,146,0,0,0,234,97,0,0,0,0,234,0,0,0,0,0,0,0,0,0,380,168,548
117,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Gauthami Degree College (Id: C-26109)",0,0,179,198,0,147,219,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,345,743
118,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Bharathiya Vidya Bhavans Vivekananda College of Science, Humanities and Commerce (Id: C-26108)",38,30,618,517,121,490,827,490,210,130,0,0,0,0,210,0,0,0,0,0,0,0,0,0,1814,1239,3053
119,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Bhasker Law College (Id: C-26106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0,0,39,6,45
120,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Kasturba Gandhi Degree College for Women (Id: C-26105)",0,125,0,800,0,1045,0,1045,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2261,2261
121,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Vijetha Degree College (Id: C-26104)",0,0,149,59,0,94,211,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,153,513
122,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Indu P.G College (Id: C-26103)",0,0,0,0,92,0,0,0,182,94,0,0,0,0,182,0,0,0,0,0,0,0,0,0,274,127,401
123,Telangana,"Osmania University, Hyderabad (Id: U-0027)","Sri Vidya Degree College (Co-Education) (Id: C-26102)",87,67,137,118,0,65,107,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,250,581
