"Sl. No.",State,"Name Of University","Name Of College","Arts - Male","Arts - Female","Science - Male","Science - Female","Commerce - Male","Commerce - Female","Computer App / Computer Science - Male","Computer App / Computer Science - Female","Management - Male","Management - Female","Education - Male","Education - Female","Engineering and Technology - Male","Engineering and Technology - Female","Medicine - Male","Medicine - Female","Agriculture - Male","Agriculture - Female","Veterinary Science - Male","Veterinary Science - Female","Law - Male","Law - Female","Others - Male","Others - Female","Total - Male","Total - Female","Grand Total"
847,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Bharath College of Education (Id: C-30267)",0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,100
848,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Prasad College of Education (Id: C-30269)",0,0,0,0,0,0,0,0,0,0,54,46,0,0,0,0,0,0,0,0,0,0,0,0,54,46,100
849,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","SBVR College of Education, Badvel (Id: C-30275)",0,0,0,0,0,0,0,0,0,0,62,93,0,0,0,0,0,0,0,0,0,0,0,0,62,93,155
850,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Panchasheela College of Education (Id: C-30276)",0,0,0,0,0,0,0,0,0,0,59,41,0,0,0,0,0,0,0,0,0,0,0,0,59,41,100
851,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Sri Malayala Swamy College of Education (Id: C-30278)",0,0,0,0,0,0,0,0,0,0,30,61,0,0,0,0,0,0,0,0,0,0,0,0,30,61,91
852,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Rosamma Minority College of Education (Id: C-30279)",0,0,0,0,0,0,0,0,0,0,40,59,0,0,0,0,0,0,0,0,0,0,0,0,40,59,99
853,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","SKSC Degree College (Id: C-30280)",76,27,231,124,0,71,279,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,222,808
854,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","New Model College of Education (Id: C-30285)",0,0,0,0,0,0,0,0,0,0,64,36,0,0,0,0,0,0,0,0,0,0,0,0,64,36,100
855,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","VRS Degree College (Id: C-30286)",198,143,0,0,0,80,123,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,223,544
856,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Hannamma Christial College of Education (Id: C-30287)",0,0,0,0,0,0,0,0,0,0,30,39,0,0,0,0,0,0,0,0,0,0,0,0,30,39,69
857,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","C.Gangi Reddy Degree College (Id: C-30288)",0,0,21,46,0,32,84,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,78,183
858,"Andhra Pradesh","Yogi Vemana University, Kadapa (Id: U-0045)","Mother Theresa College of Education (Id: C-30290)",0,0,0,0,0,0,0,0,0,0,49,46,0,0,0,0,0,0,0,0,0,0,0,0,49,46,95
