id,survey_year,state,college_institution,address_line1,address_line2,city,district,pin_code,website,area_in_acre,construct_in_sqmt,year_of_establishment,affiliat_university,other_affiliated_university_id,statutory_body_id,other_statutory_body,year_of_affiliation,location,latitude,longitude,type,autonomous,has_diploma_courses,management,specialized,evening,speciality,other_speciality,girl_exclusive,staff_quarter_available,non_teaching_staff,teaching_staff,total,student_hostel_available,hostel_count
1161,2015,Gujarat,"Institute of Language Studies and Applied Social Sciences, (ILSASS), Vallabh Vidyanagar","Bhikhabhai Saheb Building","Near Bhaikaka Statue, Mota Bazar, Taluka Anand","Vallabh Vidyanagar-388120",Anand,388120,www.ilsass.edu.in,0.4,750,2009,"Sardar Patel University, Vallabh Vidyanagar",NA,1,NA,2009,R,22.54984,72.92892,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,TRUE,0,3,3,TRUE,2
22182,2015,Punjab,"Guru Nanak College of Education, Bhikhi, Mansa","Guru Nanak College of Education, Samaon Bhikhi, Mansa","Guru Nanak College of Education, Samaon Bhikhi, Mansa",Bhikhi,Mansa,151504,www.gcebhikhi.org,3,3171,2004,"Punjabi University, Patiala",NA,3,NA,2007,R,30.055731,75.536453,"Affiliated College",TRUE,FALSE,"Private Un-Aided",TRUE,FALSE,"Education/Teacher Education",NA,TRUE,FALSE,NA,NA,NA,FALSE,0
45264,2015,Gujarat,NA,"SMT. SUMATIBEN R. BHATT EDUCATION CAMPUS, PALSANA - BALESHWAR ROAD, AT & POST : PALSANA, PALSANA - BALESHWAR ROAD,","AT & PO. PALSANA, TA - PALSANA.","SURAT - 394315",Surat,394315,www.jaypolytech.edu.in,6.3,7478.59,2011,"Gujarat Technological University, Ahmedbabd",NA,6,NA,2011,R,21.51501,72.59111,"Affiliated College",FALSE,TRUE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
15134,2015,"Uttar Pradesh","SMT. BHUDEVI MAHAVIDYALAYA SHASTRI PURAM, AGRA",SHASTRIPURAM,"DAHTORA AGRA",AGRA,Agra,282007,sbdkm.org,1.2,3000,2010,"Dr. B. R. Ambedkar University, Agra",NA,1,NA,2010,U,NA,NA,"Affiliated College",TRUE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
7184,2015,Gujarat,"Smt. L.L. Kakadia B.Ed. College","Sardar Patel Educational Institute,","Kalvibid,",Bhavnagar,Bhavnagar,364002,www.speibvn.org,3,2044.6,2004,"Maharaja Krishnakumarsinhji Bhavnagar University",NA,3,NA,2004,U,21.76001,72.15001,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,"Education/Teacher Education",NA,FALSE,FALSE,NA,NA,NA,FALSE,0
5950,2015,Gujarat,"K. K. Shah Jarodwala Maninagar Science College","J.L Trust Campus, Rambaug, Maninagar","J.L Trust Campus, Rambaug, Maninagar, Ahmedabad-380008","AHMEDABAD-380008, Taluka- Ahmedabad",Ahmadabad,380008,www.kksjmsc.com,1.5,648.19,1975,"Gujarat University, Ahmedabad",NA,1,NA,1975,U,20.12352,70.12352,"Affiliated College",FALSE,FALSE,"Private Aided",TRUE,FALSE,Science,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
6188,2015,"West Bengal","Techno India (MBA) 308","EM-4/1, SECTOR-V","SALT LAKE CITY",KOLKATA,"North Twenty Four Parganas",700091,www.ticollege.ac.in,0.5,1800,2001,"Maulana Abul Kalam Azad University of Technology, West Bengal",NA,6,NA,2003,U,22.12345,88.12345,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,Management,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
6302,2015,"West Bengal","TECHNO INDIA (Stand alone MCA) 307","EM-4/1, SECTOR-V","SALT LAKE CITY",KOLKATA,"North Twenty Four Parganas",700091,www.ticollege.ac.in,0.5,2200,2002,"Maulana Abul Kalam Azad University of Technology, West Bengal",NA,6,NA,2002,U,22.12345,88.12345,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,"Computer Application",NA,FALSE,FALSE,NA,NA,NA,FALSE,0
6662,2015,Gujarat,"NORTH GUJRAT EDUCATION TRUST SANCHALIT PGDCA COLL","COLLEGE CAMPUS","RAJMAHEL ROAD",PATAN,Patan,384265,ngesmumbai.org,34.2,7008,2010,"Hemchandracharya North Gujart University, Patan",NA,19,MANAGEMENT,2010,R,23.849325,72.126626,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,"Computer Application",NA,FALSE,FALSE,NA,NA,NA,TRUE,2
6133,2015,"West Bengal","Techno India 130","EM-4/1, SECTOR-V","SALT LAKE CITY",KOLKATA,"North Twenty Four Parganas",700091,www.ticollege.ac.in,2.5,27000,2001,"Maulana Abul Kalam Azad University of Technology, West Bengal",NA,6,NA,2001,U,22.12345,88.12345,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,"Engineering & Technology",NA,FALSE,FALSE,NA,NA,NA,FALSE,0
