Serial No:,Item,Unit,2002-03,2003-04,2004 -05,2005 -06,2006 -07,2007 -08,2008 -09,2009-10,2010-11,2011-12,2012-13
49,Electric,(No.),2930,3004,3065,3188,3294,3443,3586,3825,4033,4309,4568
50,Coaching Stock; (i) Passenger carriages,(No.),34871,35654,37087,38156,38855,40696,42079,43526,45048,46688,48037
51,(ii)EMU/DMU/DHMU,(No.),4957,5278,5388,5894,6454,6641,6984,7487,8053,8617,9184
52,(iii)Rail cars (internal combustion engine propelled),(No.),24,37,38,43,41,38,38,38,34,34,35
53,(iv) Other Coaching Vehicles,(No.),4904,5519,5600,5612,5905,6180,5985,6477,6500,6560,6614
54,Goods wagons,(No.),214760,227752,222409,207983,207723,204034,212835,220549,229987,239321,244731
55,(i) Covered wagons(BG),(No.),60196,60636,58508,55457,55033,53751,53015,54600,58256,59581,62157
56,(ii) Open wagons(BG),(No.),96247,107521,109439,102020,105833,106488,112525,119389,127792,136806,142001
57,(iii) Other wagons(BG)*,(No.),44354,47001,44447,41099,39080,37292,41087,40947,39211,38622,36680
58,Train Kilometres;Passenger trains: Steam,(`000),59,51,60,61,54,52,47,32,31,34,34
59,Diesel,(`000),257303,259064,259776,265931,270330,278388,287922,296943,310383,323991,333453
60,Electric,(`000),159285,163974,173771,180561,191364,196929,207779,228692,239521,247498,257582
61,Goods and proportion of mixed: Steam,(`000),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Diesel,(`000),116213,112416,113756,116779,119577,121799,123726,128858,134720,141309,143515
63,Electric,(`000),160364,158774,170859,176155,186185,204047,214062,227070,233764,249731,257331
64,Total (Including departmental): Steam,(`000),63,58,66,67,62,56,49,67,49,48,39
65,Diesel,(`000),379893,378185,381299,388501,395422,405262,415956,430842,450522,469220,480351
66,Electric,(`000),321524,324742,345296,357827,378505,402324,423241,456989,474075,498117,515677
