Item,Unit,2002-03,2003-04,"2004 -05","2005 -06","2006 -07","2007 -08","2008 -09",2009-10,2010-11,2011-12
"Coaching vehicles - Other vehicles (9)",NA,4904,5519,5600,2840,5905,6180,5985,6505,3410,3417
"Goods wagons (8)",NA,214760,227752,222409,202508,207719,204034,212835,219931,221431,230203
"Goods wagons (8) - 1. Broad guage - (i) Covered wagons (8)",NA,60196,60636,58508,55457,55033,53751,53015,54600,58256,59581
"Goods wagons (8) - 1. Broad guage - (ii) Open wagons (8)",NA,96247,107521,109439,102020,105833,106488,112525,119389,127792,136806
"Goods wagons (8) - 1. Broad guage - (iii) Other wagons",NA,44354,47001,44447,41099,39080,37292,41087,40947,39211,38622
"Goods wagons (8) - 2. Other gauges",NA,13963,12594,9985,9383,7773,6503,5136,4995,4574,5122
"Train kilometres - Passenger trains - Steam",('000),59,51,60,61,54,52,47,32,31,34
"Train kilometres - Passenger trains - Diesel",('000),257303,259064,259776,265931,270330,278388,287922,296943,310383,323991
"Train kilometres - Passenger trains - Electric",('000),159285,163974,173771,180561,191364,196929,207779,228692,239521,247498
"Train kilometres - Goods and proportion of mixed - Steam",('000),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Train kilometres - Goods and proportion of mixed - Diesel",('000),116213,112416,113756,116779,119577,121799,123726,128858,134720,141309
"Train kilometres - Goods and proportion of mixed - Electric",('000),160364,158774,170859,176155,186185,204047,214062,227070,233764,249731
"Train kilometres - Total (Including departmental) - Steam",('000),63,58,66,67,62,56,49,67,49,48
"Train kilometres - Total (Including departmental) - Diesel",('000),379893,378185,381299,388501,395422,405262,415956,430842,445103,465300
"Train kilometres - Total (Including departmental) - Electric",('000),321524,324742,345296,357827,378505,402324,423241,456989,473285,497229
