StateName,state_id,DistrictName,DISTRICT_ID,TotalNoOfApplication,TotalNoOf_Micro,TotalNoOf_Small,TotalNoOf_Medium,CreatedDate
"JAMMU AND KASHMIR",1,ANANTNAG,36,373,277,85,11,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,BADGAM,34,909,791,116,2,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,BANDIPORA,604,102,59,43,0,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,BARAMULLA,32,795,650,142,3,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,DODA,39,85,63,21,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,GANDERBAL,605,216,175,39,2,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,JAMMU,43,3503,2594,870,39,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,KARGIL,38,46,15,30,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,KATHUA,44,561,408,138,15,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,KISHTWAR,606,122,67,54,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,KULGAM,607,96,79,16,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,KUPWARA,31,82,57,23,2,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,"LEH LADAKH",37,93,52,40,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,POONCH,41,835,796,39,0,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,PULWAMA,35,220,148,69,3,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,RAJAURI,42,353,315,36,2,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,RAMBAN,608,76,62,11,3,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,REASI,609,114,76,37,1,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,SAMBA,610,532,272,247,13,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,SHOPIAN,611,64,34,28,2,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,SRINAGAR,33,1839,1181,612,46,2022-04-01T08:08:08.550
"JAMMU AND KASHMIR",1,UDHAMPUR,40,243,144,96,3,2022-04-01T08:08:08.550
"HIMACHAL PRADESH",2,BILASPUR,52,409,315,91,3,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,CHAMBA,45,755,572,175,8,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,HAMIRPUR,50,572,457,115,0,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,KANGRA,46,2735,2167,529,39,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,KINNAUR,56,148,107,38,3,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,KULLU,48,1229,883,325,21,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,"LAHUL AND SPITI",47,36,33,3,0,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,MANDI,49,1581,1246,323,12,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,SHIMLA,55,1795,1386,377,32,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,SIRMAUR,54,1014,525,441,48,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,SOLAN,53,4950,2969,1813,168,2022-04-01T08:08:08.847
"HIMACHAL PRADESH",2,UNA,51,1731,1282,419,30,2022-04-01T08:08:08.847
PUNJAB,3,AMRITSAR,57,13148,10672,2383,93,2022-04-01T08:08:09.177
PUNJAB,3,BARNALA,58,3800,3036,754,10,2022-04-01T08:08:09.177
PUNJAB,3,BATHINDA,60,10679,9143,1484,52,2022-04-01T08:08:09.177
PUNJAB,3,FARIDKOT,61,4823,4227,576,20,2022-04-01T08:08:09.177
PUNJAB,3,"FATEHGARH SAHIB",69,4196,3344,815,37,2022-04-01T08:08:09.177
PUNJAB,3,FAZILKA,62,4398,3887,493,18,2022-04-01T08:08:09.177
PUNJAB,3,FIROZEPUR,63,4622,3995,612,15,2022-04-01T08:08:09.177
PUNJAB,3,GURDASPUR,59,4828,4006,807,15,2022-04-01T08:08:09.177
PUNJAB,3,HOSHIARPUR,64,7831,6999,812,20,2022-04-01T08:08:09.177
PUNJAB,3,JALANDHAR,65,27748,23437,4200,111,2022-04-01T08:08:09.177
PUNJAB,3,KAPURTHALA,66,8048,7188,841,19,2022-04-01T08:08:09.177
PUNJAB,3,LUDHIANA,67,65276,53793,11124,359,2022-04-01T08:08:09.177
PUNJAB,3,MANSA,70,4431,3909,515,7,2022-04-01T08:08:09.177
PUNJAB,3,MOGA,71,7825,6839,964,22,2022-04-01T08:08:09.177
PUNJAB,3,PATHANKOT,615,1463,1164,283,16,2022-04-01T08:08:09.177
PUNJAB,3,PATIALA,616,15257,12901,2306,50,2022-04-01T08:08:09.177
PUNJAB,3,RUPNAGAR,617,2941,2428,500,13,2022-04-01T08:08:09.177
PUNJAB,3,SANGRUR,68,10000,8395,1573,32,2022-04-01T08:08:09.177
PUNJAB,3,"SAS NAGAR",72,19934,16167,3594,173,2022-04-01T08:08:09.177
PUNJAB,3,"SHAHID BHAGAT SINGH NAGAR",614,4928,4453,462,13,2022-04-01T08:08:09.177
PUNJAB,3,"SRI MUKTSAR SAHIB",73,3635,3168,452,15,2022-04-01T08:08:09.177
PUNJAB,3,"TARN TARAN",618,3457,3102,352,3,2022-04-01T08:08:09.177
CHANDIGARH,4,CHANDIGARH,74,13052,10531,2358,163,2022-04-01T08:08:10.690
UTTARAKHAND,5,ALMORA,83,1234,1068,149,17,2022-04-01T08:08:10.940
UTTARAKHAND,5,BAGESHWAR,82,836,805,29,2,2022-04-01T08:08:10.940
UTTARAKHAND,5,CHAMOLI,76,739,688,49,2,2022-04-01T08:08:10.940
UTTARAKHAND,5,CHAMPAWAT,84,801,744,55,2,2022-04-01T08:08:10.940
UTTARAKHAND,5,DEHRADUN,79,12602,10598,1908,96,2022-04-01T08:08:10.940
UTTARAKHAND,5,HARIDWAR,87,8880,6414,2262,204,2022-04-01T08:08:10.940
UTTARAKHAND,5,NAINITAL,85,3752,3002,676,74,2022-04-01T08:08:10.940
UTTARAKHAND,5,"PAURI GARHWAL",80,4954,4677,264,13,2022-04-01T08:08:10.940
UTTARAKHAND,5,PITHORAGARH,81,1061,962,95,4,2022-04-01T08:08:10.940
UTTARAKHAND,5,"RUDRA PRAYAG",77,740,698,37,5,2022-04-01T08:08:10.940
UTTARAKHAND,5,"TEHRI GARHWAL",78,1399,1227,163,9,2022-04-01T08:08:10.940
UTTARAKHAND,5,"UDHAM SINGH NAGAR",86,9746,7763,1844,139,2022-04-01T08:08:10.940
UTTARAKHAND,5,UTTARKASHI,75,1114,1002,111,1,2022-04-01T08:08:10.940
HARYANA,6,AMBALA,89,9617,7919,1655,43,2022-04-01T08:08:11.410
HARYANA,6,BHIWANI,100,5092,3854,1205,33,2022-04-01T08:08:11.410
HARYANA,6,FARIDABAD,106,32032,23755,7893,384,2022-04-01T08:08:11.410
HARYANA,6,FATEHABAD,97,5332,4786,544,2,2022-04-01T08:08:11.410
HARYANA,6,GURUGRAM,105,31029,21576,8791,662,2022-04-01T08:08:11.410
HARYANA,6,HISAR,99,11289,9574,1640,75,2022-04-01T08:08:11.410
HARYANA,6,JHAJJAR,102,5347,3609,1638,100,2022-04-01T08:08:11.410
HARYANA,6,JIND,96,8016,6493,1495,28,2022-04-01T08:08:11.410
HARYANA,6,KAITHAL,92,8912,7926,955,31,2022-04-01T08:08:11.410
HARYANA,6,KARNAL,93,15709,12735,2847,127,2022-04-01T08:08:11.410
HARYANA,6,KURUKSHETRA,91,6821,5658,1131,32,2022-04-01T08:08:11.410
HARYANA,6,MAHENDRAGARH,103,2698,2152,540,6,2022-04-01T08:08:11.410
HARYANA,6,NUH,685,2201,1751,437,13,2022-04-01T08:08:11.410
HARYANA,6,PALWAL,684,3520,2779,709,32,2022-04-01T08:08:11.410
HARYANA,6,PANCHKULA,88,5939,4615,1284,40,2022-04-01T08:08:11.410
HARYANA,6,PANIPAT,94,21117,17806,3162,149,2022-04-01T08:08:11.410
HARYANA,6,REWARI,104,4732,3706,969,57,2022-04-01T08:08:11.410
HARYANA,6,ROHTAK,101,6141,4719,1344,78,2022-04-01T08:08:11.410
HARYANA,6,SIRSA,98,8375,7397,956,22,2022-04-01T08:08:11.410
HARYANA,6,SONIPAT,95,12204,8821,3158,225,2022-04-01T08:08:11.410
HARYANA,6,YAMUNANAGAR,90,9980,7757,2197,26,2022-04-01T08:08:11.410
DELHI,7,CENTRAL,112,13126,9908,3024,194,2022-04-01T08:08:12.783
DELHI,7,EAST,110,25656,20734,4718,204,2022-04-01T08:08:12.783
DELHI,7,"NEW DELHI",111,19859,15238,4346,275,2022-04-01T08:08:12.783
DELHI,7,NORTH,108,14655,11028,3472,155,2022-04-01T08:08:12.783
DELHI,7,"NORTH EAST",109,12243,10471,1725,47,2022-04-01T08:08:12.783
DELHI,7,"NORTH WEST",107,35962,27706,7947,309,2022-04-01T08:08:12.783
DELHI,7,SHAHDARA,626,3151,2674,464,13,2022-04-01T08:08:12.783
DELHI,7,"SOUTH ",115,29161,21867,6846,448,2022-04-01T08:08:12.783
DELHI,7,"SOUTH EAST",627,4703,3688,954,61,2022-04-01T08:08:12.783
DELHI,7,"SOUTH WEST",114,21303,16775,4296,232,2022-04-01T08:08:12.783
DELHI,7,WEST,113,28852,23018,5599,235,2022-04-01T08:08:12.783
RAJASTHAN,8,AJMER,136,24577,19719,4738,120,2022-04-01T08:08:14.050
RAJASTHAN,8,ALWAR,121,27109,21983,4875,251,2022-04-01T08:08:14.050
RAJASTHAN,8,BANSWARA,612,4889,4481,395,13,2022-04-01T08:08:14.050
RAJASTHAN,8,BARAN,145,3529,3286,236,7,2022-04-01T08:08:14.050
RAJASTHAN,8,BARMER,132,11905,9426,2440,39,2022-04-01T08:08:14.050
RAJASTHAN,8,BHARATPUR,122,9747,8713,999,35,2022-04-01T08:08:14.050
RAJASTHAN,8,BHILWARA,139,30184,25752,4291,141,2022-04-01T08:08:14.050
RAJASTHAN,8,BIKANER,118,22881,19695,3105,81,2022-04-01T08:08:14.050
RAJASTHAN,8,BUNDI,138,4527,4083,427,17,2022-04-01T08:08:14.050
RAJASTHAN,8,CHITTORGARH,143,9972,8509,1415,48,2022-04-01T08:08:14.050
RAJASTHAN,8,CHURU,119,9536,8467,1049,20,2022-04-01T08:08:14.050
RAJASTHAN,8,DAUSA,126,12194,11259,925,10,2022-04-01T08:08:14.050
RAJASTHAN,8,DHOLPUR,123,2941,2650,274,17,2022-04-01T08:08:14.050
RAJASTHAN,8,DUNGARPUR,142,4150,3790,353,7,2022-04-01T08:08:14.050
RAJASTHAN,8,GANGANAGAR,116,20129,18455,1631,43,2022-04-01T08:08:14.050
RAJASTHAN,8,HANUMANGARH,117,17890,16763,1107,20,2022-04-01T08:08:14.050
RAJASTHAN,8,JAIPUR,127,203802,183821,19252,729,2022-04-01T08:08:14.050
RAJASTHAN,8,JAISALMER,131,2682,2051,616,15,2022-04-01T08:08:14.050
RAJASTHAN,8,JALORE,133,5924,4752,1154,18,2022-04-01T08:08:14.050
RAJASTHAN,8,JHALAWAR,146,3751,3362,386,3,2022-04-01T08:08:14.050
RAJASTHAN,8,JHUNJHUNU,120,9824,8843,955,26,2022-04-01T08:08:14.050
RAJASTHAN,8,JODHPUR,130,46384,39510,6685,189,2022-04-01T08:08:14.050
RAJASTHAN,8,KARAULI,124,4773,4426,346,1,2022-04-01T08:08:14.050
RAJASTHAN,8,KOTA,144,25653,23204,2332,117,2022-04-01T08:08:14.050
RAJASTHAN,8,NAGAUR,129,18594,16102,2451,41,2022-04-01T08:08:14.050
RAJASTHAN,8,PALI,135,13572,11632,1894,46,2022-04-01T08:08:14.050
RAJASTHAN,8,PRATAPGARH,625,2771,2557,210,4,2022-04-01T08:08:14.050
RAJASTHAN,8,RAJSAMAND,140,7055,5469,1565,21,2022-04-01T08:08:14.050
RAJASTHAN,8,"SAWAI MADHOPUR",125,7197,6565,599,33,2022-04-01T08:08:14.050
RAJASTHAN,8,SIKAR,128,18069,15967,2058,44,2022-04-01T08:08:14.050
RAJASTHAN,8,SIROHI,134,6166,5328,806,32,2022-04-01T08:08:14.050
RAJASTHAN,8,TONK,137,4959,4587,365,7,2022-04-01T08:08:14.050
RAJASTHAN,8,UDAIPUR,141,26099,22039,3842,218,2022-04-01T08:08:14.050
"UTTAR PRADESH",9,AGRA,161,71980,67886,3901,193,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,ALIGARH,158,17232,15889,1295,48,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,"AMBEDAKAR NAGAR",194,6500,5856,634,10,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,AMETHI,632,2709,2367,334,8,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,AMROHA,152,4156,3850,287,19,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,AURAIYA,178,5817,5573,233,11,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,AZAMGARH,207,8720,7927,781,12,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BAGHPAT,154,3326,3036,279,11,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BAHRAICH,196,21004,20395,464,145,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BALLIA,209,4486,4042,431,13,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BALRAMPUR,198,3789,3622,162,5,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BANDA,186,3146,2834,306,6,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BARABANKI,192,19124,18345,758,21,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BAREILLY,166,19582,17801,1678,103,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BASTI,201,5754,5369,376,9,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BHADOHI,214,15786,15058,723,5,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BIJNOR,149,5068,4643,406,19,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BUDAUN,165,3650,3364,268,18,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,BULANDSHAHAR,157,10351,9097,1197,57,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,CHANDAULI,212,7204,6603,569,32,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,CHITRAKOOT,187,4372,4216,154,2,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,DEORIA,206,6337,5898,432,7,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,ETAH,163,3266,2975,278,13,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,ETAWAH,177,9562,9013,520,29,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,FAIZABAD,193,4429,3776,633,20,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,FARRUKHABAD,175,4432,4130,284,18,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,FATEHPUR,188,5867,5545,306,16,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,FIROZABAD,162,9878,9162,672,44,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,"GAUTAM BUDDHA NAGAR",156,40059,29888,9591,580,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,GHAZIABAD,155,40814,33388,7176,250,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,GHAZIPUR,211,19568,18349,1216,3,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,GONDA,199,13960,13345,580,35,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,GORAKHAPUR,204,13612,12156,1396,60,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,HAMIRPUR,184,2625,2480,140,5,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,HAPUR,697,5224,4303,879,42,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,HARDOI,171,4359,3881,445,33,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,HATHRAS,159,15557,15060,447,50,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,JALAUN,181,2959,2780,160,19,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,JAUNPUR,210,43322,42163,1129,30,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,JHANSI,182,10025,9231,771,23,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,KANNAUJ,176,5023,4708,290,25,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,"KANPUR DEHAT",634,4976,4571,370,35,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,"KANPUR NAGAR",179,39341,34810,4330,201,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,KASGANJ,637,2314,2164,146,4,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,KAUSHAMBI,190,1760,1497,255,8,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,KUSHINAGAR,205,5222,4833,381,8,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,"LAKHIMPUR KHERI",169,6864,6401,437,26,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,LALITPUR,183,3648,3465,180,3,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,LUCKNOW,173,46717,40132,6292,293,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,MAHARAJGANJ,203,12125,7200,4901,24,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,MAHOBA,185,1103,831,262,10,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,MAINPURI,164,7608,7379,224,5,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,MATHURA,160,34755,32665,2012,78,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,MAU,208,5844,5509,324,11,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,MEERUT,153,35987,33057,2828,102,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,MIRZAPUR,215,27743,26657,1063,23,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,MORADABAD,150,22481,21052,1386,43,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,MUZAFFARNAGAR,148,9281,8317,920,44,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,PILIBHIT,167,3180,2848,323,9,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,PRATAPGARH,189,10011,9247,735,29,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,PRAYAGRAJ,191,54182,50533,3572,77,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,"RAE BARELI",174,4856,4245,587,24,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,RAMPUR,151,6876,6256,598,22,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,SAHARANPUR,147,14383,13247,1093,43,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,SAMBHAL,633,2768,2483,268,17,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,"SANT KABEER NAGAR",202,6336,6099,230,7,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,SHAHJAHANPUR,168,3250,2722,499,29,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,SHAMLI,180,4093,3789,297,7,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,SHRAVASTI,197,1343,1246,87,10,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,SIDDHARTHNAGAR,200,10035,9790,235,10,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,SITAPUR,170,9039,8580,443,16,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,SONBHADRA,216,25072,24102,929,41,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,SULTANPUR,195,5811,5462,333,16,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,UNNAO,172,6004,5484,471,49,2022-04-01T08:08:17.380
"UTTAR PRADESH",9,VARANASI,213,30554,27867,2582,105,2022-04-01T08:08:17.380
BIHAR,10,ARARIA,223,47670,47082,510,78,2022-04-01T08:08:22.490
BIHAR,10,ARWAL,613,2833,2711,119,3,2022-04-01T08:08:22.490
BIHAR,10,AURANGABAD,250,9018,8377,628,13,2022-04-01T08:08:22.490
BIHAR,10,BANKA,239,28809,28479,324,6,2022-04-01T08:08:22.490
BIHAR,10,BEGUSARAI,236,31369,29752,1577,40,2022-04-01T08:08:22.490
BIHAR,10,BHAGALPUR,238,27540,26384,1131,25,2022-04-01T08:08:22.490
BIHAR,10,BHOJPUR,245,10772,10101,638,33,2022-04-01T08:08:22.490
BIHAR,10,BUXAR,246,9330,8995,329,6,2022-04-01T08:08:22.490
BIHAR,10,DARBHANGA,229,38743,37853,863,27,2022-04-01T08:08:22.490
BIHAR,10,GAYA,251,23141,21870,1164,107,2022-04-01T08:08:22.490
BIHAR,10,GOPALGANJ,231,10317,9746,557,14,2022-04-01T08:08:22.490
BIHAR,10,JAMUI,253,16730,16362,357,11,2022-04-01T08:08:22.490
BIHAR,10,JEHANABAD,249,4196,3932,263,1,2022-04-01T08:08:22.490
BIHAR,10,"KAIMUR (BHABUA)",247,7712,7245,451,16,2022-04-01T08:08:22.490
BIHAR,10,KATIHAR,226,20920,20303,600,17,2022-04-01T08:08:22.490
BIHAR,10,KHAGARIA,237,13441,13052,382,7,2022-04-01T08:08:22.490
BIHAR,10,KISHANGANJ,224,15126,14880,236,10,2022-04-01T08:08:22.490
BIHAR,10,LAKHISARAI,241,15422,15128,292,2,2022-04-01T08:08:22.490
BIHAR,10,MADHEPURA,227,8793,8351,427,15,2022-04-01T08:08:22.490
BIHAR,10,MADHUBANI,221,38432,37560,833,39,2022-04-01T08:08:22.490
BIHAR,10,MUNGER,240,10504,10202,294,8,2022-04-01T08:08:22.490
BIHAR,10,MUZAFFARPUR,230,72486,70275,2145,66,2022-04-01T08:08:22.490
BIHAR,10,NALANDA,243,24919,24171,726,22,2022-04-01T08:08:22.490
BIHAR,10,NAWADA,252,12667,12016,504,147,2022-04-01T08:08:22.490
BIHAR,10,"PASHCHIM  CHAMPARAN",217,55404,54571,800,33,2022-04-01T08:08:22.490
BIHAR,10,PATNA,244,69205,60692,8280,233,2022-04-01T08:08:22.490
BIHAR,10,"PURBI  CHAMPARAN",218,49907,48576,1292,39,2022-04-01T08:08:22.490
BIHAR,10,PURNIA,225,29229,28466,734,29,2022-04-01T08:08:22.490
BIHAR,10,ROHTAS,248,29989,29273,683,33,2022-04-01T08:08:22.490
BIHAR,10,SAHARSA,228,18752,18269,470,13,2022-04-01T08:08:22.490
BIHAR,10,SAMASTIPUR,235,43668,42445,1192,31,2022-04-01T08:08:22.490
BIHAR,10,SARAN,233,26525,25754,755,16,2022-04-01T08:08:22.490
BIHAR,10,SHEIKHPURA,242,6374,6136,236,2,2022-04-01T08:08:22.490
BIHAR,10,SHEOHAR,219,5831,5615,211,5,2022-04-01T08:08:22.490
BIHAR,10,SITAMARHI,220,40066,39026,1009,31,2022-04-01T08:08:22.490
BIHAR,10,SIWAN,232,8778,8148,615,15,2022-04-01T08:08:22.490
BIHAR,10,SUPAUL,222,14000,13593,394,13,2022-04-01T08:08:22.490
BIHAR,10,VAISHALI,234,39822,38658,1131,33,2022-04-01T08:08:22.490
SIKKIM,11,"EAST DISTRICT",254,676,424,228,24,2022-04-01T08:08:27.503
SIKKIM,11,"NORTH DISTRICT",255,29,23,6,0,2022-04-01T08:08:27.503
SIKKIM,11,"SOUTH DISTRICT",256,174,104,59,11,2022-04-01T08:08:27.503
SIKKIM,11,"WEST DISTRICT",257,202,150,49,3,2022-04-01T08:08:27.503
"ARUNACHAL PRADESH",12,ANJAW,628,3,3,0,0,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,CHANGLANG,269,170,114,53,3,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",267,18,16,2,0,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"EAST KAMENG",260,25,17,8,0,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"EAST SIANG",265,130,75,45,10,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"KRA DAADI",722,1,1,0,0,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",631,22,11,9,2,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,LOHIT,268,136,94,42,0,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,LONGDING,630,20,14,6,0,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"LOWER DIBANG VALLEY",629,82,51,27,4,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",262,139,91,45,3,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"PAPUM PARE",261,833,408,380,45,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,TAWANG,258,20,11,8,1,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,TIRAP,270,14,8,6,0,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"UPPER SIANG",266,14,6,8,0,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"UPPER SUBANSIRI",263,108,85,23,0,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"WEST KAMENG",259,75,31,33,11,2022-04-01T08:08:27.693
"ARUNACHAL PRADESH",12,"WEST SIANG",264,159,101,55,3,2022-04-01T08:08:27.693
NAGALAND,13,DIMAPUR,276,1090,770,305,15,2022-04-01T08:08:27.897
NAGALAND,13,KIPHRIE,644,21,13,8,0,2022-04-01T08:08:27.897
NAGALAND,13,KOHIMA,277,277,202,71,4,2022-04-01T08:08:27.897
NAGALAND,13,LONGLENG,645,3,3,0,0,2022-04-01T08:08:27.897
NAGALAND,13,MOKOKCHUNG,273,214,188,22,4,2022-04-01T08:08:27.897
NAGALAND,13,MON,271,41,26,15,0,2022-04-01T08:08:27.897
NAGALAND,13,PEREN,646,15,13,2,0,2022-04-01T08:08:27.897
NAGALAND,13,PHEK,278,58,55,3,0,2022-04-01T08:08:27.897
NAGALAND,13,TUENSANG,272,149,144,4,1,2022-04-01T08:08:27.897
NAGALAND,13,WOKHA,275,140,92,48,0,2022-04-01T08:08:27.897
NAGALAND,13,ZUNHEBOTO,274,11,9,2,0,2022-04-01T08:08:27.897
MANIPUR,14,BISHNUPUR,282,3712,3178,526,8,2022-04-01T08:08:28.100
MANIPUR,14,CHANDEL,287,876,713,162,1,2022-04-01T08:08:28.100
MANIPUR,14,CHURACHANDPUR,281,1749,1591,158,0,2022-04-01T08:08:28.100
MANIPUR,14,"IMPHAL EAST",285,10832,9525,1288,19,2022-04-01T08:08:28.100
MANIPUR,14,"IMPHAL WEST",284,11587,9490,2067,30,2022-04-01T08:08:28.100
MANIPUR,14,KANGPOKPI,736,1,1,0,0,2022-04-01T08:08:28.100
MANIPUR,14,SENAPATI,279,1879,1716,159,4,2022-04-01T08:08:28.100
MANIPUR,14,TAMENGLONG,280,276,243,32,1,2022-04-01T08:08:28.100
MANIPUR,14,THOUBAL,283,5065,4396,666,3,2022-04-01T08:08:28.100
MANIPUR,14,UKHRUL,286,1223,1025,197,1,2022-04-01T08:08:28.100
MIZORAM,15,AIZAWL,290,2275,1667,575,33,2022-04-01T08:08:28.537
MIZORAM,15,CHAMPHAI,291,292,197,93,2,2022-04-01T08:08:28.537
MIZORAM,15,KOLASIB,289,180,98,82,0,2022-04-01T08:08:28.537
MIZORAM,15,LAWNGTLAI,294,77,59,18,0,2022-04-01T08:08:28.537
MIZORAM,15,LUNGLEI,293,276,216,60,0,2022-04-01T08:08:28.537
MIZORAM,15,MAMIT,288,102,71,31,0,2022-04-01T08:08:28.537
MIZORAM,15,SAIHA,295,77,46,31,0,2022-04-01T08:08:28.537
MIZORAM,15,SERCHHIP,292,267,244,23,0,2022-04-01T08:08:28.537
