state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
RAJASTHAN,8,TONK,116,6,33883,255,34144
SIKKIM,11,Gangtok,225,8,6984,93,7085
SIKKIM,11,Namchi,227,2,3320,21,3343
"TAMIL NADU",33,SALEM,584,50,118651,1042,119743
"TAMIL NADU",33,THANJAVUR,586,18,82320,466,82804
"TAMIL NADU",33,TIRUPPUR,634,26,93076,921,94023
"TAMIL NADU",33,VIRUDHUNAGAR,597,14,57311,357,57682
TELANGANA,36,ADILABAD,501,2,21489,106,21597
TELANGANA,36,HYDERABAD,507,578,221425,5335,227338
TELANGANA,36,Jagitial,681,2,25410,95,25507
TELANGANA,36,JANGOAN,689,0,14264,54,14318
TELANGANA,36,"JOGULAMBA GADWAL",695,0,11611,59,11670
TELANGANA,36,Narayanpet,721,0,8669,24,8693
TELANGANA,36,"RAJANNA SIRCILLA",683,1,18742,38,18781
TELANGANA,36,"RANGA REDDI",518,138,153409,1941,155488
TELANGANA,36,SANGAREDDY,691,5,42791,256,43052
TELANGANA,36,SURYAPET,696,1,35726,172,35899
TRIPURA,16,DHALAI,269,1,4970,16,4987
"UTTAR PRADESH",9,AZAMGARH,123,6,67160,285,67451
"UTTAR PRADESH",9,BARABANKI,129,9,35873,294,36176
"UTTAR PRADESH",9,BIJNOR,132,7,40236,281,40524
"UTTAR PRADESH",9,BULANDSHAHAR,134,15,51855,451,52321
"UTTAR PRADESH",9,GONDA,147,12,37933,232,38177
"UTTAR PRADESH",9,JAUNPUR,152,2,60219,282,60503
"UTTAR PRADESH",9,JHANSI,153,14,42827,469,43310
"UTTAR PRADESH",9,MAHARAJGANJ,164,4,32281,176,32461
"UTTAR PRADESH",9,MORADABAD,171,18,53048,419,53485
"UTTAR PRADESH",9,SAHARANPUR,177,11,73901,450,74362
"UTTAR PRADESH",9,SITAPUR,183,0,35696,248,35944
UTTARAKHAND,5,ALMORA,45,0,11648,25,11673
UTTARAKHAND,5,BAGESHWAR,46,1,4476,6,4483
UTTARAKHAND,5,"PAURI GARHWAL",52,2,11894,45,11941
UTTARAKHAND,5,PITHORAGARH,53,1,8905,32,8938
"WEST BENGAL",19,BIRBHUM,307,5,46990,343,47338
"WEST BENGAL",19,"EAST MEDINIPUR",317,20,86164,794,86978
"WEST BENGAL",19,MURSHIDABAD,319,17,92706,659,93382
"WEST BENGAL",19,"NORTH 24 PRAGANAS",303,79,166849,1461,168389
DELHI,7,CENTRAL,77,208,45145,2476,47829
DELHI,7,"NEW DELHI",79,174,49816,1537,51527
DELHI,7,"SOUTH ",83,264,85231,2471,87966
DELHI,7,"SOUTH WEST",84,159,79993,1656,81808
DELHI,7,WEST,85,149,100217,1964,102330
"JAMMU AND KASHMIR",1,REASI,627,1,8548,40,8589
"JAMMU AND KASHMIR",1,SRINAGAR,13,25,55996,456,56477
PUDUCHERRY,34,MAHE,600,2,563,22,587
PUDUCHERRY,34,YANAM,600,3,578,13,594
"THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",38,DAMAN,463,6,5724,80,5810
"ANDHRA PRADESH",28,Bapatla,750,0,29300,98,29398
"ANDHRA PRADESH",28,CHITOOR,503,24,66139,506,66669
"ANDHRA PRADESH",28,KURNOOL,511,24,82443,569,83036
"ANDHRA PRADESH",28,Palnadu,751,2,40165,128,40295
"ANDHRA PRADESH",28,"Parvathipuram Manyam",743,0,9479,31,9510
"ANDHRA PRADESH",28,VISAKHAPATNAM,520,92,91057,1310,92459
"ARUNACHAL PRADESH",12,ANJAW,628,0,149,1,150
"ARUNACHAL PRADESH",12,"Keyi Panyor",786,0,67,3,70
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",233,0,218,2,220
"ARUNACHAL PRADESH",12,LEPARADA,724,0,265,3,268
"ARUNACHAL PRADESH",12,SIANG,679,0,157,1,158
"ARUNACHAL PRADESH",12,"UPPER SUBANSIRI",241,0,536,4,540
ASSAM,18,BONGAIGAON,281,6,15555,117,15678
ASSAM,18,CACHAR,282,14,45966,248,46228
ASSAM,18,KARBI-ANGELONG,292,2,9503,58,9563
ASSAM,18,KARIMGANJ,293,1,19899,114,20014
ASSAM,18,KOKRAJHAR,294,6,15742,73,15821
ASSAM,18,LAKHIMPUR,295,6,25907,119,26032
ASSAM,18,MAJULI,706,0,3285,5,3290
ASSAM,18,NAGAON,297,9,35090,235,35334
ASSAM,18,TAMULPUR,756,0,2570,8,2578
BIHAR,10,AURANGABAD,189,5,27723,201,27929
BIHAR,10,KISHANGANJ,203,5,18225,125,18355
BIHAR,10,MADHUBANI,206,4,45382,216,45602
BIHAR,10,NAWADA,210,1,22091,134,22226
BIHAR,10,"PASHCHIM  CHAMPARAN",211,3,41812,220,42035
BIHAR,10,SIWAN,222,1,31735,196,31932
CHHATTISGARH,22,BALOD,646,0,12943,65,13008
CHHATTISGARH,22,BIJAPUR,636,1,2106,5,2112
CHHATTISGARH,22,DURG,378,37,52332,543,52912
CHHATTISGARH,22,KABIRDHAM,382,1,11830,69,11900
CHHATTISGARH,22,"KHAIRGARH CHHUIKHADAN GANDAI",759,0,3256,5,3261
CHHATTISGARH,22,KOREA,384,0,7254,46,7300
CHHATTISGARH,22,MAHASAMUND,385,1,18171,109,18281
CHHATTISGARH,22,"MANENDRAGARH CHIRIMIRI BHARATPUR",760,0,3644,11,3655
CHHATTISGARH,22,NARAYANPUR,637,0,1932,9,1941
CHHATTISGARH,22,SURAJPUR,648,0,9195,62,9257
GUJARAT,24,AHMADABAD,438,531,379302,6293,386126
GUJARAT,24,"BANAS KANTHA",441,27,51548,677,52252
GUJARAT,24,DOHAD,445,5,20683,157,20845
GUJARAT,24,"GIR SOMNATH",675,4,21736,217,21957
GUJARAT,24,KHEDA,450,2,37920,198,38120
GUJARAT,24,MAHISAGAR,669,0,8649,33,8682
GUJARAT,24,PORBANDAR,456,4,14769,152,14925
GUJARAT,24,"SABAR KANTHA",458,12,28742,253,29007
GUJARAT,24,VALSAD,462,30,63259,715,64004
HARYANA,6,FARIDABAD,60,93,94921,1461,96475
HARYANA,6,MAHENDRAGARH,69,8,23036,223,23267
HARYANA,6,PANIPAT,71,38,54361,884,55283
