StateName,state_id,DistrictName,DISTRICT_ID,TotalNoOfApplication,TotalNoOf_Micro,TotalNoOf_Small,TotalNoOf_Medium,_CreatedDate
HARYANA,6,HISAR,99,7366,6226,1088,52,NA
HARYANA,6,JHAJJAR,102,2341,1731,568,42,NA
HARYANA,6,JIND,96,4992,3908,1071,13,NA
HARYANA,6,KAITHAL,92,5282,4729,541,12,NA
HARYANA,6,KARNAL,93,9054,7440,1577,37,NA
HARYANA,6,KURUKSHETRA,91,4390,3649,726,15,NA
HARYANA,6,MAHENDRAGARH,103,1767,1357,407,3,NA
HARYANA,6,NUH,685,1383,1022,357,4,NA
HARYANA,6,PALWAL,684,2175,1749,413,13,NA
HARYANA,6,PANCHKULA,88,3670,2923,721,26,NA
HARYANA,6,PANIPAT,94,9943,8462,1445,36,NA
HARYANA,6,REWARI,104,2310,1709,578,23,NA
HARYANA,6,ROHTAK,101,2797,2122,641,34,NA
HARYANA,6,SIRSA,98,5602,4954,637,11,NA
HARYANA,6,SONIPAT,95,5094,4033,996,65,NA
HARYANA,6,YAMUNANAGAR,90,5802,4824,968,10,NA
"HIMACHAL PRADESH",2,BILASPUR,52,228,163,62,3,NA
"HIMACHAL PRADESH",2,CHAMBA,45,509,350,154,5,NA
"HIMACHAL PRADESH",2,HAMIRPUR,50,345,261,84,0,NA
"HIMACHAL PRADESH",2,KANGRA,46,1883,1507,348,28,NA
"HIMACHAL PRADESH",2,KINNAUR,56,106,68,37,1,NA
"HIMACHAL PRADESH",2,KULLU,48,786,499,267,20,NA
"HIMACHAL PRADESH",2,"LAHUL AND SPITI",47,19,16,3,0,NA
"HIMACHAL PRADESH",2,MANDI,49,911,662,241,8,NA
"HIMACHAL PRADESH",2,SHIMLA,55,1382,1032,321,29,NA
"HIMACHAL PRADESH",2,SIRMAUR,54,452,301,147,4,NA
"HIMACHAL PRADESH",2,SOLAN,53,2105,1441,632,32,NA
"HIMACHAL PRADESH",2,UNA,51,1014,830,179,5,NA
JHARKHAND,20,"BOKARO ",348,10085,8477,1588,20,NA
JHARKHAND,20,CHATRA,349,1857,1514,339,4,NA
JHARKHAND,20,DEOGHAR,350,2842,2586,247,9,NA
JHARKHAND,20,DHANBAD,351,9964,8828,1114,22,NA
JHARKHAND,20,DUMKA,352,2002,1929,72,1,NA
JHARKHAND,20,"EAST SINGHBHUM",353,21024,18374,2590,60,NA
JHARKHAND,20,"GARHWA ",354,3421,3305,114,2,NA
JHARKHAND,20,GIRIDIH,355,8940,8439,493,8,NA
JHARKHAND,20,GODDA,356,2546,2397,148,1,NA
JHARKHAND,20,"GUMLA ",357,1633,1569,63,1,NA
JHARKHAND,20,"HAZARIBAG ",358,9200,7801,1388,11,NA
JHARKHAND,20,JAMTARA,359,639,596,43,0,NA
JHARKHAND,20,"KHUNTI ",360,2099,2043,56,0,NA
JHARKHAND,20,"KODERMA ",361,2145,1732,409,4,NA
JHARKHAND,20,LATEHAR,362,493,379,113,1,NA
JHARKHAND,20,"LOHARDAGA ",363,1381,1281,100,0,NA
JHARKHAND,20,"PAKUR ",364,1191,1062,128,1,NA
JHARKHAND,20,PALAMU,365,3159,2902,247,10,NA
JHARKHAND,20,"RAMGARH ",619,3939,3502,427,10,NA
JHARKHAND,20,"RANCHI ",620,17762,15229,2452,81,NA
JHARKHAND,20,SAHEBGANJ,621,1307,1011,293,3,NA
JHARKHAND,20,"SERAIKELA-KHARSAWAN  ",622,5607,5051,520,36,NA
JHARKHAND,20,"SIMDEGA ",623,388,364,23,1,NA
JHARKHAND,20,"WEST SINGHBHUM",624,2180,1865,308,7,NA
KARNATAKA,29,BAGALKOT,525,3912,3428,465,19,NA
KARNATAKA,29,BALLARI,535,3566,2397,1082,87,NA
KARNATAKA,29,BELAGAVI,524,22805,21009,1747,49,NA
KARNATAKA,29,"BENGALURU (RURAL)",544,12169,10009,2073,87,NA
KARNATAKA,29,"BENGALURU (URBAN)",543,97050,73432,22460,1158,NA
KARNATAKA,29,BIDAR,528,2454,2026,422,6,NA
KARNATAKA,29,CHAMARAJNAGAR,550,1038,916,116,6,NA
KARNATAKA,29,CHIKBALLAPUR,686,1396,1151,236,9,NA
KARNATAKA,29,CHIKKAMAGALURU,540,2512,2124,374,14,NA
KARNATAKA,29,CHITRADURGA,536,2113,1418,683,12,NA
KARNATAKA,29,"DAKSHIN KANNAD",547,8247,6338,1848,61,NA
KARNATAKA,29,DAVANGERE,537,3634,2988,620,26,NA
KARNATAKA,29,DHARWAD,532,14284,12475,1738,71,NA
KARNATAKA,29,GADAG,531,2088,1847,238,3,NA
KARNATAKA,29,HASSAN,546,2406,1762,629,15,NA
KARNATAKA,29,HAVERI,534,2429,2090,321,18,NA
KARNATAKA,29,KALABURAGI,527,2745,2176,547,22,NA
KARNATAKA,29,KODAGU,548,959,701,247,11,NA
KARNATAKA,29,KOLAR,542,1950,1521,410,19,NA
KARNATAKA,29,KOPPAL,530,1094,876,206,12,NA
KARNATAKA,29,MANDYA,545,1670,1402,259,9,NA
KARNATAKA,29,MYSURU,549,9033,7403,1563,67,NA
KARNATAKA,29,RAICHUR,529,1981,1478,473,30,NA
KARNATAKA,29,RAMANAGARA,687,1741,1311,402,28,NA
KARNATAKA,29,SHIVAMOGGA,538,3112,2439,656,17,NA
KARNATAKA,29,TUMAKURU,541,3366,2621,698,47,NA
KARNATAKA,29,UDUPI,539,4003,3249,718,36,NA
KARNATAKA,29,"UTTAR KANNAD",533,3683,3074,592,17,NA
KARNATAKA,29,VIJAYAPURA,526,4678,3938,702,38,NA
KARNATAKA,29,YADGIR,688,1150,980,157,13,NA
KERALA,32,ALAPPUZHA,564,4402,3681,688,33,NA
KERALA,32,ERNAKULAM,561,14360,10804,3354,202,NA
KERALA,32,IDUKKI,562,1666,1365,282,19,NA
KERALA,32,KANNUR,555,3104,2531,539,34,NA
KERALA,32,KASARAGOD,554,1647,1307,332,8,NA
KERALA,32,KOLLAM,566,4229,3494,714,21,NA
KERALA,32,KOTTAYAM,563,3342,2598,709,35,NA
KERALA,32,KOZHIKODE,557,3215,2455,731,29,NA
KERALA,32,MALAPPURAM,558,3193,2613,554,26,NA
KERALA,32,PALAKKAD,559,3212,2677,505,30,NA
KERALA,32,PATHANAMTHIPTA,565,2110,1674,419,17,NA
KERALA,32,THIRUVANANTHAPURAM,567,14457,11659,2699,99,NA
KERALA,32,THRISSUR,560,5952,4833,1060,59,NA
KERALA,32,WAYANAD,556,636,505,118,13,NA
"MADHYA PRADESH",23,"AGAR MALWA",689,4718,4629,88,1,NA
"MADHYA PRADESH",23,ALIRAJPUR,690,4140,3976,163,1,NA
"MADHYA PRADESH",23,ANUPPUR,691,7269,7134,132,3,NA
"MADHYA PRADESH",23,ASHOKNAGAR,692,7326,7144,179,3,NA
"MADHYA PRADESH",23,BALAGHAT,426,20204,19683,513,8,NA
"MADHYA PRADESH",23,BARWANI,409,9143,8807,329,7,NA
"MADHYA PRADESH",23,BETUL,416,11139,10719,413,7,NA
"MADHYA PRADESH",23,BHIND,384,10735,10399,335,1,NA
"MADHYA PRADESH",23,BHOPAL,413,29350,26256,2971,123,NA
"MADHYA PRADESH",23,BURHANPUR,386,8861,8708,147,6,NA
"MADHYA PRADESH",23,CHHATARPUR,390,13250,12794,445,11,NA
"MADHYA PRADESH",23,CHHINDWARA,424,13851,13342,494,15,NA
"MADHYA PRADESH",23,DAMOH,393,13119,12841,265,13,NA
"MADHYA PRADESH",23,DATIA,693,4573,4435,137,1,NA
"MADHYA PRADESH",23,DEWAS,404,21925,21445,467,13,NA
"MADHYA PRADESH",23,DHAR,406,33607,27051,6543,13,NA
"MADHYA PRADESH",23,DINDORI,694,6328,6227,101,0,NA
"MADHYA PRADESH",23,"EAST NIMAR",410,9566,9051,511,4,NA
"MADHYA PRADESH",23,GUNA,388,13787,13342,430,15,NA
"MADHYA PRADESH",23,GWALIOR,385,24574,22922,1604,48,NA
"MADHYA PRADESH",23,HARDA,417,6513,6425,84,4,NA
"MADHYA PRADESH",23,HOSHANGABAD,418,13586,13078,486,22,NA
"MADHYA PRADESH",23,INDORE,407,30285,25905,4153,227,NA
"MADHYA PRADESH",23,JABALPUR,420,18329,16757,1511,61,NA
"MADHYA PRADESH",23,JHABUA,405,13966,13557,395,14,NA
"MADHYA PRADESH",23,KATNI,419,13114,12650,458,6,NA
"MADHYA PRADESH",23,KHARGONE,408,10628,10087,533,8,NA
"MADHYA PRADESH",23,MANDLA,423,6003,5869,128,6,NA
"MADHYA PRADESH",23,MANDSAUR,400,7557,7156,388,13,NA
"MADHYA PRADESH",23,MORENA,383,10200,9805,384,11,NA
"MADHYA PRADESH",23,NARSINGHPUR,421,7922,7591,321,10,NA
"MADHYA PRADESH",23,NEEMUCH,399,10321,10093,220,8,NA
"MADHYA PRADESH",23,PANNA,391,8077,7911,161,5,NA
"MADHYA PRADESH",23,RAISEN,415,20018,19285,722,11,NA
"MADHYA PRADESH",23,RAJGARH,411,9415,9123,288,4,NA
"MADHYA PRADESH",23,RATLAM,401,12803,11819,962,22,NA
"MADHYA PRADESH",23,REWA,395,13198,12320,863,15,NA
"MADHYA PRADESH",23,SAGAR,392,16361,15517,830,14,NA
"MADHYA PRADESH",23,SATNA,394,10976,10292,664,20,NA
"MADHYA PRADESH",23,SEHORE,414,17983,17372,588,23,NA
"MADHYA PRADESH",23,SEONI,425,17143,16871,260,12,NA
"MADHYA PRADESH",23,SHAHDOL,397,8839,8121,701,17,NA
"MADHYA PRADESH",23,SHAJAPUR,403,6900,6643,253,4,NA
"MADHYA PRADESH",23,SHEOPUR,382,5271,5202,67,2,NA
"MADHYA PRADESH",23,SHIVPURI,387,15691,15294,388,9,NA
"MADHYA PRADESH",23,SIDHI,398,10634,10317,314,3,NA
"MADHYA PRADESH",23,SINGRAULI,422,7543,6945,575,23,NA
"MADHYA PRADESH",23,TIKAMGARH,389,9747,9611,133,3,NA
"MADHYA PRADESH",23,UJJAIN,402,14665,13770,867,28,NA
"MADHYA PRADESH",23,UMARIA,396,5268,5044,219,5,NA
"MADHYA PRADESH",23,VIDISHA,412,13053,12626,419,8,NA
MAHARASHTRA,27,AHMEDNAGAR,480,39222,33470,5661,91,NA
MAHARASHTRA,27,AKOLA,459,13860,12792,1052,16,NA
MAHARASHTRA,27,AMRAVATI,461,14618,13212,1356,50,NA
MAHARASHTRA,27,AURANGABAD,473,61288,54375,6777,136,NA
MAHARASHTRA,27,BEED,481,14211,12096,2092,23,NA
MAHARASHTRA,27,BHANDARA,464,19772,19029,727,16,NA
MAHARASHTRA,27,BULDHANA,458,16914,15295,1585,34,NA
MAHARASHTRA,27,CHANDRAPUR,467,23781,22664,1081,36,NA
MAHARASHTRA,27,DHULE,456,7000,6075,895,30,NA
MAHARASHTRA,27,GADCHIROLI,466,12438,12016,417,5,NA
MAHARASHTRA,27,GONDIA,465,23497,22813,662,22,NA
MAHARASHTRA,27,HINGOLI,470,5591,5041,542,8,NA
MAHARASHTRA,27,JALGAON,457,29132,26407,2687,38,NA
MAHARASHTRA,27,JALNA,472,20854,18484,2334,36,NA
MAHARASHTRA,27,KOLHAPUR,488,34942,30335,4534,73,NA
MAHARASHTRA,27,LATUR,482,9179,7984,1157,38,NA
MAHARASHTRA,27,"MUMBAI ",636,115702,100468,14212,1022,NA
MAHARASHTRA,27,"MUMBAI SUBURBAN",476,161338,147042,13509,787,NA
MAHARASHTRA,27,NAGPUR,463,71581,64206,7102,273,NA
MAHARASHTRA,27,"NAN DED",469,11529,10146,1317,66,NA
MAHARASHTRA,27,NANDURBAR,455,3134,2734,396,4,NA
MAHARASHTRA,27,NASHIK,474,49301,43031,6141,129,NA
MAHARASHTRA,27,OSMANABAD,483,7834,6636,1192,6,NA
MAHARASHTRA,27,PALGHAR,477,52707,49385,3232,90,NA
MAHARASHTRA,27,PARBHANI,471,9439,8518,912,9,NA
MAHARASHTRA,27,PUNE,479,181861,156339,24595,927,NA
MAHARASHTRA,27,RAIGAD,478,49167,44356,4638,173,NA
MAHARASHTRA,27,RATNAGIRI,486,11324,10143,1159,22,NA
MAHARASHTRA,27,SANGLI,489,24695,21468,3169,58,NA
MAHARASHTRA,27,SATARA,485,21466,18318,3109,39,NA
MAHARASHTRA,27,SINDHUDURG,487,4384,3818,555,11,NA
MAHARASHTRA,27,SOLAPUR,484,28108,24335,3698,75,NA
MAHARASHTRA,27,THANE,475,171982,156016,15229,737,NA
MAHARASHTRA,27,WARDHA,462,15641,14742,878,21,NA
MAHARASHTRA,27,WASHIM,460,10046,9350,685,11,NA
MAHARASHTRA,27,YAVATMAL,468,14599,13423,1139,37,NA
MANIPUR,14,BISHNUPUR,282,1529,1131,392,6,NA
MANIPUR,14,CHANDEL,287,456,323,133,0,NA
MANIPUR,14,CHURACHANDPUR,281,594,477,117,0,NA
MANIPUR,14,"IMPHAL EAST",285,4596,3641,938,17,NA
MANIPUR,14,"IMPHAL WEST",284,5361,3866,1472,23,NA
MANIPUR,14,SENAPATI,279,591,474,115,2,NA
MANIPUR,14,TAMENGLONG,280,96,73,23,0,NA
MANIPUR,14,THOUBAL,283,2245,1748,495,2,NA
MANIPUR,14,UKHRUL,286,440,338,101,1,NA
MEGHALAYA,17,"EAST GARO HILLS",301,14,13,1,0,NA
MEGHALAYA,17,"EAST JAINTIA HILLS",640,19,16,3,0,NA
MEGHALAYA,17,"EAST KHASI HILLS",305,480,367,104,9,NA
MEGHALAYA,17,"NORTH GARO HILLS",641,37,37,0,0,NA
MEGHALAYA,17,"RI BHOI",304,79,65,13,1,NA
MEGHALAYA,17,"SOUTH GARO HILLS",302,6,5,1,0,NA
MEGHALAYA,17,"SOUTH WEST  GARO HILLS",642,14,13,1,0,NA
MEGHALAYA,17,"SOUTH WEST KHASI HILLS",643,35,32,3,0,NA
MEGHALAYA,17,"WEST GARO HILLS",300,75,64,10,1,NA
MEGHALAYA,17,"WEST JAINTIA HILLS",306,29,17,11,1,NA
MEGHALAYA,17,"WEST KHASI HILLS",303,50,49,1,0,NA
MIZORAM,15,AIZAWL,290,916,585,312,19,NA
MIZORAM,15,CHAMPHAI,291,174,99,73,2,NA
MIZORAM,15,KOLASIB,289,98,54,44,0,NA
MIZORAM,15,LAWNGTLAI,294,43,27,16,0,NA
MIZORAM,15,LUNGLEI,293,165,121,44,0,NA
MIZORAM,15,MAMIT,288,36,14,22,0,NA
MIZORAM,15,SAIHA,295,28,12,16,0,NA
MIZORAM,15,SERCHHIP,292,46,28,18,0,NA
NAGALAND,13,DIMAPUR,276,553,358,186,9,NA
NAGALAND,13,KIPHRIE,644,11,7,4,0,NA
NAGALAND,13,KOHIMA,277,184,131,50,3,NA
NAGALAND,13,MOKOKCHUNG,273,38,28,9,1,NA
NAGALAND,13,MON,271,19,12,7,0,NA
NAGALAND,13,PEREN,646,10,8,2,0,NA
NAGALAND,13,PHEK,278,13,12,1,0,NA
NAGALAND,13,TUENSANG,272,12,8,3,1,NA
NAGALAND,13,WOKHA,275,49,35,14,0,NA
NAGALAND,13,ZUNHEBOTO,274,9,9,0,0,NA
ODISHA,21,ANGUL,15,2697,1486,1190,21,NA
ODISHA,21,BALANGIR,24,1816,1542,264,10,NA
ODISHA,21,BALESHWAR,8,23012,22422,571,19,NA
ODISHA,21,BARGARH,1,1346,1118,216,12,NA
ODISHA,21,BHADRAK,9,3942,3687,251,4,NA
ODISHA,21,BOUDH,22,624,566,54,4,NA
ODISHA,21,CUTTACK,12,7685,6324,1307,54,NA
ODISHA,21,DEOGARH,4,200,141,58,1,NA
ODISHA,21,DHENKANAL,14,1224,888,333,3,NA
ODISHA,21,GAJAPATI,20,646,583,62,1,NA
ODISHA,21,GANJAM,19,7357,6665,673,19,NA
ODISHA,21,JAGATSINGHPUR,11,1807,1003,796,8,NA
ODISHA,21,JAJAPUR,13,2704,2006,681,17,NA
ODISHA,21,JHARSUGUDA,2,1343,911,401,31,NA
ODISHA,21,KALAHANDI,26,945,743,194,8,NA
ODISHA,21,KANDHAMAL,21,788,693,94,1,NA
ODISHA,21,KENDRAPARA,10,1193,943,248,2,NA
ODISHA,21,KENDUJHAR,6,2250,1477,733,40,NA
ODISHA,21,KHORDHA,17,11922,8551,3208,163,NA
ODISHA,21,KORAPUT,29,1152,899,246,7,NA
ODISHA,21,"MALKANGIRI  ",30,525,494,28,3,NA
ODISHA,21,MAYURBHANJ,7,2018,1724,289,5,NA
ODISHA,21,NABARANGPUR,28,447,396,49,2,NA
ODISHA,21,NAYAGARH,16,1093,914,177,2,NA
ODISHA,21,NUAPADA,25,303,256,47,0,NA
